Title,PMID,Abstract,Other,text
A Novel Deep Neural Network Technique for Drug-Target Interaction.,35336000,"Drug discovery (DD) is a time-consuming and expensive process. Thus, the industry employs strategies such as drug repositioning and drug repurposing, which allows the application of already approved drugs to treat a different disease, as occurred in the first months of 2020, during the
COVID-19 pandemic. The prediction of drug-target interactions is an essential part of the DD process because it can accelerate it and reduce the required costs. DTI prediction performed <i>in silico</i> have used approaches based on molecular docking simulations, including similarity-based and
network- and graph-based ones. This paper presents MPS2IT-DTI, a DTI prediction model obtained from research conducted in the following steps: the definition of a new method for encoding molecule and protein sequences onto images; the definition of a deep-learning approach based on a convolutional
neural network in order to create a new method for DTI prediction. Training results conducted with the Davis and KIBA datasets show that MPS2IT-DTI is viable compared to other state-of-the-art (SOTA) approaches in terms of performance and complexity of the neural network model. With the Davis
dataset, we obtained 0.876 for the concordance index and 0.276 for the MSE; with the KIBA dataset, we obtained 0.836 and 0.226 for the concordance index and the MSE, respectively. Moreover, the MPS2IT-DTI model represents molecule and protein sequences as images, instead of treating them as an NLP
task, and as such, does not employ an embedding layer, which is present in other models.",1,"A Novel Deep Neural Network Technique for Drug-Target Interaction. Drug discovery (DD) is a time-consuming and expensive process. Thus, the industry employs strategies such as drug repositioning and drug repurposing, which allows the application of already approved drugs to treat a different disease, as occurred in the first months of 2020, during the
COVID-19 pandemic. The prediction of drug-target interactions is an essential part of the DD process because it can accelerate it and reduce the required costs. DTI prediction performed <i>in silico</i> have used approaches based on molecular docking simulations, including similarity-based and
network- and graph-based ones. This paper presents MPS2IT-DTI, a DTI prediction model obtained from research conducted in the following steps: the definition of a new method for encoding molecule and protein sequences onto images; the definition of a deep-learning approach based on a convolutional
neural network in order to create a new method for DTI prediction. Training results conducted with the Davis and KIBA datasets show that MPS2IT-DTI is viable compared to other state-of-the-art (SOTA) approaches in terms of performance and complexity of the neural network model. With the Davis
dataset, we obtained 0.876 for the concordance index and 0.276 for the MSE; with the KIBA dataset, we obtained 0.836 and 0.226 for the concordance index and the MSE, respectively. Moreover, the MPS2IT-DTI model represents molecule and protein sequences as images, instead of treating them as an NLP
task, and as such, does not employ an embedding layer, which is present in other models."
Predicting DNA-binding proteins and binding residues by complex structure prediction and application to human proteome.,24792350,"As more and more protein sequences are uncovered from increasingly inexpensive sequencing techniques, an urgent task is to find their functions. This work presents a highly reliable computational technique for predicting DNA-binding function at the level of protein-DNA complex structures,
rather than low-resolution two-state prediction of DNA-binding as most existing techniques do. The method first predicts protein-DNA complex structure by utilizing the template-based structure prediction technique HHblits, followed by binding affinity prediction based on a knowledge-based energy
function (Distance-scaled finite ideal-gas reference state for protein-DNA interactions). A leave-one-out cross validation of the method based on 179 DNA-binding and 3797 non-binding protein domains achieves a Matthews correlation coefficient (MCC) of 0.77 with high precision (94%) and high
sensitivity (65%). We further found 51% sensitivity for 82 newly determined structures of DNA-binding proteins and 56% sensitivity for the human proteome. In addition, the method provides a reasonably accurate prediction of DNA-binding residues in proteins based on predicted DNA-binding complex
structures. Its application to human proteome leads to more than 300 novel DNA-binding proteins; some of these predicted structures were validated by known structures of homologous proteins in APO forms. The method [SPOT-Seq (DNA)] is available as an on-line server at http://sparks-lab.org.",1,"Predicting DNA-binding proteins and binding residues by complex structure prediction and application to human proteome. As more and more protein sequences are uncovered from increasingly inexpensive sequencing techniques, an urgent task is to find their functions. This work presents a highly reliable computational technique for predicting DNA-binding function at the level of protein-DNA complex structures,
rather than low-resolution two-state prediction of DNA-binding as most existing techniques do. The method first predicts protein-DNA complex structure by utilizing the template-based structure prediction technique HHblits, followed by binding affinity prediction based on a knowledge-based energy
function (Distance-scaled finite ideal-gas reference state for protein-DNA interactions). A leave-one-out cross validation of the method based on 179 DNA-binding and 3797 non-binding protein domains achieves a Matthews correlation coefficient (MCC) of 0.77 with high precision (94%) and high
sensitivity (65%). We further found 51% sensitivity for 82 newly determined structures of DNA-binding proteins and 56% sensitivity for the human proteome. In addition, the method provides a reasonably accurate prediction of DNA-binding residues in proteins based on predicted DNA-binding complex
structures. Its application to human proteome leads to more than 300 novel DNA-binding proteins; some of these predicted structures were validated by known structures of homologous proteins in APO forms. The method [SPOT-Seq (DNA)] is available as an on-line server at http://sparks-lab.org."
Application of Machine Learning Techniques in Drug-target Interactions Prediction.,33238865,"Drug-Target interactions are vital for drug design and drug repositioning. However, traditional lab experiments are both expensive and time-consuming. Various computational methods which applied machine learning techniques performed efficiently and effectively in the field. The machine
learning methods can be divided into three categories basically: Supervised methods, Semi-Supervised methods and Unsupervised methods. We reviewed recent representative methods applying machine learning techniques of each category in DTIs and summarized a brief list of databases frequently used in
drug discovery. In addition, we compared the advantages and limitations of these methods in each category. Every prediction model has both strengths and weaknesses and should be adopted in proper ways. Three major problems in DTIs prediction including the lack of nonreactive drug-target pairs data
sets, over optimistic results due to the biases and the exploiting of regression models on DTIs prediction should be seriously considered.",0,"Application of Machine Learning Techniques in Drug-target Interactions Prediction. Drug-Target interactions are vital for drug design and drug repositioning. However, traditional lab experiments are both expensive and time-consuming. Various computational methods which applied machine learning techniques performed efficiently and effectively in the field. The machine
learning methods can be divided into three categories basically: Supervised methods, Semi-Supervised methods and Unsupervised methods. We reviewed recent representative methods applying machine learning techniques of each category in DTIs and summarized a brief list of databases frequently used in
drug discovery. In addition, we compared the advantages and limitations of these methods in each category. Every prediction model has both strengths and weaknesses and should be adopted in proper ways. Three major problems in DTIs prediction including the lack of nonreactive drug-target pairs data
sets, over optimistic results due to the biases and the exploiting of regression models on DTIs prediction should be seriously considered."
Quantitative insights for the design of substrate-based SIRT1 inhibitors.,24747578,"Sirtuin 1 (SIRT1) is the most studied human sirtuin and it catalyzes the deacetylation reaction of acetylated lysine residues of its target proteins, for example histones. It is a promising drug target in the treatment of age-related diseases, such as neurodegenerative diseases and cancer.
In this study, a series of known substrate-based sirtuin inhibitors was analyzed with comparative molecular field analysis (CoMFA), which is a three-dimensional quantitative structure-activity relationships (3D-QSAR) technique. The CoMFA model was validated both internally and externally, producing
the statistical values concordance correlation coefficient (CCC) of 0.88, the mean value r(2)m of 0.66 and Q(2)F3 of 0.89. Based on the CoMFA interaction contours, 13 new potential inhibitors with high predicted activity were designed, and the activities were verified by in vitro measurements. This
work proposes an effective approach for the design and activity prediction of new potential substrate-based SIRT1 inhibitors.",1,"Quantitative insights for the design of substrate-based SIRT1 inhibitors. Sirtuin 1 (SIRT1) is the most studied human sirtuin and it catalyzes the deacetylation reaction of acetylated lysine residues of its target proteins, for example histones. It is a promising drug target in the treatment of age-related diseases, such as neurodegenerative diseases and cancer.
In this study, a series of known substrate-based sirtuin inhibitors was analyzed with comparative molecular field analysis (CoMFA), which is a three-dimensional quantitative structure-activity relationships (3D-QSAR) technique. The CoMFA model was validated both internally and externally, producing
the statistical values concordance correlation coefficient (CCC) of 0.88, the mean value r(2)m of 0.66 and Q(2)F3 of 0.89. Based on the CoMFA interaction contours, 13 new potential inhibitors with high predicted activity were designed, and the activities were verified by in vitro measurements. This
work proposes an effective approach for the design and activity prediction of new potential substrate-based SIRT1 inhibitors."
Predicting the Reliability of Drug-target Interaction Predictions with Maximum Coverage of Target Space.,28630414,"Many computational methods to predict the macromolecular targets of small organic molecules have been presented to date. Despite progress, target prediction methods still have important limitations. For example, the most accurate methods implicitly restrict their predictions to a
relatively small number of targets, are not systematically validated on drugs (whose targets are harder to predict than those of non-drug molecules) and often lack a reliability score associated with each predicted target. Here we present a systematic validation of ligand-centric target prediction
methods on a set of clinical drugs. These methods exploit a knowledge-base covering 887,435 known ligand-target associations between 504,755 molecules and 4,167 targets. Based on this dataset, we provide a new estimate of the polypharmacology of drugs, which on average have 11.5 targets below
IC<sub>50</sub> 10 µM. The average performance achieved across clinical drugs is remarkable (0.348 precision and 0.423 recall, with large drug-dependent variability), especially given the unusually large coverage of the target space. Furthermore, we show how a sparse ligand-target bioactivity matrix
to retrospectively validate target prediction methods could underestimate prospective performance. Lastly, we present and validate a first-in-kind score capable of accurately predicting the reliability of target predictions.",1,"Predicting the Reliability of Drug-target Interaction Predictions with Maximum Coverage of Target Space. Many computational methods to predict the macromolecular targets of small organic molecules have been presented to date. Despite progress, target prediction methods still have important limitations. For example, the most accurate methods implicitly restrict their predictions to a
relatively small number of targets, are not systematically validated on drugs (whose targets are harder to predict than those of non-drug molecules) and often lack a reliability score associated with each predicted target. Here we present a systematic validation of ligand-centric target prediction
methods on a set of clinical drugs. These methods exploit a knowledge-base covering 887,435 known ligand-target associations between 504,755 molecules and 4,167 targets. Based on this dataset, we provide a new estimate of the polypharmacology of drugs, which on average have 11.5 targets below
IC<sub>50</sub> 10 µM. The average performance achieved across clinical drugs is remarkable (0.348 precision and 0.423 recall, with large drug-dependent variability), especially given the unusually large coverage of the target space. Furthermore, we show how a sparse ligand-target bioactivity matrix
to retrospectively validate target prediction methods could underestimate prospective performance. Lastly, we present and validate a first-in-kind score capable of accurately predicting the reliability of target predictions."
Long non-coding RNA crnde promotes deep vein thrombosis by sequestering miR-181a-5p away from thrombogenic Pcyox1l.,37076891,"Deep vein thrombosis (DVT) is an interplay of genetic and acquired risk factors, where functional interactions in lncRNA-miRNA-mRNA ceRNA networks contribute to disease pathogenesis. Based on the high-throughput transcriptome sequencing prediction, we have assessed the contribution of
lncRNA Crnde/miR-181a-5p/Pcyox1l axis to thrombus formation. DVT was modeled in mice by inferior vena cava stenosis, and inferior vena cava tissues were harvested for high-throughput transcriptome sequencing to screen differentially expressed lncRNAs and mRNAs. The key miRNA binding to Crnde and
Pcyox1l was obtained through searching the RNAInter and mirWalk databases. The binding affinity between Crnde, miR-181a-5p, and Pcyox1l was examined by FISH, dual luciferase reporter gene, RNA pull-down, and RIP assays. Functional experiments were conducted in DVT mouse models to assess thrombus
formation and inflammatory injury in inferior vena cava. It was noted that Crnde and Pcyox1l were upregulated in the blood of DVT mice. Crnde competitively bound to miR-181a-5p and inhibited miR-181a-5p expression, and Pcyox1l was the downstream target gene of miR-181a-5p. Silencing of Crnde or
restoration of miR-181a-5p reduced inflammatory injury in the inferior vena cava, thus curtailing thrombus formation in mice. Ectopic expression of Pcyox1l counterweighed the inhibitory effect of Crnde silencing. Therefore, Crnde sequesters miR-181a-5p to release Pcyox1l expression via ceRNA
mechanism, thus aggravating thrombus formation in DVT.",0,"Long non-coding RNA crnde promotes deep vein thrombosis by sequestering miR-181a-5p away from thrombogenic Pcyox1l. Deep vein thrombosis (DVT) is an interplay of genetic and acquired risk factors, where functional interactions in lncRNA-miRNA-mRNA ceRNA networks contribute to disease pathogenesis. Based on the high-throughput transcriptome sequencing prediction, we have assessed the contribution of
lncRNA Crnde/miR-181a-5p/Pcyox1l axis to thrombus formation. DVT was modeled in mice by inferior vena cava stenosis, and inferior vena cava tissues were harvested for high-throughput transcriptome sequencing to screen differentially expressed lncRNAs and mRNAs. The key miRNA binding to Crnde and
Pcyox1l was obtained through searching the RNAInter and mirWalk databases. The binding affinity between Crnde, miR-181a-5p, and Pcyox1l was examined by FISH, dual luciferase reporter gene, RNA pull-down, and RIP assays. Functional experiments were conducted in DVT mouse models to assess thrombus
formation and inflammatory injury in inferior vena cava. It was noted that Crnde and Pcyox1l were upregulated in the blood of DVT mice. Crnde competitively bound to miR-181a-5p and inhibited miR-181a-5p expression, and Pcyox1l was the downstream target gene of miR-181a-5p. Silencing of Crnde or
restoration of miR-181a-5p reduced inflammatory injury in the inferior vena cava, thus curtailing thrombus formation in mice. Ectopic expression of Pcyox1l counterweighed the inhibitory effect of Crnde silencing. Therefore, Crnde sequesters miR-181a-5p to release Pcyox1l expression via ceRNA
mechanism, thus aggravating thrombus formation in DVT."
Fusing Sequence and Structural Knowledge by Heterogeneous Models to Accurately and Interpretively Predict Drug-Target Affinity.,38138496,"Drug-target affinity (DTA) prediction is crucial for understanding molecular interactions and aiding drug discovery and development. While various computational methods have been proposed for DTA prediction, their predictive accuracy remains limited, failing to delve into the structural
nuances of interactions. With increasingly accurate and accessible structure prediction of targets, we developed a novel deep learning model, named S2DTA, to accurately predict DTA by fusing sequence features of drug SMILES, targets, and pockets and their corresponding graph structural features
using heterogeneous models based on graph and semantic networks. Experimental findings underscored that complex feature representations imparted negligible enhancements to the model's performance. However, the integration of heterogeneous models demonstrably bolstered predictive accuracy. In
comparison to three state-of-the-art methodologies, such as DeepDTA, GraphDTA, and DeepDTAF, S2DTA's performance became more evident. It exhibited a 25.2% reduction in mean absolute error (MAE) and a 20.1% decrease in root mean square error (RMSE). Additionally, S2DTA showed some improvements in
other crucial metrics, including Pearson Correlation Coefficient (PCC), Spearman, Concordance Index (CI), and <i>R</i><sup>2</sup>, with these metrics experiencing increases of 19.6%, 17.5%, 8.1%, and 49.4%, respectively. Finally, we conducted an interpretability analysis on the effectiveness of
S2DTA by bidirectional self-attention mechanism. The analysis results supported that S2DTA was an effective and accurate tool for predicting DTA.",1,"Fusing Sequence and Structural Knowledge by Heterogeneous Models to Accurately and Interpretively Predict Drug-Target Affinity. Drug-target affinity (DTA) prediction is crucial for understanding molecular interactions and aiding drug discovery and development. While various computational methods have been proposed for DTA prediction, their predictive accuracy remains limited, failing to delve into the structural
nuances of interactions. With increasingly accurate and accessible structure prediction of targets, we developed a novel deep learning model, named S2DTA, to accurately predict DTA by fusing sequence features of drug SMILES, targets, and pockets and their corresponding graph structural features
using heterogeneous models based on graph and semantic networks. Experimental findings underscored that complex feature representations imparted negligible enhancements to the model's performance. However, the integration of heterogeneous models demonstrably bolstered predictive accuracy. In
comparison to three state-of-the-art methodologies, such as DeepDTA, GraphDTA, and DeepDTAF, S2DTA's performance became more evident. It exhibited a 25.2% reduction in mean absolute error (MAE) and a 20.1% decrease in root mean square error (RMSE). Additionally, S2DTA showed some improvements in
other crucial metrics, including Pearson Correlation Coefficient (PCC), Spearman, Concordance Index (CI), and <i>R</i><sup>2</sup>, with these metrics experiencing increases of 19.6%, 17.5%, 8.1%, and 49.4%, respectively. Finally, we conducted an interpretability analysis on the effectiveness of
S2DTA by bidirectional self-attention mechanism. The analysis results supported that S2DTA was an effective and accurate tool for predicting DTA."
Drug-target binding affinity prediction using message passing neural network and self supervised learning.,37730555,"Drug-target binding affinity (DTA) prediction is important for the rapid development of drug discovery. Compared to traditional methods, deep learning methods provide a new way for DTA prediction to achieve good performance without much knowledge of the biochemical background. However,
there are still room for improvement in DTA prediction: (1) only focusing on the information of the atom leads to an incomplete representation of the molecular graph; (2) the self-supervised learning method could be introduced for protein representation. In this paper, a DTA prediction model using
the deep learning method is proposed, which uses an undirected-CMPNN for molecular embedding and combines CPCProt and MLM models for protein embedding. An attention mechanism is introduced to discover the important part of the protein sequence. The proposed method is evaluated on the datasets Ki and
Davis, and the model outperformed other deep learning methods. The proposed model improves the performance of the DTA prediction, which provides a novel strategy for deep learning-based virtual screening methods.",0,"Drug-target binding affinity prediction using message passing neural network and self supervised learning. Drug-target binding affinity (DTA) prediction is important for the rapid development of drug discovery. Compared to traditional methods, deep learning methods provide a new way for DTA prediction to achieve good performance without much knowledge of the biochemical background. However,
there are still room for improvement in DTA prediction: (1) only focusing on the information of the atom leads to an incomplete representation of the molecular graph; (2) the self-supervised learning method could be introduced for protein representation. In this paper, a DTA prediction model using
the deep learning method is proposed, which uses an undirected-CMPNN for molecular embedding and combines CPCProt and MLM models for protein embedding. An attention mechanism is introduced to discover the important part of the protein sequence. The proposed method is evaluated on the datasets Ki and
Davis, and the model outperformed other deep learning methods. The proposed model improves the performance of the DTA prediction, which provides a novel strategy for deep learning-based virtual screening methods."
Mitigating cold-start problems in drug-target affinity prediction with interaction knowledge transferring.,35788823,"Predicting the drug-target interaction is crucial for drug discovery as well as drug repurposing. Machine learning is commonly used in drug-target affinity (DTA) problem. However, the machine learning model faces the cold-start problem where the model performance drops when predicting the
interaction of a novel drug or target. Previous works try to solve the cold start problem by learning the drug or target representation using unsupervised learning. While the drug or target representation can be learned in an unsupervised manner, it still lacks the interaction information, which is
critical in drug-target interaction. To incorporate the interaction information into the drug and protein interaction, we proposed using transfer learning from chemical-chemical interaction (CCI) and protein-protein interaction (PPI) task to drug-target interaction task. The representation learned
by CCI and PPI tasks can be transferred smoothly to the DTA task due to the similar nature of the tasks. The result on the DTA datasets shows that our proposed method has advantages compared to other pre-training methods in the DTA task.",0,"Mitigating cold-start problems in drug-target affinity prediction with interaction knowledge transferring. Predicting the drug-target interaction is crucial for drug discovery as well as drug repurposing. Machine learning is commonly used in drug-target affinity (DTA) problem. However, the machine learning model faces the cold-start problem where the model performance drops when predicting the
interaction of a novel drug or target. Previous works try to solve the cold start problem by learning the drug or target representation using unsupervised learning. While the drug or target representation can be learned in an unsupervised manner, it still lacks the interaction information, which is
critical in drug-target interaction. To incorporate the interaction information into the drug and protein interaction, we proposed using transfer learning from chemical-chemical interaction (CCI) and protein-protein interaction (PPI) task to drug-target interaction task. The representation learned
by CCI and PPI tasks can be transferred smoothly to the DTA task due to the similar nature of the tasks. The result on the DTA datasets shows that our proposed method has advantages compared to other pre-training methods in the DTA task."
Dynamic applicability domain (dAD): compound-target binding affinity estimates with local conformal prediction.,37594752,"Increasing efforts are being made in the field of machine learning to advance the learning of robust and accurate models from experimentally measured data and enable more efficient drug discovery processes. The prediction of binding affinity is one of the most frequent tasks of compound
bioactivity modelling. Learned models for binding affinity prediction are assessed by their average performance on unseen samples, but point predictions are typically not provided with a rigorous confidence assessment. Approaches, such as the conformal predictor framework equip conventional models
with a more rigorous assessment of confidence for individual point predictions. In this article, we extend the inductive conformal prediction framework for interaction data, in particular the compound-target binding affinity prediction task. The new framework is based on dynamically defined
calibration sets that are specific for each testing pair and provides prediction assessment in the context of calibration pairs from its compound-target neighbourhood, enabling improved estimates based on the local properties of the prediction model. The effectiveness of the approach is benchmarked
on several publicly available datasets and tested in realistic use-case scenarios with increasing levels of difficulty on a complex compound-target binding affinity space. We demonstrate that in such scenarios, novel approach combining applicability domain paradigm with conformal prediction
framework, produces superior confidence assessment with valid and more informative prediction regions compared to other 'state-of-the-art' conformal prediction approaches. Dataset and the code are available on GitHub (https://github.com/mlkr-rbi/dAD).",0,"Dynamic applicability domain (dAD): compound-target binding affinity estimates with local conformal prediction. Increasing efforts are being made in the field of machine learning to advance the learning of robust and accurate models from experimentally measured data and enable more efficient drug discovery processes. The prediction of binding affinity is one of the most frequent tasks of compound
bioactivity modelling. Learned models for binding affinity prediction are assessed by their average performance on unseen samples, but point predictions are typically not provided with a rigorous confidence assessment. Approaches, such as the conformal predictor framework equip conventional models
with a more rigorous assessment of confidence for individual point predictions. In this article, we extend the inductive conformal prediction framework for interaction data, in particular the compound-target binding affinity prediction task. The new framework is based on dynamically defined
calibration sets that are specific for each testing pair and provides prediction assessment in the context of calibration pairs from its compound-target neighbourhood, enabling improved estimates based on the local properties of the prediction model. The effectiveness of the approach is benchmarked
on several publicly available datasets and tested in realistic use-case scenarios with increasing levels of difficulty on a complex compound-target binding affinity space. We demonstrate that in such scenarios, novel approach combining applicability domain paradigm with conformal prediction
framework, produces superior confidence assessment with valid and more informative prediction regions compared to other 'state-of-the-art' conformal prediction approaches. Dataset and the code are available on GitHub (https://github.com/mlkr-rbi/dAD)."
"Affinity2Vec: drug-target binding affinity prediction through representation learning, graph mining, and machine learning.",35306525,"Drug-target interaction (DTI) prediction plays a crucial role in drug repositioning and virtual drug screening. Most DTI prediction methods cast the problem as a binary classification task to predict if interactions exist or as a regression task to predict continuous values that indicate a
drug's ability to bind to a specific target. The regression-based methods provide insight beyond the binary relationship. However, most of these methods require the three-dimensional (3D) structural information of targets which are still not generally available to the targets. Despite this
bottleneck, only a few methods address the drug-target binding affinity (DTBA) problem from a non-structure-based approach to avoid the 3D structure limitations. Here we propose Affinity2Vec, as a novel regression-based method that formulates the entire task as a graph-based problem. To develop this
method, we constructed a weighted heterogeneous graph that integrates data from several sources, including drug-drug similarity, target-target similarity, and drug-target binding affinities. Affinity2Vec further combines several computational techniques from feature representation learning, graph
mining, and machine learning to generate or extract features, build the model, and predict the binding affinity between the drug and the target with no 3D structural data. We conducted extensive experiments to evaluate and demonstrate the robustness and efficiency of the proposed method on benchmark
datasets used in state-of-the-art non-structured-based drug-target binding affinity studies. Affinity2Vec showed superior and competitive results compared to the state-of-the-art methods based on several evaluation metrics, including mean squared error, rm2, concordance index, and area under the
precision-recall curve.",1,"Affinity2Vec: drug-target binding affinity prediction through representation learning, graph mining, and machine learning. Drug-target interaction (DTI) prediction plays a crucial role in drug repositioning and virtual drug screening. Most DTI prediction methods cast the problem as a binary classification task to predict if interactions exist or as a regression task to predict continuous values that indicate a
drug's ability to bind to a specific target. The regression-based methods provide insight beyond the binary relationship. However, most of these methods require the three-dimensional (3D) structural information of targets which are still not generally available to the targets. Despite this
bottleneck, only a few methods address the drug-target binding affinity (DTBA) problem from a non-structure-based approach to avoid the 3D structure limitations. Here we propose Affinity2Vec, as a novel regression-based method that formulates the entire task as a graph-based problem. To develop this
method, we constructed a weighted heterogeneous graph that integrates data from several sources, including drug-drug similarity, target-target similarity, and drug-target binding affinities. Affinity2Vec further combines several computational techniques from feature representation learning, graph
mining, and machine learning to generate or extract features, build the model, and predict the binding affinity between the drug and the target with no 3D structural data. We conducted extensive experiments to evaluate and demonstrate the robustness and efficiency of the proposed method on benchmark
datasets used in state-of-the-art non-structured-based drug-target binding affinity studies. Affinity2Vec showed superior and competitive results compared to the state-of-the-art methods based on several evaluation metrics, including mean squared error, rm2, concordance index, and area under the
precision-recall curve."
SELF-BLM: Prediction of drug-target interactions via self-training SVM.,28192537,"Predicting drug-target interactions is important for the development of novel drugs and the repositioning of drugs. To predict such interactions, there are a number of methods based on drug and target protein similarity. Although these methods, such as the bipartite local model (BLM), show
promise, they often categorize unknown interactions as negative interaction. Therefore, these methods are not ideal for finding potential drug-target interactions that have not yet been validated as positive interactions. Thus, here we propose a method that integrates machine learning techniques,
such as self-training support vector machine (SVM) and BLM, to develop a self-training bipartite local model (SELF-BLM) that facilitates the identification of potential interactions. The method first categorizes unlabeled interactions and negative interactions among unknown interactions using a
clustering method. Then, using the BLM method and self-training SVM, the unlabeled interactions are self-trained and final local classification models are constructed. When applied to four classes of proteins that include enzymes, G-protein coupled receptors (GPCRs), ion channels, and nuclear
receptors, SELF-BLM showed the best performance for predicting not only known interactions but also potential interactions in three protein classes compare to other related studies. The implemented software and supporting data are available at https://github.com/GIST-CSBL/SELF-BLM.",0,"SELF-BLM: Prediction of drug-target interactions via self-training SVM. Predicting drug-target interactions is important for the development of novel drugs and the repositioning of drugs. To predict such interactions, there are a number of methods based on drug and target protein similarity. Although these methods, such as the bipartite local model (BLM), show
promise, they often categorize unknown interactions as negative interaction. Therefore, these methods are not ideal for finding potential drug-target interactions that have not yet been validated as positive interactions. Thus, here we propose a method that integrates machine learning techniques,
such as self-training support vector machine (SVM) and BLM, to develop a self-training bipartite local model (SELF-BLM) that facilitates the identification of potential interactions. The method first categorizes unlabeled interactions and negative interactions among unknown interactions using a
clustering method. Then, using the BLM method and self-training SVM, the unlabeled interactions are self-trained and final local classification models are constructed. When applied to four classes of proteins that include enzymes, G-protein coupled receptors (GPCRs), ion channels, and nuclear
receptors, SELF-BLM showed the best performance for predicting not only known interactions but also potential interactions in three protein classes compare to other related studies. The implemented software and supporting data are available at https://github.com/GIST-CSBL/SELF-BLM."
Emerging Polar Phenolic Disinfection Byproducts Are High-Affinity Human Transthyretin Disruptors: An in Vitro and in Silico Study.,31117532,"Phenolic disinfection byproducts (phenolic-DBPs) have been identified in recent years. However, the toxicity data for phenolic-DBPs are scarce, hampering their risk assessment and the development of regulations on the acceptable concentration of phenolic-DBPs in water. In this study, the
binding potency and underlying interaction mechanism between human transthyretin (hTTR) and five groups of representative phenolic-DBPs (2,4,6-trihalo-phenols, 2,6-dihalo-4-nitrophenols, 3,5-dihalo-4-hydroxybenzaldehydes, 3,5-dihalo-4-hydroxybenzoic acids, halo-salicylic acids) were determined and
probed by competitive fluorescence displacement assay integrated with in silico methods. Experimental results implied that 2,4,6-trihalo-phenols, 2,6-dihalo-4-nitrophenols, and 3,5-dihalo-4-hydroxybenzaldehydes have a high binding affinity with hTTR. The hTTR binding potency of the chemicals with
electron-withdrawing groups on their molecular structures were higher than that with electron-donor groups. Molecular modeling methods were used to decipher the binding mechanism between model compounds and hTTR. The results documented that ionic pair, hydrogen bonding and hydrophobic interactions
were dominant interactions. Finally, a mechanism-based model for predicting the hTTR binding affinity was developed. The determination coefficient ( R<sup>2</sup>), leave-one-out cross validation Q<sup>2</sup> ( Q<sub>LOO</sub><sup>2</sup>), bootstrapping coefficient ( Q<sub>BOOT</sub><sup>2</sup>),
external validation coefficient ( Q<sub>EXT</sub><sup>2</sup>) and concordance correlation coefficient ( CCC) of the developed model met the acceptable criteria ( Q<sup>2</sup> > 0.600, R<sup>2</sup> > 0.700, CCC > 0.850), implying that the model had good goodness-of-fit, robustness, and external
prediction performances. All the results indicated that the phenolic-DBPs have the hTTR disrupting effects, and further studies are needed to investigate their other mechanism of endocrine disruption.",1,"Emerging Polar Phenolic Disinfection Byproducts Are High-Affinity Human Transthyretin Disruptors: An in Vitro and in Silico Study. Phenolic disinfection byproducts (phenolic-DBPs) have been identified in recent years. However, the toxicity data for phenolic-DBPs are scarce, hampering their risk assessment and the development of regulations on the acceptable concentration of phenolic-DBPs in water. In this study, the
binding potency and underlying interaction mechanism between human transthyretin (hTTR) and five groups of representative phenolic-DBPs (2,4,6-trihalo-phenols, 2,6-dihalo-4-nitrophenols, 3,5-dihalo-4-hydroxybenzaldehydes, 3,5-dihalo-4-hydroxybenzoic acids, halo-salicylic acids) were determined and
probed by competitive fluorescence displacement assay integrated with in silico methods. Experimental results implied that 2,4,6-trihalo-phenols, 2,6-dihalo-4-nitrophenols, and 3,5-dihalo-4-hydroxybenzaldehydes have a high binding affinity with hTTR. The hTTR binding potency of the chemicals with
electron-withdrawing groups on their molecular structures were higher than that with electron-donor groups. Molecular modeling methods were used to decipher the binding mechanism between model compounds and hTTR. The results documented that ionic pair, hydrogen bonding and hydrophobic interactions
were dominant interactions. Finally, a mechanism-based model for predicting the hTTR binding affinity was developed. The determination coefficient ( R<sup>2</sup>), leave-one-out cross validation Q<sup>2</sup> ( Q<sub>LOO</sub><sup>2</sup>), bootstrapping coefficient ( Q<sub>BOOT</sub><sup>2</sup>),
external validation coefficient ( Q<sub>EXT</sub><sup>2</sup>) and concordance correlation coefficient ( CCC) of the developed model met the acceptable criteria ( Q<sup>2</sup> > 0.600, R<sup>2</sup> > 0.700, CCC > 0.850), implying that the model had good goodness-of-fit, robustness, and external
prediction performances. All the results indicated that the phenolic-DBPs have the hTTR disrupting effects, and further studies are needed to investigate their other mechanism of endocrine disruption."
