Title,PMID,Abstract,Deep Learning,text
Mining of Marburg Virus Proteome for Designing an Epitope-Based Vaccine.,35911751,"Marburg virus (MARV) is one of the most harmful zoonotic viruses with deadly effects on both humans and nonhuman primates. Because of its severe outbreaks with a high rate of fatality, the world health organization put it as a risk group 4 pathogen and focused on the urgent need for the development of effective solutions against that virus. However, up to date, there is no effective vaccine against MARV in the market. In the current study, the complete proteome of MARV (seven proteins) was analyzed for the antigenicity score and the virulence or physiological role of each protein where we nominated envelope glycoprotein (Gp), Transcriptional activator (VP30), and membrane-associated protein (VP24) as the candidates for epitope prediction. Following that, a vaccine construct was designed based on CTL, HTL, and BCL epitopes of the selected protein candidates and to finalize the vaccine construct, several amino acid linkers, β-defensin adjuvant, and PADRE peptides were incorporated. The generated potential vaccine was assessed computationally for several properties such as antigenicity, allergenicity, stability, and other structural features where the outcomes of these assessments nominated this potential vaccine to be validated for its binding affinity with two molecular targets TLR-8 and TLR-4. The binding score and the stability of the vaccine-receptor complex, which was deeply studied through molecular docking-coupled dynamics simulation, supported the selection of our designed vaccine as a putative solution for MARV that should be validated through future wet-lab experiments. Here, we describe the computational approach for designing and analysis of this potential vaccine.",0,"Mining of Marburg Virus Proteome for Designing an Epitope-Based Vaccine. Marburg virus (MARV) is one of the most harmful zoonotic viruses with deadly effects on both humans and nonhuman primates. Because of its severe outbreaks with a high rate of fatality, the world health organization put it as a risk group 4 pathogen and focused on the urgent need for the development of effective solutions against that virus. However, up to date, there is no effective vaccine against MARV in the market. In the current study, the complete proteome of MARV (seven proteins) was analyzed for the antigenicity score and the virulence or physiological role of each protein where we nominated envelope glycoprotein (Gp), Transcriptional activator (VP30), and membrane-associated protein (VP24) as the candidates for epitope prediction. Following that, a vaccine construct was designed based on CTL, HTL, and BCL epitopes of the selected protein candidates and to finalize the vaccine construct, several amino acid linkers, β-defensin adjuvant, and PADRE peptides were incorporated. The generated potential vaccine was assessed computationally for several properties such as antigenicity, allergenicity, stability, and other structural features where the outcomes of these assessments nominated this potential vaccine to be validated for its binding affinity with two molecular targets TLR-8 and TLR-4. The binding score and the stability of the vaccine-receptor complex, which was deeply studied through molecular docking-coupled dynamics simulation, supported the selection of our designed vaccine as a putative solution for MARV that should be validated through future wet-lab experiments. Here, we describe the computational approach for designing and analysis of this potential vaccine."
Identification of Potential Aldose Reductase Inhibitors Using Convolutional Neural Network-Based in Silico Screening.,37788831,"Aldose reductase (ALR2) is a notable enzyme of the polyol pathway responsible for aggravating diabetic neuropathy complications. The first step begins when it catalyzes the reduction of glucose to sorbitol with NADPH as a coenzyme. Elevated concentrations of sorbitol damage the tissues, leading to complications like neuropathy. Though considerable effort has been pushed toward the successful discovery of potent inhibitors, its discovery still remains an elusive task. To this end, we present a 3D convolutional neural network (3D-CNN) based ALR2 inhibitor classification technique by dealing with snapshots of images captured from 3D chemical structures with multiple rotations as input data. The CNN-based architecture was trained on the 360 sets of image data along each axis and further prediction on the Maybridge library by each of the models. Subjecting the retrieved hits to molecular docking leads to the identification of the top 10 molecules with high binding affinity. The hits displayed a better blood-brain barrier penetration (BBB) score (90% with more than four scores) as compared to standard inhibitors (38%), reflecting the superior BBB penetrating efficiency of the hits. Followed by molecular docking, the biological evaluation spotlighted five compounds as promising ALR2 inhibitors and can be considered as a likely prospect for further structural optimization with medicinal chemistry efforts to improve their inhibition efficacy and consolidate them as new ALR2 antagonists in the future. In addition, the study also demonstrated the usefulness of scaffold analysis of the molecules as a method for investigating the significance of structurally diverse compounds in data-driven studies. For reproducibility and accessibility purposes, all of the source codes used in our study are publicly available.",1,"Identification of Potential Aldose Reductase Inhibitors Using Convolutional Neural Network-Based in Silico Screening. Aldose reductase (ALR2) is a notable enzyme of the polyol pathway responsible for aggravating diabetic neuropathy complications. The first step begins when it catalyzes the reduction of glucose to sorbitol with NADPH as a coenzyme. Elevated concentrations of sorbitol damage the tissues, leading to complications like neuropathy. Though considerable effort has been pushed toward the successful discovery of potent inhibitors, its discovery still remains an elusive task. To this end, we present a 3D convolutional neural network (3D-CNN) based ALR2 inhibitor classification technique by dealing with snapshots of images captured from 3D chemical structures with multiple rotations as input data. The CNN-based architecture was trained on the 360 sets of image data along each axis and further prediction on the Maybridge library by each of the models. Subjecting the retrieved hits to molecular docking leads to the identification of the top 10 molecules with high binding affinity. The hits displayed a better blood-brain barrier penetration (BBB) score (90% with more than four scores) as compared to standard inhibitors (38%), reflecting the superior BBB penetrating efficiency of the hits. Followed by molecular docking, the biological evaluation spotlighted five compounds as promising ALR2 inhibitors and can be considered as a likely prospect for further structural optimization with medicinal chemistry efforts to improve their inhibition efficacy and consolidate them as new ALR2 antagonists in the future. In addition, the study also demonstrated the usefulness of scaffold analysis of the molecules as a method for investigating the significance of structurally diverse compounds in data-driven studies. For reproducibility and accessibility purposes, all of the source codes used in our study are publicly available."
Decyl Gallate as a Possible Inhibitor of N-Glycosylation Process in Paracoccidioides lutzii.,31451502,"The available antifungal therapeutic arsenal is limited. The search for alternative drugs with fewer side effects and new targets remains a major challenge. Decyl gallate (G14) is a derivative of gallic acid with a range of biological activities and broad-spectrum antifungal activity. Previously, our group demonstrated the promising anti-Paracoccidioides activity of G14. In this work, to evaluate the antifungal characteristics of G14 for Paracoccidioides lutzii, a chemical-genetic interaction analysis was conducted on a Saccharomyces cerevisiae model. N-glycosylation and/or the unfolded protein response pathway was identified as a high-confidence process for drug target prediction. The overactivation of unfolded protein response (UPR) signaling was confirmed using this model with IRE1/ATF6/PERK genes tagged with green fluorescent protein (GFP). In P. lutzii, this prediction was confirmed by the low activity of glycosylated enzymes [α-(1,3)-glucanase, N-acetyl-β-d-glucosaminidase (NAGase), and α-(1,4)-amylase], by hyperexpression of genes involved with the UPR and glycosylated enzymes, and by the reduction in the amounts of glycosylated proteins and chitin. All of these components are involved in fungal cell wall integrity and are dependent on the N-glycosylation process. This loss of integrity was confirmed by the reduction in mitochondrial activity, impaired budding, enhancement of wall permeability, and a decrease in viability. These events led to a reduction of the ability of fungi to adhere on human lung epithelial cells (A549) in vitro Therefore, G14 may have an important role in balancing the inflammatory reaction caused by fungal infection, without interfering with the microbicidal activity of nitric oxide. This work provides new information on the activity of G14, a potential anti-Paracoccidioides compound.",0,"Decyl Gallate as a Possible Inhibitor of N-Glycosylation Process in Paracoccidioides lutzii. The available antifungal therapeutic arsenal is limited. The search for alternative drugs with fewer side effects and new targets remains a major challenge. Decyl gallate (G14) is a derivative of gallic acid with a range of biological activities and broad-spectrum antifungal activity. Previously, our group demonstrated the promising anti-Paracoccidioides activity of G14. In this work, to evaluate the antifungal characteristics of G14 for Paracoccidioides lutzii, a chemical-genetic interaction analysis was conducted on a Saccharomyces cerevisiae model. N-glycosylation and/or the unfolded protein response pathway was identified as a high-confidence process for drug target prediction. The overactivation of unfolded protein response (UPR) signaling was confirmed using this model with IRE1/ATF6/PERK genes tagged with green fluorescent protein (GFP). In P. lutzii, this prediction was confirmed by the low activity of glycosylated enzymes [α-(1,3)-glucanase, N-acetyl-β-d-glucosaminidase (NAGase), and α-(1,4)-amylase], by hyperexpression of genes involved with the UPR and glycosylated enzymes, and by the reduction in the amounts of glycosylated proteins and chitin. All of these components are involved in fungal cell wall integrity and are dependent on the N-glycosylation process. This loss of integrity was confirmed by the reduction in mitochondrial activity, impaired budding, enhancement of wall permeability, and a decrease in viability. These events led to a reduction of the ability of fungi to adhere on human lung epithelial cells (A549) in vitro Therefore, G14 may have an important role in balancing the inflammatory reaction caused by fungal infection, without interfering with the microbicidal activity of nitric oxide. This work provides new information on the activity of G14, a potential anti-Paracoccidioides compound."
Mutation effect estimation on protein-protein interactions using deep contextualized representation learning.,32166223,"The functional impact of protein mutations is reflected on the alteration of conformation and thermodynamics of protein-protein interactions (PPIs). Quantifying the changes of two interacting proteins upon mutations is commonly carried out by computational approaches. Hence, extensive research efforts have been put to the extraction of energetic or structural features on proteins, followed by statistical learning methods to estimate the effects of mutations on PPI properties. Nonetheless, such features require extensive human labors and expert knowledge to obtain, and have limited abilities to reflect point mutations. We present an end-to-end deep learning framework, MuPIPR (Mutation Effects in Protein-protein Interaction PRediction Using Contextualized Representations), to estimate the effects of mutations on PPIs. MuPIPR incorporates a contextualized representation mechanism of amino acids to propagate the effects of a point mutation to surrounding amino acid representations, therefore amplifying the subtle change in a long protein sequence. On top of that, MuPIPR leverages a Siamese residual recurrent convolutional neural encoder to encode a wild-type protein pair and its mutation pair. Multi-layer perceptron regressors are applied to the protein pair representations to predict the quantifiable changes of PPI properties upon mutations. Experimental evaluations show that, with only sequence information, MuPIPR outperforms various state-of-the-art systems on estimating the changes of binding affinity for SKEMPI v1, and offers comparable performance on SKEMPI v2. Meanwhile, MuPIPR also demonstrates state-of-the-art performance on estimating the changes of buried surface areas. The software implementation is available at https://github.com/guangyu-zhou/MuPIPR.",1,"Mutation effect estimation on protein-protein interactions using deep contextualized representation learning. The functional impact of protein mutations is reflected on the alteration of conformation and thermodynamics of protein-protein interactions (PPIs). Quantifying the changes of two interacting proteins upon mutations is commonly carried out by computational approaches. Hence, extensive research efforts have been put to the extraction of energetic or structural features on proteins, followed by statistical learning methods to estimate the effects of mutations on PPI properties. Nonetheless, such features require extensive human labors and expert knowledge to obtain, and have limited abilities to reflect point mutations. We present an end-to-end deep learning framework, MuPIPR (Mutation Effects in Protein-protein Interaction PRediction Using Contextualized Representations), to estimate the effects of mutations on PPIs. MuPIPR incorporates a contextualized representation mechanism of amino acids to propagate the effects of a point mutation to surrounding amino acid representations, therefore amplifying the subtle change in a long protein sequence. On top of that, MuPIPR leverages a Siamese residual recurrent convolutional neural encoder to encode a wild-type protein pair and its mutation pair. Multi-layer perceptron regressors are applied to the protein pair representations to predict the quantifiable changes of PPI properties upon mutations. Experimental evaluations show that, with only sequence information, MuPIPR outperforms various state-of-the-art systems on estimating the changes of binding affinity for SKEMPI v1, and offers comparable performance on SKEMPI v2. Meanwhile, MuPIPR also demonstrates state-of-the-art performance on estimating the changes of buried surface areas. The software implementation is available at https://github.com/guangyu-zhou/MuPIPR."
Integrating Biological Networks for Drug Target Prediction and Prioritization.,30547444,"Computational prediction of the clinical success or failure of a potential drug target for therapeutic use is a challenging problem. Novel network propagation algorithms that integrate heterogeneous biological networks are proving useful for drug target identification and prioritization. These approaches typically utilize a network describing relationships between targets, a method to disseminate the relevant information through the network, and a method to elucidate new associations between targets and diseases. Here, we utilize one such network propagation-based approach, DTINet, which starts with diffusion component analysis of networks of both potential drug targets and diseases. Then an inductive matrix completion algorithm is applied to identify novel disease targets based on their network topological similarities with known disease targets with successfully launched drugs. DTINet performed well as assessed with area under the precision-recall curve (AUPR = 0.88 ± 0.007) and area under the receiver operating characteristic curve (AUROC = 0.86 ± 0.008). These metrics improved when we combined data from multiple networks in the target space but reduced significantly when we used a more conservative method to define negative controls (AUPR = 0.56 ± 0.007, AUROC = 0.57 ± 0.007). We are optimistic that integration of more relevant and cleaner datasets and networks, careful calibration of model parameters, as well as algorithmic improvements will improve prediction accuracy. However, we also recognize that predicting drug targets that are likely to be successful is an extremely challenging problem due to its complex nature and sparsity of known disease targets.",0,"Integrating Biological Networks for Drug Target Prediction and Prioritization. Computational prediction of the clinical success or failure of a potential drug target for therapeutic use is a challenging problem. Novel network propagation algorithms that integrate heterogeneous biological networks are proving useful for drug target identification and prioritization. These approaches typically utilize a network describing relationships between targets, a method to disseminate the relevant information through the network, and a method to elucidate new associations between targets and diseases. Here, we utilize one such network propagation-based approach, DTINet, which starts with diffusion component analysis of networks of both potential drug targets and diseases. Then an inductive matrix completion algorithm is applied to identify novel disease targets based on their network topological similarities with known disease targets with successfully launched drugs. DTINet performed well as assessed with area under the precision-recall curve (AUPR = 0.88 ± 0.007) and area under the receiver operating characteristic curve (AUROC = 0.86 ± 0.008). These metrics improved when we combined data from multiple networks in the target space but reduced significantly when we used a more conservative method to define negative controls (AUPR = 0.56 ± 0.007, AUROC = 0.57 ± 0.007). We are optimistic that integration of more relevant and cleaner datasets and networks, careful calibration of model parameters, as well as algorithmic improvements will improve prediction accuracy. However, we also recognize that predicting drug targets that are likely to be successful is an extremely challenging problem due to its complex nature and sparsity of known disease targets."
Prediction of Drug-Target Interactions Based on Network Representation Learning and Ensemble Learning.,32340959,"Identifying interactions between drugs and target proteins is a critical step in the drug development process, as it helps identify new targets for drugs and accelerate drug development. The number of known drug-protein interactions (positive samples) is much lower than that of the unknown ones (negative samples), which forms a class imbalance. Most previous methods only utilised part of the negative samples to train the prediction model, so most of the information on negative samples was neglected. Therefore, a new method must be developed to predict candidate drug-related proteins and fully utilise negative samples to improve prediction performance. We present a method based on non-negative matrix factorisation and gradient boosting decision tree (GBDT), named NGDTP, to identify the candidate drug-protein interactions. NGDTP integrates multiple kinds of protein similarities, drugs-proteins interactions, and multiple kinds of drugs similarities at different levels, including target proteins of drugs, drug-related diseases, and side effects of drugs. We propose a network representation learning method based on matrix factorisation to learn low-dimensional vector representations of drug and protein nodes. On the basis of these low-dimensional node representations, a GBDT-based prediction model was constructed and it obtains the association scores through establishing multiple decision trees for a drug-protein pairs. NGDTP is an ensemble learning model that fully utilises all the negative samples to effectively alleviate the problem of class imbalance. NGDTP achieves superior prediction performance when it is compared with several state-of-the-art methods. The experimental results indicate that NGDTP also retrieves more actual drug-protein interactions in the top part of prediction result, which drew significant attention from the biologists. In addition, case studies on 10 drugs further confirmed the ability of the NGDTP to identify potential candidate proteins for drugs.",0,"Prediction of Drug-Target Interactions Based on Network Representation Learning and Ensemble Learning. Identifying interactions between drugs and target proteins is a critical step in the drug development process, as it helps identify new targets for drugs and accelerate drug development. The number of known drug-protein interactions (positive samples) is much lower than that of the unknown ones (negative samples), which forms a class imbalance. Most previous methods only utilised part of the negative samples to train the prediction model, so most of the information on negative samples was neglected. Therefore, a new method must be developed to predict candidate drug-related proteins and fully utilise negative samples to improve prediction performance. We present a method based on non-negative matrix factorisation and gradient boosting decision tree (GBDT), named NGDTP, to identify the candidate drug-protein interactions. NGDTP integrates multiple kinds of protein similarities, drugs-proteins interactions, and multiple kinds of drugs similarities at different levels, including target proteins of drugs, drug-related diseases, and side effects of drugs. We propose a network representation learning method based on matrix factorisation to learn low-dimensional vector representations of drug and protein nodes. On the basis of these low-dimensional node representations, a GBDT-based prediction model was constructed and it obtains the association scores through establishing multiple decision trees for a drug-protein pairs. NGDTP is an ensemble learning model that fully utilises all the negative samples to effectively alleviate the problem of class imbalance. NGDTP achieves superior prediction performance when it is compared with several state-of-the-art methods. The experimental results indicate that NGDTP also retrieves more actual drug-protein interactions in the top part of prediction result, which drew significant attention from the biologists. In addition, case studies on 10 drugs further confirmed the ability of the NGDTP to identify potential candidate proteins for drugs."
"A novel biological role for nsLTP2 from Oriza sativa: Potential incorporation with anticancer agents, nucleosides and their analogues.",26001286,"Development of a protein-based drug delivery system has major impact on the efficacy and bioavailability of unstable and water insoluble drugs. In the present study, the binding modes of a nonspecific lipid transfer protein (nsLTP2) from Oryza sativa with various nucleosides and analogous molecules were identified. The 3-D structure of the protein was designed and validated using modeler 9.13, Molegro virtual docker and procheck tool, respectively. The binding affinity and strength of interactions, key contributing residues and specificity toward the substrates were accomplished by computational docking and model prediction. The protein presented high affinity to acyclovir and vidarabine as purine-analogous drugs. Binding affinity is influenced by the core template and functional groups of the ligands which are structurally different cause the variation of interaction energies with nsLTP2. Nonetheless, all the evaluated analogous drugs occupy the proximity space at the nsLTP active site with high similarity in their binding modes. Our findings hold great promise for the future applications of nsLTPs in various aspects of pharmaceutical science and molecular biology.",0,"A novel biological role for nsLTP2 from Oriza sativa: Potential incorporation with anticancer agents, nucleosides and their analogues. Development of a protein-based drug delivery system has major impact on the efficacy and bioavailability of unstable and water insoluble drugs. In the present study, the binding modes of a nonspecific lipid transfer protein (nsLTP2) from Oryza sativa with various nucleosides and analogous molecules were identified. The 3-D structure of the protein was designed and validated using modeler 9.13, Molegro virtual docker and procheck tool, respectively. The binding affinity and strength of interactions, key contributing residues and specificity toward the substrates were accomplished by computational docking and model prediction. The protein presented high affinity to acyclovir and vidarabine as purine-analogous drugs. Binding affinity is influenced by the core template and functional groups of the ligands which are structurally different cause the variation of interaction energies with nsLTP2. Nonetheless, all the evaluated analogous drugs occupy the proximity space at the nsLTP active site with high similarity in their binding modes. Our findings hold great promise for the future applications of nsLTPs in various aspects of pharmaceutical science and molecular biology."
Predicting Drug-Target Interactions via Dual-Stream Graph Neural Network.,36074878,"Drug target interaction prediction is a crucial stage in drug discovery. However, brute-force search over a compound database is financially infeasible. We have witnessed the increasing measured drug-target interactions records in recent years, and the rich drug/protein-related information allows the usage of graph machine learning. Despite the advances in deep learning-enabled drug-target interaction, there are still open challenges: (1) rich and complex relationship between drugs and proteins can be explored; (2) the intermediate node is not calibrated in the heterogeneous graph. To tackle with above issues, this paper proposed a framework named DSG-DTI. Specifically, DSG-DTI has the heterogeneous graph autoencoder and heterogeneous attention network-based Matrix Completion. Our framework ensures that the known types of nodes (e.g., drug, target, side effects, diseases) are precisely embedded into high-dimensional space with our pretraining skills. Also, the attention-based heterogeneous graph-based matrix completion achieves highly competitive results via effective long-range dependencies extraction. We verify our model on two public benchmarks. The result of two publicly available benchmark application programs show that the proposed scheme effectively predicts drug-target interactions and can generalize to newly registered drugs and targets with slight performance degradation, outperforming the best accuracy compared with other baselines.",1,"Predicting Drug-Target Interactions via Dual-Stream Graph Neural Network. Drug target interaction prediction is a crucial stage in drug discovery. However, brute-force search over a compound database is financially infeasible. We have witnessed the increasing measured drug-target interactions records in recent years, and the rich drug/protein-related information allows the usage of graph machine learning. Despite the advances in deep learning-enabled drug-target interaction, there are still open challenges: (1) rich and complex relationship between drugs and proteins can be explored; (2) the intermediate node is not calibrated in the heterogeneous graph. To tackle with above issues, this paper proposed a framework named DSG-DTI. Specifically, DSG-DTI has the heterogeneous graph autoencoder and heterogeneous attention network-based Matrix Completion. Our framework ensures that the known types of nodes (e.g., drug, target, side effects, diseases) are precisely embedded into high-dimensional space with our pretraining skills. Also, the attention-based heterogeneous graph-based matrix completion achieves highly competitive results via effective long-range dependencies extraction. We verify our model on two public benchmarks. The result of two publicly available benchmark application programs show that the proposed scheme effectively predicts drug-target interactions and can generalize to newly registered drugs and targets with slight performance degradation, outperforming the best accuracy compared with other baselines."
Ligand binding affinity prediction with fusion of graph neural networks and 3D structure-based complex graph.,37655493,"Accurate prediction of protein-ligand binding affinity is pivotal for drug design and discovery. Here, we proposed a novel deep fusion graph neural networks framework named FGNN to learn the protein-ligand interactions from the 3D structures of protein-ligand complexes. Unlike 1D sequences for proteins or 2D graphs for ligands, the 3D graph of protein-ligand complex enables the more accurate representations of the protein-ligand interactions. Benchmark studies have shown that our fusion models FGNN can achieve more accurate prediction of binding affinity than any individual algorithm. The advantages of fusion strategies have been demonstrated in terms of expressive power of data, learning efficiency and model interpretability. Our fusion models show satisfactory performances on diverse data sets, demonstrating their generalization ability. Given the good performances in both binding affinity prediction and virtual screening, our fusion models are expected to be practically applied for drug screening and design. Our work highlights the potential of the fusion graph neural network algorithm in solving complex prediction problems in computational biology and chemistry. The fusion graph neural networks (FGNN) model is freely available in https://github.com/LinaDongXMU/FGNN.",1,"Ligand binding affinity prediction with fusion of graph neural networks and 3D structure-based complex graph. Accurate prediction of protein-ligand binding affinity is pivotal for drug design and discovery. Here, we proposed a novel deep fusion graph neural networks framework named FGNN to learn the protein-ligand interactions from the 3D structures of protein-ligand complexes. Unlike 1D sequences for proteins or 2D graphs for ligands, the 3D graph of protein-ligand complex enables the more accurate representations of the protein-ligand interactions. Benchmark studies have shown that our fusion models FGNN can achieve more accurate prediction of binding affinity than any individual algorithm. The advantages of fusion strategies have been demonstrated in terms of expressive power of data, learning efficiency and model interpretability. Our fusion models show satisfactory performances on diverse data sets, demonstrating their generalization ability. Given the good performances in both binding affinity prediction and virtual screening, our fusion models are expected to be practically applied for drug screening and design. Our work highlights the potential of the fusion graph neural network algorithm in solving complex prediction problems in computational biology and chemistry. The fusion graph neural networks (FGNN) model is freely available in https://github.com/LinaDongXMU/FGNN."
Deep Learning-Based Bioactive Therapeutic Peptide Generation and Screening.,36724090,"Many bioactive peptides demonstrated therapeutic effects over complicated diseases, such as antiviral, antibacterial, anticancer, etc. It is possible to generate a large number of potentially bioactive peptides using deep learning in a manner analogous to the generation of de novo chemical compounds using the acquired bioactive peptides as a training set. Such generative techniques would be significant for drug development since peptides are much easier and cheaper to synthesize than compounds. Despite the limited availability of deep learning-based peptide-generating models, we have built an LSTM model (called LSTM_Pep) to generate de novo peptides and fine-tuned the model to generate de novo peptides with specific prospective therapeutic benefits. Remarkably, the Antimicrobial Peptide Database has been effectively utilized to generate various kinds of potential active de novo peptides. We proposed a pipeline for screening those generated peptides for a given target and used the main protease of SARS-COV-2 as a proof-of-concept. Moreover, we have developed a deep learning-based protein-peptide prediction model (DeepPep) for rapid screening of the generated peptides for the given targets. Together with the generating model, we have demonstrated that iteratively fine-tuning training, generating, and screening peptides for higher-predicted binding affinity peptides can be achieved. Our work sheds light on developing deep learning-based methods and pipelines to effectively generate and obtain bioactive peptides with a specific therapeutic effect and showcases how artificial intelligence can help discover de novo bioactive peptides that can bind to a particular target.",1,"Deep Learning-Based Bioactive Therapeutic Peptide Generation and Screening. Many bioactive peptides demonstrated therapeutic effects over complicated diseases, such as antiviral, antibacterial, anticancer, etc. It is possible to generate a large number of potentially bioactive peptides using deep learning in a manner analogous to the generation of de novo chemical compounds using the acquired bioactive peptides as a training set. Such generative techniques would be significant for drug development since peptides are much easier and cheaper to synthesize than compounds. Despite the limited availability of deep learning-based peptide-generating models, we have built an LSTM model (called LSTM_Pep) to generate de novo peptides and fine-tuned the model to generate de novo peptides with specific prospective therapeutic benefits. Remarkably, the Antimicrobial Peptide Database has been effectively utilized to generate various kinds of potential active de novo peptides. We proposed a pipeline for screening those generated peptides for a given target and used the main protease of SARS-COV-2 as a proof-of-concept. Moreover, we have developed a deep learning-based protein-peptide prediction model (DeepPep) for rapid screening of the generated peptides for the given targets. Together with the generating model, we have demonstrated that iteratively fine-tuning training, generating, and screening peptides for higher-predicted binding affinity peptides can be achieved. Our work sheds light on developing deep learning-based methods and pipelines to effectively generate and obtain bioactive peptides with a specific therapeutic effect and showcases how artificial intelligence can help discover de novo bioactive peptides that can bind to a particular target."
GraphDTA: predicting drug-target binding affinity with graph neural networks.,33119053,"The development of new drugs is costly, time consuming and often accompanied with safety issues. Drug repurposing can avoid the expensive and lengthy process of drug development by finding new uses for already approved drugs. In order to repurpose drugs effectively, it is useful to know which proteins are targeted by which drugs. Computational models that estimate the interaction strength of new drug-target pairs have the potential to expedite drug repurposing. Several models have been proposed for this task. However, these models represent the drugs as strings, which is not a natural way to represent molecules. We propose a new model called GraphDTA that represents drugs as graphs and uses graph neural networks to predict drug-target affinity. We show that graph neural networks not only predict drug-target affinity better than non-deep learning models, but also outperform competing deep learning methods. Our results confirm that deep learning models are appropriate for drug-target binding affinity prediction, and that representing drugs as graphs can lead to further improvements. The proposed models are implemented in Python. Related data, pre-trained models and source code are publicly available at https://github.com/thinng/GraphDTA. All scripts and data needed to reproduce the post hoc statistical analysis are available from https://doi.org/10.5281/zenodo.3603523. Supplementary data are available at Bioinformatics online.",1,"GraphDTA: predicting drug-target binding affinity with graph neural networks. The development of new drugs is costly, time consuming and often accompanied with safety issues. Drug repurposing can avoid the expensive and lengthy process of drug development by finding new uses for already approved drugs. In order to repurpose drugs effectively, it is useful to know which proteins are targeted by which drugs. Computational models that estimate the interaction strength of new drug-target pairs have the potential to expedite drug repurposing. Several models have been proposed for this task. However, these models represent the drugs as strings, which is not a natural way to represent molecules. We propose a new model called GraphDTA that represents drugs as graphs and uses graph neural networks to predict drug-target affinity. We show that graph neural networks not only predict drug-target affinity better than non-deep learning models, but also outperform competing deep learning methods. Our results confirm that deep learning models are appropriate for drug-target binding affinity prediction, and that representing drugs as graphs can lead to further improvements. The proposed models are implemented in Python. Related data, pre-trained models and source code are publicly available at https://github.com/thinng/GraphDTA. All scripts and data needed to reproduce the post hoc statistical analysis are available from https://doi.org/10.5281/zenodo.3603523. Supplementary data are available at Bioinformatics online."
"Synthesis, antibacterial studies, and molecular modeling studies of 3,4-dihydropyrimidinone compounds.",26855679,"The syntheses of dihydropyrimidinones (DHPMs) using solvent-free grindstone chemistry method. All the synthesized compounds exhibited significant activity against pathogenic bacteria. The current effort has been developed to obtain new DHPM derivatives that focus on the bacterial ribosomal A site RNA as a drug target. Molecular docking simulation analysis was applied to confirm the target specificity of DHPMs. The crystal structure of bacterial 16S rRNA and human 40S rRNA was taken as receptors for docking. Finally, the docking score, binding site interaction analysis revealed that DHPMs exhibit more specificity towards 16S rRNA than known antibiotic amikacin. Accordingly, targeting the bacterial ribosomal A site RNA with potential drug leads promises to overcome the bacterial drug resistance. Even though, anti-neoplastic activities of DHPMs were also predicted through prediction of activity spectra for substances (PASS) tool. Further, the results establish that the DHPMs can serve as perfect leads against bacterial drug resistance.",0,"Synthesis, antibacterial studies, and molecular modeling studies of 3,4-dihydropyrimidinone compounds. The syntheses of dihydropyrimidinones (DHPMs) using solvent-free grindstone chemistry method. All the synthesized compounds exhibited significant activity against pathogenic bacteria. The current effort has been developed to obtain new DHPM derivatives that focus on the bacterial ribosomal A site RNA as a drug target. Molecular docking simulation analysis was applied to confirm the target specificity of DHPMs. The crystal structure of bacterial 16S rRNA and human 40S rRNA was taken as receptors for docking. Finally, the docking score, binding site interaction analysis revealed that DHPMs exhibit more specificity towards 16S rRNA than known antibiotic amikacin. Accordingly, targeting the bacterial ribosomal A site RNA with potential drug leads promises to overcome the bacterial drug resistance. Even though, anti-neoplastic activities of DHPMs were also predicted through prediction of activity spectra for substances (PASS) tool. Further, the results establish that the DHPMs can serve as perfect leads against bacterial drug resistance."
Target-Mediated Brain Tissue Binding for Small Molecule Inhibitors of Heat Shock Protein 90.,33105895,"Drug distribution in the brain is generally associated with an affinity for fatty brain tissues and therefore known to be species- and concentration-independent. We report here the effect of target affinity on brain tissue binding for 10 small molecules designed to inhibit brain heat shock protein 90 (HSP90), a widespread protein whose expression is 1-2% of total cytosolic proteins in eucaryotes. Our results show that increasing the test item concentrations from 0.3 to 100 µM increased the unbound fraction 32-fold for the most potent molecules, with no change for the inactive one (1.1 fold change). Saturation of HSP90 led to normal concentration-independent brain tissue binding. In vivo pharmacokinetics performed in rats showed that the overall volume of distribution of compounds is correlated with their affinity for HSP90. The in vitro binding and in vivo pharmacokinetics (PK) performed in rats showed that small molecule HSP90 inhibitors followed the principle of target-mediated drug disposition. We demonstrate that assessing unbound fractions in brain homogenate was subject to HSP90 target interference; this may challenge the process of linking systemic-free drug concentrations to central nervous system unbound concentrations necessary to establish the proper pharmacokinetics/pharmacodynamics (PK/PD) relation needed for human dose prediction.",0,"Target-Mediated Brain Tissue Binding for Small Molecule Inhibitors of Heat Shock Protein 90. Drug distribution in the brain is generally associated with an affinity for fatty brain tissues and therefore known to be species- and concentration-independent. We report here the effect of target affinity on brain tissue binding for 10 small molecules designed to inhibit brain heat shock protein 90 (HSP90), a widespread protein whose expression is 1-2% of total cytosolic proteins in eucaryotes. Our results show that increasing the test item concentrations from 0.3 to 100 µM increased the unbound fraction 32-fold for the most potent molecules, with no change for the inactive one (1.1 fold change). Saturation of HSP90 led to normal concentration-independent brain tissue binding. In vivo pharmacokinetics performed in rats showed that the overall volume of distribution of compounds is correlated with their affinity for HSP90. The in vitro binding and in vivo pharmacokinetics (PK) performed in rats showed that small molecule HSP90 inhibitors followed the principle of target-mediated drug disposition. We demonstrate that assessing unbound fractions in brain homogenate was subject to HSP90 target interference; this may challenge the process of linking systemic-free drug concentrations to central nervous system unbound concentrations necessary to establish the proper pharmacokinetics/pharmacodynamics (PK/PD) relation needed for human dose prediction."
