Title,PMID,Abstract,AUROC,text
Drug Repositioning by Integrating Known Disease-Gene and Drug-Target Associations in a Semi-supervised Learning Model.,29700660,"Computational drug repositioning has been proven as a promising and efficient strategy for discovering new uses from existing drugs. To achieve this goal, a number of computational methods have been proposed, which are based on different data sources of drugs and diseases. These methods
approach the problem using either machine learning- or network-based models with an assumption that similar drugs can be used for similar diseases to identify new indications of drugs. Therefore, similarities between drugs and between diseases are usually used as inputs. In addition, known
drug-disease associations are also needed for the methods as prior information. It should be noted that those associations are still not well established due to the fact that many of marketed drugs have been withdrawn and this could affect the outcome of the methods. In this study, we propose a
novel method named RLSDR (Regularized Least Square for Drug Repositioning) to find new uses of drugs. More specifically, it relies on a semi-supervised learning model, Regularized Least Square, thus it does not require definition of non-drug-disease associations as previously proposed machine
learning-based methods. In addition, the similarity between drugs measured by chemical structures of drug compounds and the similarity between diseases which share phenotypes can be represented in a form of either similarity network or similarity matrix as inputs of the method. Moreover, instead of
using a gold-standard set of known drug-disease associations, we construct an artificial set of the associations based on known disease-gene and drug-target associations. Experiment results demonstrate that RLSDR achieves better prediction performance on the artificial set of drug-disease
associations than that on the gold-standard ones in terms of area under the Receiver Operating Characteristic (ROC) curve (AUC). In addition, it outperforms two representative network-based methods irrespective of the prior information of drug-disease associations. Novel indications for a number of
drugs are also identified and validated by evidences from a different data resource.",1,"Drug Repositioning by Integrating Known Disease-Gene and Drug-Target Associations in a Semi-supervised Learning Model. Computational drug repositioning has been proven as a promising and efficient strategy for discovering new uses from existing drugs. To achieve this goal, a number of computational methods have been proposed, which are based on different data sources of drugs and diseases. These methods
approach the problem using either machine learning- or network-based models with an assumption that similar drugs can be used for similar diseases to identify new indications of drugs. Therefore, similarities between drugs and between diseases are usually used as inputs. In addition, known
drug-disease associations are also needed for the methods as prior information. It should be noted that those associations are still not well established due to the fact that many of marketed drugs have been withdrawn and this could affect the outcome of the methods. In this study, we propose a
novel method named RLSDR (Regularized Least Square for Drug Repositioning) to find new uses of drugs. More specifically, it relies on a semi-supervised learning model, Regularized Least Square, thus it does not require definition of non-drug-disease associations as previously proposed machine
learning-based methods. In addition, the similarity between drugs measured by chemical structures of drug compounds and the similarity between diseases which share phenotypes can be represented in a form of either similarity network or similarity matrix as inputs of the method. Moreover, instead of
using a gold-standard set of known drug-disease associations, we construct an artificial set of the associations based on known disease-gene and drug-target associations. Experiment results demonstrate that RLSDR achieves better prediction performance on the artificial set of drug-disease
associations than that on the gold-standard ones in terms of area under the Receiver Operating Characteristic (ROC) curve (AUC). In addition, it outperforms two representative network-based methods irrespective of the prior information of drug-disease associations. Novel indications for a number of
drugs are also identified and validated by evidences from a different data resource."
In silico analysis predicting effects of deleterious SNPs of human RASSF5 gene on its structure and functions.,32884013,"Ras association domain-containing protein 5 (RASSF5), one of the prospective biomarkers for tumors, generally plays a crucial role as a tumor suppressor. As deleterious effects can result from functional differences through SNPs, we sought to analyze the most deleterious SNPs of RASSF5 as
well as predict the structural changes associated with the mutants that hamper the normal protein-protein interactions. We adopted both sequence and structure based approaches to analyze the SNPs of RASSF5 protein. We also analyzed the putative post translational modification sites as well as the
altered protein-protein interactions that encompass various cascades of signals. Out of all the SNPs obtained from the NCBI database, only 25 were considered as highly deleterious by six in silico SNP prediction tools. Among them, upon analyzing the effect of these nsSNPs on the stability of the
protein, we found 17 SNPs that decrease the stability. Significant deviation in the energy minimization score was observed in P350R, F321L, and R277W. Besides this, docking analysis confirmed that P350R, A319V, F321L, and R277W reduce the binding affinity of the protein with H-Ras, where P350R shows
the most remarkable deviation. Protein-protein interaction analysis revealed that RASSF5 acts as a hub connecting two clusters consisting of 18 proteins and alteration in the RASSF5 may lead to disassociation of several signal cascades. Thus, based on these analyses, our study suggests that the
reported functional SNPs may serve as potential targets for different proteomic studies, diagnosis and therapeutic interventions.",0,"In silico analysis predicting effects of deleterious SNPs of human RASSF5 gene on its structure and functions. Ras association domain-containing protein 5 (RASSF5), one of the prospective biomarkers for tumors, generally plays a crucial role as a tumor suppressor. As deleterious effects can result from functional differences through SNPs, we sought to analyze the most deleterious SNPs of RASSF5 as
well as predict the structural changes associated with the mutants that hamper the normal protein-protein interactions. We adopted both sequence and structure based approaches to analyze the SNPs of RASSF5 protein. We also analyzed the putative post translational modification sites as well as the
altered protein-protein interactions that encompass various cascades of signals. Out of all the SNPs obtained from the NCBI database, only 25 were considered as highly deleterious by six in silico SNP prediction tools. Among them, upon analyzing the effect of these nsSNPs on the stability of the
protein, we found 17 SNPs that decrease the stability. Significant deviation in the energy minimization score was observed in P350R, F321L, and R277W. Besides this, docking analysis confirmed that P350R, A319V, F321L, and R277W reduce the binding affinity of the protein with H-Ras, where P350R shows
the most remarkable deviation. Protein-protein interaction analysis revealed that RASSF5 acts as a hub connecting two clusters consisting of 18 proteins and alteration in the RASSF5 may lead to disassociation of several signal cascades. Thus, based on these analyses, our study suggests that the
reported functional SNPs may serve as potential targets for different proteomic studies, diagnosis and therapeutic interventions."
Prediction of compound-target interactions of natural products using large-scale drug and protein information.,27490208,"Verifying the proteins that are targeted by compounds of natural herbs will be helpful to select natural herb-based drug candidates. However, this entails a great deal of effort to clarify the interaction throughout in vitro or in vivo experiments. In this light, in silico prediction of
the interactions between compounds and target proteins can help ease the efforts. In this study, we performed in silico predictions of herbal compound target identification. First, data related to compounds, target proteins, and interactions between them are taken from the DrugBank database. Then we
characterized six classes of compound-target interaction in humans including G-protein-coupled receptors (GPCRs), ion channel, enzymes, receptors, transporters, and other proteins. Also, classification-prediction models that predict the interactions between compounds and target proteins through a
machine learning method were constructed using these matrices. As a result, AUC values of six classes are 0.94, 0.93, 0.90, 0.89, 0.91, and 0.76 respectively. Finally, the interactions of compounds from natural products were predicted using the constructed classification models. Furthermore, from
our predicted results, we confirmed that several important disease related proteins were predicted as targets of natural herbal compounds. We constructed classification-prediction models that predict the interactions between compounds and target proteins. The constructed models showed good
prediction performances, and numbers of potential natural compounds target proteins were predicted from our results.",1,"Prediction of compound-target interactions of natural products using large-scale drug and protein information. Verifying the proteins that are targeted by compounds of natural herbs will be helpful to select natural herb-based drug candidates. However, this entails a great deal of effort to clarify the interaction throughout in vitro or in vivo experiments. In this light, in silico prediction of
the interactions between compounds and target proteins can help ease the efforts. In this study, we performed in silico predictions of herbal compound target identification. First, data related to compounds, target proteins, and interactions between them are taken from the DrugBank database. Then we
characterized six classes of compound-target interaction in humans including G-protein-coupled receptors (GPCRs), ion channel, enzymes, receptors, transporters, and other proteins. Also, classification-prediction models that predict the interactions between compounds and target proteins through a
machine learning method were constructed using these matrices. As a result, AUC values of six classes are 0.94, 0.93, 0.90, 0.89, 0.91, and 0.76 respectively. Finally, the interactions of compounds from natural products were predicted using the constructed classification models. Furthermore, from
our predicted results, we confirmed that several important disease related proteins were predicted as targets of natural herbal compounds. We constructed classification-prediction models that predict the interactions between compounds and target proteins. The constructed models showed good
prediction performances, and numbers of potential natural compounds target proteins were predicted from our results."
In silico drug repositioning based on integrated drug targets and canonical correlation analysis.,35249529,"Besides binding to proteins, the most recent advances in pharmacogenomics indicate drugs can regulate the expression of non-coding RNAs (ncRNAs). The polypharmacological feature in drugs enables us to find new uses for existing drugs (namely drug repositioning). However, current
computational methods for drug repositioning mainly consider proteins as drug targets. Meanwhile, these methods identify only statistical relationships between drugs and diseases. They provide little information about how drug-disease associations are formed at the molecular target level. Herein, we
first comprehensively collect proteins and two categories of ncRNAs as drug targets from public databases to construct drug-target interactions. Experimentally confirmed drug-disease associations are downloaded from an established database. A canonical correlation analysis (CCA) based method is then
applied to the two datasets to extract correlated sets of targets and diseases. The correlated sets are regarded as canonical components, and they are used to investigate drug's mechanism of actions. We finally develop a strategy to predict novel drug-disease associations for drug repositioning by
combining all the extracted correlated sets. We receive 400 canonical components which correlate targets with diseases in our study. We select 4 components for analysis and find some top-ranking diseases in an extracted set might be treated by drugs interfacing with the top-ranking targets in the
same set. Experimental results from 10-fold cross-validations show integrating different categories of target information results in better prediction performance than only using proteins or ncRNAs as targets. When compared with 3 state-of-the-art approaches, our method receives the highest AUC
value 0.8576. We use our method to predict new indications for 789 drugs and confirm 24 predictions in the top 1 predictions. To the best of our knowledge, this is the first computational effort which combines both proteins and ncRNAs as drug targets for drug repositioning. Our study provides a
biologically relevant interpretation regarding the forming of drug-disease associations, which is useful for guiding future biomedical tests.",1,"In silico drug repositioning based on integrated drug targets and canonical correlation analysis. Besides binding to proteins, the most recent advances in pharmacogenomics indicate drugs can regulate the expression of non-coding RNAs (ncRNAs). The polypharmacological feature in drugs enables us to find new uses for existing drugs (namely drug repositioning). However, current
computational methods for drug repositioning mainly consider proteins as drug targets. Meanwhile, these methods identify only statistical relationships between drugs and diseases. They provide little information about how drug-disease associations are formed at the molecular target level. Herein, we
first comprehensively collect proteins and two categories of ncRNAs as drug targets from public databases to construct drug-target interactions. Experimentally confirmed drug-disease associations are downloaded from an established database. A canonical correlation analysis (CCA) based method is then
applied to the two datasets to extract correlated sets of targets and diseases. The correlated sets are regarded as canonical components, and they are used to investigate drug's mechanism of actions. We finally develop a strategy to predict novel drug-disease associations for drug repositioning by
combining all the extracted correlated sets. We receive 400 canonical components which correlate targets with diseases in our study. We select 4 components for analysis and find some top-ranking diseases in an extracted set might be treated by drugs interfacing with the top-ranking targets in the
same set. Experimental results from 10-fold cross-validations show integrating different categories of target information results in better prediction performance than only using proteins or ncRNAs as targets. When compared with 3 state-of-the-art approaches, our method receives the highest AUC
value 0.8576. We use our method to predict new indications for 789 drugs and confirm 24 predictions in the top 1 predictions. To the best of our knowledge, this is the first computational effort which combines both proteins and ncRNAs as drug targets for drug repositioning. Our study provides a
biologically relevant interpretation regarding the forming of drug-disease associations, which is useful for guiding future biomedical tests."
Predicting Drug-Target Interactions with Deep-Embedding Learning of Graphs and Sequences.,34142824,"Computational approaches for predicting drug-target interactions (DTIs) play an important role in drug discovery since conventional screening experiments are time-consuming and expensive. In this study, we proposed end-to-end representation learning of a graph neural network with an
attention mechanism and an attentive bidirectional long short-term memory (BiLSTM) to predict DTIs. For efficient training, we introduced a bidirectional encoder representations from transformers (BERT) pretrained method to extract substructure features from protein sequences and a local
breadth-first search (BFS) to learn subgraph information from molecular graphs. Integrating both models, we developed a DTI prediction system. As a result, the proposed method achieved high performances with increases of 2.4% and 9.4% for AUC and recall, respectively, on unbalanced datasets compared
with other methods. Extensive experiments showed that our model can relatively screen potential drugs for specific protein. Furthermore, visualizing the attention weights provides biological insight.",1,"Predicting Drug-Target Interactions with Deep-Embedding Learning of Graphs and Sequences. Computational approaches for predicting drug-target interactions (DTIs) play an important role in drug discovery since conventional screening experiments are time-consuming and expensive. In this study, we proposed end-to-end representation learning of a graph neural network with an
attention mechanism and an attentive bidirectional long short-term memory (BiLSTM) to predict DTIs. For efficient training, we introduced a bidirectional encoder representations from transformers (BERT) pretrained method to extract substructure features from protein sequences and a local
breadth-first search (BFS) to learn subgraph information from molecular graphs. Integrating both models, we developed a DTI prediction system. As a result, the proposed method achieved high performances with increases of 2.4% and 9.4% for AUC and recall, respectively, on unbalanced datasets compared
with other methods. Extensive experiments showed that our model can relatively screen potential drugs for specific protein. Furthermore, visualizing the attention weights provides biological insight."
GCMCDTI: Graph convolutional autoencoder framework for predicting drug-target interactions based on matrix completion.,36350601,"Identification of potential drug-target interactions (DTIs) plays a pivotal role in the development of drug and target discovery in the public healthcare sector. However, biological experiments for predicting interactions between drugs and targets are still expensive, complicated, and
time-consuming. Thus, computational methods are widely applied for aiding drug-target interaction prediction. In this paper, we propose a novel model, named GCMCDTI, for DTIs prediction which adopts a graph convolutional network based on matrix completion. We regard the association prediction
between drugs and targets as link prediction and treat the process as matrix completion, and then a graph convolutional auto-encoder framework is employed to construct the drug and target embeddings. Then, a bilinear decoder is applied to reconstruct the DTI matrix. We conduct our experiments on
four benchmark datasets consisting of enzymes, G protein-coupled receptors (GPCRs), ion channels, and nuclear receptors. The five-fold cross-validation results achieve the high average AUC values of 95.78%, 95.31%, 93.90%, and 91.77%, respectively. To further evaluate our method, we compare our
proposed method with other state-of-the-art approaches. The comparison results illustrate that our proposed method obtains improvement in performance on DTI prediction. The proposed method will be a good choice in the field of DTI prediction.",1,"GCMCDTI: Graph convolutional autoencoder framework for predicting drug-target interactions based on matrix completion. Identification of potential drug-target interactions (DTIs) plays a pivotal role in the development of drug and target discovery in the public healthcare sector. However, biological experiments for predicting interactions between drugs and targets are still expensive, complicated, and
time-consuming. Thus, computational methods are widely applied for aiding drug-target interaction prediction. In this paper, we propose a novel model, named GCMCDTI, for DTIs prediction which adopts a graph convolutional network based on matrix completion. We regard the association prediction
between drugs and targets as link prediction and treat the process as matrix completion, and then a graph convolutional auto-encoder framework is employed to construct the drug and target embeddings. Then, a bilinear decoder is applied to reconstruct the DTI matrix. We conduct our experiments on
four benchmark datasets consisting of enzymes, G protein-coupled receptors (GPCRs), ion channels, and nuclear receptors. The five-fold cross-validation results achieve the high average AUC values of 95.78%, 95.31%, 93.90%, and 91.77%, respectively. To further evaluate our method, we compare our
proposed method with other state-of-the-art approaches. The comparison results illustrate that our proposed method obtains improvement in performance on DTI prediction. The proposed method will be a good choice in the field of DTI prediction."
Drug-Target Interaction Prediction Using Multi-Head Self-Attention and Graph Attention Network.,33956632,"Identifying drug-target interactions (DTIs) is an important step in the process of new drug discovery and drug repositioning. Accurate predictions for DTIs can improve the efficiency in the drug discovery and development. Although rapid advances in deep learning technologies have generated
various computational methods, it is still appealing to further investigate how to design efficient networks for predicting DTIs. In this study, we propose an end-to-end deep learning method (called MHSADTI) to predict DTIs based on the graph attention network and multi-head self-attention
mechanism. First, the characteristics of drugs and proteins are extracted by the graph attention network and multi-head self-attention mechanism, respectively. Then, the attention scores are used to consider which amino acid subsequence in a protein is more important for the drug to predict its
interactions. Finally, we predict DTIs by a fully connected layer after obtaining the feature vectors of drugs and proteins. MHSADTI takes advantage of self-attention mechanism for obtaining long-dependent contextual relationship in amino acid sequences and predicting DTI interpretability. More
effective molecular characteristics are also obtained by the attention mechanism in graph attention networks. Multiple cross validation experiments are adopted to assess the performance of our MHSADTI. The experiments on four datasets, human, C.elegans, DUD-E and DrugBank show our method outperforms
the state-of-the-art methods in terms of AUC, Precision, Recall, AUPR and F1-score. In addition, the case studies further demonstrate that our method can provide effective visualizations to interpret the prediction results from biological insights.",1,"Drug-Target Interaction Prediction Using Multi-Head Self-Attention and Graph Attention Network. Identifying drug-target interactions (DTIs) is an important step in the process of new drug discovery and drug repositioning. Accurate predictions for DTIs can improve the efficiency in the drug discovery and development. Although rapid advances in deep learning technologies have generated
various computational methods, it is still appealing to further investigate how to design efficient networks for predicting DTIs. In this study, we propose an end-to-end deep learning method (called MHSADTI) to predict DTIs based on the graph attention network and multi-head self-attention
mechanism. First, the characteristics of drugs and proteins are extracted by the graph attention network and multi-head self-attention mechanism, respectively. Then, the attention scores are used to consider which amino acid subsequence in a protein is more important for the drug to predict its
interactions. Finally, we predict DTIs by a fully connected layer after obtaining the feature vectors of drugs and proteins. MHSADTI takes advantage of self-attention mechanism for obtaining long-dependent contextual relationship in amino acid sequences and predicting DTI interpretability. More
effective molecular characteristics are also obtained by the attention mechanism in graph attention networks. Multiple cross validation experiments are adopted to assess the performance of our MHSADTI. The experiments on four datasets, human, C.elegans, DUD-E and DrugBank show our method outperforms
the state-of-the-art methods in terms of AUC, Precision, Recall, AUPR and F1-score. In addition, the case studies further demonstrate that our method can provide effective visualizations to interpret the prediction results from biological insights."
Drug-target interaction prediction: A Bayesian ranking approach.,29054256,"In silico prediction of drug-target interactions (DTI) could provide valuable information and speed-up the process of drug repositioning - finding novel usage for existing drugs. In our work, we focus on machine learning algorithms supporting drug-centric repositioning approach, which aims
to find novel usage for existing or abandoned drugs. We aim at proposing a per-drug ranking-based method, which reflects the needs of drug-centric repositioning research better than conventional drug-target prediction approaches. We propose Bayesian Ranking Prediction of Drug-Target Interactions
(BRDTI). The method is based on Bayesian Personalized Ranking matrix factorization (BPR) which has been shown to be an excellent approach for various preference learning tasks, however, it has not been used for DTI prediction previously. In order to successfully deal with DTI challenges, we extended
BPR by proposing: (i) the incorporation of target bias, (ii) a technique to handle new drugs and (iii) content alignment to take structural similarities of drugs and targets into account. Evaluation on five benchmark datasets shows that BRDTI outperforms several state-of-the-art approaches in terms
of per-drug nDCG and AUC. BRDTI results w.r.t. nDCG are 0.929, 0.953, 0.948, 0.897 and 0.690 for G-Protein Coupled Receptors (GPCR), Ion Channels (IC), Nuclear Receptors (NR), Enzymes (E) and Kinase (K) datasets respectively. Additionally, BRDTI significantly outperformed other methods (BLM-NII,
WNN-GIP, NetLapRLS and CMF) w.r.t. nDCG in 17 out of 20 cases. Furthermore, BRDTI was also shown to be able to predict novel drug-target interactions not contained in the original datasets. The average recall at top-10 predicted targets for each drug was 0.762, 0.560, 1.000 and 0.404 for GPCR, IC,
NR, and E datasets respectively. Based on the evaluation, we can conclude that BRDTI is an appropriate choice for researchers looking for an in silico DTI prediction technique to be used in drug-centric repositioning scenarios. BRDTI Software and supplementary materials are available online at
www.ksi.mff.cuni.cz/∼peska/BRDTI.",1,"Drug-target interaction prediction: A Bayesian ranking approach. In silico prediction of drug-target interactions (DTI) could provide valuable information and speed-up the process of drug repositioning - finding novel usage for existing drugs. In our work, we focus on machine learning algorithms supporting drug-centric repositioning approach, which aims
to find novel usage for existing or abandoned drugs. We aim at proposing a per-drug ranking-based method, which reflects the needs of drug-centric repositioning research better than conventional drug-target prediction approaches. We propose Bayesian Ranking Prediction of Drug-Target Interactions
(BRDTI). The method is based on Bayesian Personalized Ranking matrix factorization (BPR) which has been shown to be an excellent approach for various preference learning tasks, however, it has not been used for DTI prediction previously. In order to successfully deal with DTI challenges, we extended
BPR by proposing: (i) the incorporation of target bias, (ii) a technique to handle new drugs and (iii) content alignment to take structural similarities of drugs and targets into account. Evaluation on five benchmark datasets shows that BRDTI outperforms several state-of-the-art approaches in terms
of per-drug nDCG and AUC. BRDTI results w.r.t. nDCG are 0.929, 0.953, 0.948, 0.897 and 0.690 for G-Protein Coupled Receptors (GPCR), Ion Channels (IC), Nuclear Receptors (NR), Enzymes (E) and Kinase (K) datasets respectively. Additionally, BRDTI significantly outperformed other methods (BLM-NII,
WNN-GIP, NetLapRLS and CMF) w.r.t. nDCG in 17 out of 20 cases. Furthermore, BRDTI was also shown to be able to predict novel drug-target interactions not contained in the original datasets. The average recall at top-10 predicted targets for each drug was 0.762, 0.560, 1.000 and 0.404 for GPCR, IC,
NR, and E datasets respectively. Based on the evaluation, we can conclude that BRDTI is an appropriate choice for researchers looking for an in silico DTI prediction technique to be used in drug-centric repositioning scenarios. BRDTI Software and supplementary materials are available online at
www.ksi.mff.cuni.cz/∼peska/BRDTI."
GCHN-DTI: Predicting drug-target interactions by graph convolution on heterogeneous networks.,36058415,"Determining the interaction of drug and target plays a key role in the process of drug development and discovery. The calculation methods can predict new interactions and speed up the process of drug development. In recent studies, the network-based approaches have been proposed to predict
drug-target interactions. However, these methods cannot fully utilize the node information from heterogeneous networks. Therefore, we propose a method based on heterogeneous graph convolutional neural network for drug-target interaction prediction, GCHN-DTI (Predicting drug-target interactions by
graph convolution on heterogeneous net-works), to predict potential DTIs. GCHN-DTI integrates network information from drug-target interactions, drug-drug interactions, drug-similarities, target-target interactions, and target-similarities. Then, the graph convolution operation is used in the
heterogeneous network to obtain the node embedding of the drugs and the targets. Furthermore, we incorporate an attention mechanism between graph convolutional layers to combine node embedding from each layer. Finally, the drug-target interaction score is predicted based on the node embedding of the
drugs and the targets. Our model uses fewer network types and achieves higher prediction performance. In addition, the prediction performance of the model will be significantly improved on the dataset with a higher proportion of positive samples. The experimental evaluations show that GCHN-DTI
outperforms several state-of-the-art prediction methods.",0,"GCHN-DTI: Predicting drug-target interactions by graph convolution on heterogeneous networks. Determining the interaction of drug and target plays a key role in the process of drug development and discovery. The calculation methods can predict new interactions and speed up the process of drug development. In recent studies, the network-based approaches have been proposed to predict
drug-target interactions. However, these methods cannot fully utilize the node information from heterogeneous networks. Therefore, we propose a method based on heterogeneous graph convolutional neural network for drug-target interaction prediction, GCHN-DTI (Predicting drug-target interactions by
graph convolution on heterogeneous net-works), to predict potential DTIs. GCHN-DTI integrates network information from drug-target interactions, drug-drug interactions, drug-similarities, target-target interactions, and target-similarities. Then, the graph convolution operation is used in the
heterogeneous network to obtain the node embedding of the drugs and the targets. Furthermore, we incorporate an attention mechanism between graph convolutional layers to combine node embedding from each layer. Finally, the drug-target interaction score is predicted based on the node embedding of the
drugs and the targets. Our model uses fewer network types and achieves higher prediction performance. In addition, the prediction performance of the model will be significantly improved on the dataset with a higher proportion of positive samples. The experimental evaluations show that GCHN-DTI
outperforms several state-of-the-art prediction methods."
DeepACTION: A deep learning-based method for predicting novel drug-target interactions.,33035462,"Drug-target interactions (DTIs) play a key role in drug development and discovery processes. Wet lab prediction of DTIs is time-consuming, expensive, and tedious. Fortunately, computational approaches can identify new interactions (drug-target pairs) and accelerate the process of drug
repurposing. However, a vast number of interactions remain undiscovered; therefore, we proposed a deep learning-based method (deepACTION) for predicting potential or unknown DTIs. Here, each drug chemical structure and protein sequence are transformed according to structural and sequence information
using different descriptors to represent their features correctly. There have been some challenges, such as the high dimensionality and class imbalance of data during the prediction process. To address these problems, we developed the MMIB technique to balance the majority and minority instances in
the dataset and utilized a LASSO model to handle the high dimensionality of the data. In addition, we trained the convolutional neural network algorithm with balanced and reduced features for accurate prediction of DTIs. In this study, the AUC is considered a primary evaluation metric for comparing
the performance of the deep ACTION model with that of existing methods by a 5-fold cross-validation test. Our experiential dataset obtained from the DrugBank database and our deepACTION model achieved an AUC of 0.9836 for this dataset. The experimental results ensured that the model can predict
significant numbers of new DTIs and provide complete information to motivate scientists to develop drugs.",1,"DeepACTION: A deep learning-based method for predicting novel drug-target interactions. Drug-target interactions (DTIs) play a key role in drug development and discovery processes. Wet lab prediction of DTIs is time-consuming, expensive, and tedious. Fortunately, computational approaches can identify new interactions (drug-target pairs) and accelerate the process of drug
repurposing. However, a vast number of interactions remain undiscovered; therefore, we proposed a deep learning-based method (deepACTION) for predicting potential or unknown DTIs. Here, each drug chemical structure and protein sequence are transformed according to structural and sequence information
using different descriptors to represent their features correctly. There have been some challenges, such as the high dimensionality and class imbalance of data during the prediction process. To address these problems, we developed the MMIB technique to balance the majority and minority instances in
the dataset and utilized a LASSO model to handle the high dimensionality of the data. In addition, we trained the convolutional neural network algorithm with balanced and reduced features for accurate prediction of DTIs. In this study, the AUC is considered a primary evaluation metric for comparing
the performance of the deep ACTION model with that of existing methods by a 5-fold cross-validation test. Our experiential dataset obtained from the DrugBank database and our deepACTION model achieved an AUC of 0.9836 for this dataset. The experimental results ensured that the model can predict
significant numbers of new DTIs and provide complete information to motivate scientists to develop drugs."
IMCHGAN: Inductive Matrix Completion With Heterogeneous Graph Attention Networks for Drug-Target Interactions Prediction.,34115592,"Identification of targets among known drugs plays an important role in drug repurposing and discovery. Computational approaches for prediction of drug-target interactions (DTIs)are highly desired in comparison to traditional biological experiments as its fast and low price. Moreover,
recent advances of systems biology approaches have generated large-scale heterogeneous, biological information networks data, which offer opportunities for machine learning-based identification of DTIs. We present a novel Inductive Matrix Completion with Heterogeneous Graph Attention Network
approach (IMCHGAN)for predicting DTIs. IMCHGAN first adopts a two-level neural attention mechanism approach to learn drug and target latent feature representations from the DTI heterogeneous network respectively. Then, the learned latent features are fed into the Inductive Matrix Completion
(IMC)prediction score model which computes the best projection from drug space onto target space and output DTI score via the inner product of projected drug and target feature representations. IMCHGAN is an end-to-end neural network learning framework where the parameters of both the prediction
score model and the feature representation learning model are simultaneously optimized via backpropagation under supervising of the observed known drug-target interactions data. We compare IMCHGAN with other state-of-the-art baselines on two real DTI experimental datasets. The results show that our
method is superior to existing methods in term of AUC and AUPR. Moreover, IMCHGAN also shows it has strong predictive power for novel (unknown)DTIs. All datasets and code can be obtained from https://github.com/ljatynu/IMCHGAN/.",1,"IMCHGAN: Inductive Matrix Completion With Heterogeneous Graph Attention Networks for Drug-Target Interactions Prediction. Identification of targets among known drugs plays an important role in drug repurposing and discovery. Computational approaches for prediction of drug-target interactions (DTIs)are highly desired in comparison to traditional biological experiments as its fast and low price. Moreover,
recent advances of systems biology approaches have generated large-scale heterogeneous, biological information networks data, which offer opportunities for machine learning-based identification of DTIs. We present a novel Inductive Matrix Completion with Heterogeneous Graph Attention Network
approach (IMCHGAN)for predicting DTIs. IMCHGAN first adopts a two-level neural attention mechanism approach to learn drug and target latent feature representations from the DTI heterogeneous network respectively. Then, the learned latent features are fed into the Inductive Matrix Completion
(IMC)prediction score model which computes the best projection from drug space onto target space and output DTI score via the inner product of projected drug and target feature representations. IMCHGAN is an end-to-end neural network learning framework where the parameters of both the prediction
score model and the feature representation learning model are simultaneously optimized via backpropagation under supervising of the observed known drug-target interactions data. We compare IMCHGAN with other state-of-the-art baselines on two real DTI experimental datasets. The results show that our
method is superior to existing methods in term of AUC and AUPR. Moreover, IMCHGAN also shows it has strong predictive power for novel (unknown)DTIs. All datasets and code can be obtained from https://github.com/ljatynu/IMCHGAN/."
Multitype Perception Method for Drug-Target Interaction Prediction.,37314917,"With the growing popularity of artificial intelligence in drug discovery, many deep-learning technologies have been used to automatically predict unknown drug-target interactions (DTIs). A unique challenge in using these technologies to predict DTI is fully exploiting the knowledge
diversity across different interaction types, such as drug-drug, drug-target, drug-enzyme, drug-path, and drug-structure types. Unfortunately, existing methods tend to learn the specifical knowledge on each interaction type and they usually ignore the knowledge diversity across different interaction
types. Therefore, we propose a multitype perception method (MPM) for DTI prediction by exploiting knowledge diversity across different link types. The method consists of two main components: a type perceptor and a multitype predictor. The type perceptor learns distinguished edge representations by
retaining the specifical features across different interaction types; this maximizes the prediction performance for each interaction type. The multitype predictor calculates the type similarity between the type perceptor and predicted interactions, and the domain gate module is reconstructed to
assign an adaptive weight to each type perceptor. Extensive experiments demonstrate that our proposed MPM outperforms the state-of-the-art methods in DTI prediction.",0,"Multitype Perception Method for Drug-Target Interaction Prediction. With the growing popularity of artificial intelligence in drug discovery, many deep-learning technologies have been used to automatically predict unknown drug-target interactions (DTIs). A unique challenge in using these technologies to predict DTI is fully exploiting the knowledge
diversity across different interaction types, such as drug-drug, drug-target, drug-enzyme, drug-path, and drug-structure types. Unfortunately, existing methods tend to learn the specifical knowledge on each interaction type and they usually ignore the knowledge diversity across different interaction
types. Therefore, we propose a multitype perception method (MPM) for DTI prediction by exploiting knowledge diversity across different link types. The method consists of two main components: a type perceptor and a multitype predictor. The type perceptor learns distinguished edge representations by
retaining the specifical features across different interaction types; this maximizes the prediction performance for each interaction type. The multitype predictor calculates the type similarity between the type perceptor and predicted interactions, and the domain gate module is reconstructed to
assign an adaptive weight to each type perceptor. Extensive experiments demonstrate that our proposed MPM outperforms the state-of-the-art methods in DTI prediction."
