Title,PMID,Abstract,Spearman or Pearson,text
Explainable deep drug-target representations for binding affinity prediction.,35715734,"Several computational advances have been achieved in the drug discovery field, promoting the identification of novel drug-target interactions and new leads. However, most of these methodologies have been overlooking the importance of providing explanations to the decision-making process of
deep learning architectures. In this research study, we explore the reliability of convolutional neural networks (CNNs) at identifying relevant regions for binding, specifically binding sites and motifs, and the significance of the deep representations extracted by providing explanations to the
model's decisions based on the identification of the input regions that contributed the most to the prediction. We make use of an end-to-end deep learning architecture to predict binding affinity, where CNNs are exploited in their capacity to automatically identify and extract discriminating deep
representations from 1D sequential and structural data. The results demonstrate the effectiveness of the deep representations extracted from CNNs in the prediction of drug-target interactions. CNNs were found to identify and extract features from regions relevant for the interaction, where the
weight associated with these spots was in the range of those with the highest positive influence given by the CNNs in the prediction. The end-to-end deep learning model achieved the highest performance both in the prediction of the binding affinity and on the ability to correctly distinguish the
interaction strength rank order when compared to baseline approaches. This research study validates the potential applicability of an end-to-end deep learning architecture in the context of drug discovery beyond the confined space of proteins and ligands with determined 3D structure. Furthermore, it
shows the reliability of the deep representations extracted from the CNNs by providing explainability to the decision-making process.",0,"Explainable deep drug-target representations for binding affinity prediction. Several computational advances have been achieved in the drug discovery field, promoting the identification of novel drug-target interactions and new leads. However, most of these methodologies have been overlooking the importance of providing explanations to the decision-making process of
deep learning architectures. In this research study, we explore the reliability of convolutional neural networks (CNNs) at identifying relevant regions for binding, specifically binding sites and motifs, and the significance of the deep representations extracted by providing explanations to the
model's decisions based on the identification of the input regions that contributed the most to the prediction. We make use of an end-to-end deep learning architecture to predict binding affinity, where CNNs are exploited in their capacity to automatically identify and extract discriminating deep
representations from 1D sequential and structural data. The results demonstrate the effectiveness of the deep representations extracted from CNNs in the prediction of drug-target interactions. CNNs were found to identify and extract features from regions relevant for the interaction, where the
weight associated with these spots was in the range of those with the highest positive influence given by the CNNs in the prediction. The end-to-end deep learning model achieved the highest performance both in the prediction of the binding affinity and on the ability to correctly distinguish the
interaction strength rank order when compared to baseline approaches. This research study validates the potential applicability of an end-to-end deep learning architecture in the context of drug discovery beyond the confined space of proteins and ligands with determined 3D structure. Furthermore, it
shows the reliability of the deep representations extracted from the CNNs by providing explainability to the decision-making process."
Evaluation of Generalized Born Models for Large Scale Affinity Prediction of Cyclodextrin Host-Guest Complexes.,27626790,"Binding affinity prediction with implicit solvent models remains a challenge in virtual screening for drug discovery. In order to assess the predictive power of implicit solvent models in docking techniques with Amber scoring, three generalized Born models (GB<sup>HCT</sup>,
GB<sup>OBC</sup>I, and GB<sup>OBC</sup>II) available in Dock 6.7 were utilized, for determining the binding affinity of a large set of β-cyclodextrin complexes with 75 neutral guest molecules. The results were compared to potential of mean force (PMF) free energy calculations with four GB models
(GB<sup>Still</sup>, GB<sup>HCT</sup>, GB<sup>OBC</sup>I, and GB<sup>OBC</sup>II) and to experimental data. Docking results yield similar accuracy to the computationally demanding PMF method with umbrella sampling. Neither docking nor PMF calculations reproduce the experimental binding affinities,
however, as indicated by a small Spearman rank order coefficient (∼0.5). The binding energies obtained from GB models were decomposed further into individual contributions of the binding partners and solvent environments and compared to explicit solvent simulations for five complexes allowing for
rationalizing the difference between explicit and implicit solvent models. An important observation is that the explicit solvent screens the interaction between host and guest much stronger than GB models. In contrast, the screening in GB models is too strong in solutes, leading to overestimation of
short-range interactions and too strong binding. It is difficult to envision a way of overcoming these two opposite effects.",1,"Evaluation of Generalized Born Models for Large Scale Affinity Prediction of Cyclodextrin Host-Guest Complexes. Binding affinity prediction with implicit solvent models remains a challenge in virtual screening for drug discovery. In order to assess the predictive power of implicit solvent models in docking techniques with Amber scoring, three generalized Born models (GB<sup>HCT</sup>,
GB<sup>OBC</sup>I, and GB<sup>OBC</sup>II) available in Dock 6.7 were utilized, for determining the binding affinity of a large set of β-cyclodextrin complexes with 75 neutral guest molecules. The results were compared to potential of mean force (PMF) free energy calculations with four GB models
(GB<sup>Still</sup>, GB<sup>HCT</sup>, GB<sup>OBC</sup>I, and GB<sup>OBC</sup>II) and to experimental data. Docking results yield similar accuracy to the computationally demanding PMF method with umbrella sampling. Neither docking nor PMF calculations reproduce the experimental binding affinities,
however, as indicated by a small Spearman rank order coefficient (∼0.5). The binding energies obtained from GB models were decomposed further into individual contributions of the binding partners and solvent environments and compared to explicit solvent simulations for five complexes allowing for
rationalizing the difference between explicit and implicit solvent models. An important observation is that the explicit solvent screens the interaction between host and guest much stronger than GB models. In contrast, the screening in GB models is too strong in solutes, leading to overestimation of
short-range interactions and too strong binding. It is difficult to envision a way of overcoming these two opposite effects."
On the Rapid Calculation of Binding Affinities for Antigen and Antibody Design and Affinity Maturation Simulations.,35997345,"The accurate and efficient calculation of protein-protein binding affinities is an essential component in antibody and antigen design and optimization, and in computer modeling of antibody affinity maturation. Such calculations remain challenging despite advances in computer hardware and
algorithms, primarily because proteins are flexible molecules, and thus, require explicit or implicit incorporation of multiple conformational states into the computational procedure. The astronomical size of the amino acid sequence space further compounds the challenge by requiring predictions to
be computed within a short time so that many sequence variants can be tested. In this study, we compare three classes of methods for antibody/antigen (Ab/Ag) binding affinity calculations: (i) a method that relies on the physical separation of the Ab/Ag complex in equilibrium molecular dynamics (MD)
simulations, (ii) a collection of 18 scoring functions that act on an ensemble of structures created using homology modeling software, and (iii) methods based on the molecular mechanics-generalized Born surface area (MM-GBSA) energy decomposition, in which the individual contributions of the energy
terms are scaled to optimize agreement with the experiment. When applied to a set of 49 antibody mutations in two Ab/HIV gp120 complexes, all of the methods are found to have modest accuracy, with the highest Pearson correlations reaching about 0.6. In particular, the most computationally intensive
method, i.e., MD simulation, did not outperform several scoring functions. The optimized energy decomposition methods provided marginally higher accuracy, but at the expense of requiring experimental data for parametrization. Within each method class, we examined the effect of the number of
independent computational replicates, i.e., modeled structures or reinitialized MD simulations, on the prediction accuracy. We suggest using about ten modeled structures for scoring methods, and about five simulation replicates for MD simulations as a rule of thumb for obtaining reasonable
convergence. We anticipate that our study will be a useful resource for practitioners working to incorporate binding affinity calculations within their protein design and optimization process.",1,"On the Rapid Calculation of Binding Affinities for Antigen and Antibody Design and Affinity Maturation Simulations. The accurate and efficient calculation of protein-protein binding affinities is an essential component in antibody and antigen design and optimization, and in computer modeling of antibody affinity maturation. Such calculations remain challenging despite advances in computer hardware and
algorithms, primarily because proteins are flexible molecules, and thus, require explicit or implicit incorporation of multiple conformational states into the computational procedure. The astronomical size of the amino acid sequence space further compounds the challenge by requiring predictions to
be computed within a short time so that many sequence variants can be tested. In this study, we compare three classes of methods for antibody/antigen (Ab/Ag) binding affinity calculations: (i) a method that relies on the physical separation of the Ab/Ag complex in equilibrium molecular dynamics (MD)
simulations, (ii) a collection of 18 scoring functions that act on an ensemble of structures created using homology modeling software, and (iii) methods based on the molecular mechanics-generalized Born surface area (MM-GBSA) energy decomposition, in which the individual contributions of the energy
terms are scaled to optimize agreement with the experiment. When applied to a set of 49 antibody mutations in two Ab/HIV gp120 complexes, all of the methods are found to have modest accuracy, with the highest Pearson correlations reaching about 0.6. In particular, the most computationally intensive
method, i.e., MD simulation, did not outperform several scoring functions. The optimized energy decomposition methods provided marginally higher accuracy, but at the expense of requiring experimental data for parametrization. Within each method class, we examined the effect of the number of
independent computational replicates, i.e., modeled structures or reinitialized MD simulations, on the prediction accuracy. We suggest using about ten modeled structures for scoring methods, and about five simulation replicates for MD simulations as a rule of thumb for obtaining reasonable
convergence. We anticipate that our study will be a useful resource for practitioners working to incorporate binding affinity calculations within their protein design and optimization process."
Predicting Drug-Target Affinity by Learning Protein Knowledge From Biological Networks.,37018115,"Predicting drug-target affinity (DTA) is a crucial step in the process of drug discovery. Efficient and accurate prediction of DTA would greatly reduce the time and economic cost of new drug development, which has encouraged the emergence of a large number of deep learning-based DTA
prediction methods. In terms of the representation of target proteins, current methods can be classified into 1D sequence- and 2D-protein graph-based methods. However, both two approaches focused only on the inherent properties of the target protein, but neglected the broad prior knowledge regarding
protein interactions that have been clearly elucidated in past decades. Aiming at the above issue, this work presents an end-to-end DTA prediction method named MSF-DTA (Multi-Source Feature Fusion-based Drug-Target Affinity). The contributions can be summarized as follows. First, MSF-DTA adopts a
novel ""neighboring feature""-based protein representation. Instead of utilizing only the inherent features of a target protein, MSF-DTA gathers additional information for the target protein from its biologically related ""neighboring"" proteins in PPI (i.e., protein-protein interaction) and SSN (i.e.,
sequence similarity) networks to get prior knowledge. Second, the representation was learned using an advanced graph pre-training framework, VGAE, which could not only gather node features but also learn topological connections, therefore contributing to a richer protein representation and
benefiting the downstream DTA prediction task. This study provides new perspective for the DTA prediction task, and evaluation results demonstrated that MSF-DTA obtained superior performances compared to current state-of-the-art methods.",0,"Predicting Drug-Target Affinity by Learning Protein Knowledge From Biological Networks. Predicting drug-target affinity (DTA) is a crucial step in the process of drug discovery. Efficient and accurate prediction of DTA would greatly reduce the time and economic cost of new drug development, which has encouraged the emergence of a large number of deep learning-based DTA
prediction methods. In terms of the representation of target proteins, current methods can be classified into 1D sequence- and 2D-protein graph-based methods. However, both two approaches focused only on the inherent properties of the target protein, but neglected the broad prior knowledge regarding
protein interactions that have been clearly elucidated in past decades. Aiming at the above issue, this work presents an end-to-end DTA prediction method named MSF-DTA (Multi-Source Feature Fusion-based Drug-Target Affinity). The contributions can be summarized as follows. First, MSF-DTA adopts a
novel ""neighboring feature""-based protein representation. Instead of utilizing only the inherent features of a target protein, MSF-DTA gathers additional information for the target protein from its biologically related ""neighboring"" proteins in PPI (i.e., protein-protein interaction) and SSN (i.e.,
sequence similarity) networks to get prior knowledge. Second, the representation was learned using an advanced graph pre-training framework, VGAE, which could not only gather node features but also learn topological connections, therefore contributing to a richer protein representation and
benefiting the downstream DTA prediction task. This study provides new perspective for the DTA prediction task, and evaluation results demonstrated that MSF-DTA obtained superior performances compared to current state-of-the-art methods."
MHCRoBERTa: pan-specific peptide-MHC class I binding prediction through transfer learning with label-agnostic protein sequences.,35443027,"Predicting the binding of peptide and major histocompatibility complex (MHC) plays a vital role in immunotherapy for cancer. The success of Alphafold of applying natural language processing (NLP) algorithms in protein secondary struction prediction has inspired us to explore the
possibility of NLP methods in predicting peptide-MHC class I binding. Based on the above motivations, we propose the MHCRoBERTa method, RoBERTa pre-training approach, for predicting the binding affinity between type I MHC and peptides. Analysis of the results on benchmark dataset demonstrates that
MHCRoBERTa can outperform other state-of-art prediction methods with an increase of the Spearman rank correlation coefficient (SRCC) value. Notably, our model gave a significant improvement on IC50 value. Our method has achieved SRCC value and AUC value as 0.785 and 0.817, respectively. Our SRCC
value is 14.3% higher than NetMHCpan3.0 (the second highest SRCC value on pan-specific) and is 3% higher than MHCflurry (the second highest SRCC value on all methods). The AUC value is also better than any other pan-specific methods. Moreover, we visualize the multi-head self-attention for the token
representation across the layers and heads by this method. Through the analysis of the representation of each layer and head, we can show whether the model has learned the syntax and semantics necessary to perform the prediction task well. All these results demonstrate that our model can accurately
predict the peptide-MHC class I binding affinity and that MHCRoBERTa is a powerful tool for screening potential neoantigens for cancer immunotherapy. MHCRoBERTa is available as an open source software at github (https://github.com/FuxuWang/MHCRoBERTa).",1,"MHCRoBERTa: pan-specific peptide-MHC class I binding prediction through transfer learning with label-agnostic protein sequences. Predicting the binding of peptide and major histocompatibility complex (MHC) plays a vital role in immunotherapy for cancer. The success of Alphafold of applying natural language processing (NLP) algorithms in protein secondary struction prediction has inspired us to explore the
possibility of NLP methods in predicting peptide-MHC class I binding. Based on the above motivations, we propose the MHCRoBERTa method, RoBERTa pre-training approach, for predicting the binding affinity between type I MHC and peptides. Analysis of the results on benchmark dataset demonstrates that
MHCRoBERTa can outperform other state-of-art prediction methods with an increase of the Spearman rank correlation coefficient (SRCC) value. Notably, our model gave a significant improvement on IC50 value. Our method has achieved SRCC value and AUC value as 0.785 and 0.817, respectively. Our SRCC
value is 14.3% higher than NetMHCpan3.0 (the second highest SRCC value on pan-specific) and is 3% higher than MHCflurry (the second highest SRCC value on all methods). The AUC value is also better than any other pan-specific methods. Moreover, we visualize the multi-head self-attention for the token
representation across the layers and heads by this method. Through the analysis of the representation of each layer and head, we can show whether the model has learned the syntax and semantics necessary to perform the prediction task well. All these results demonstrate that our model can accurately
predict the peptide-MHC class I binding affinity and that MHCRoBERTa is a powerful tool for screening potential neoantigens for cancer immunotherapy. MHCRoBERTa is available as an open source software at github (https://github.com/FuxuWang/MHCRoBERTa)."
Predicting Affinity Through Homology (PATH): Interpretable Binding Affinity Prediction with Persistent Homology.,38014181,"Accurate binding affinity prediction is crucial to structure-based drug design. Recent work used computational topology to obtain an effective representation of protein-ligand interactions. Although persistent homology encodes geometric features, previous works on binding affinity
prediction using persistent homology employed uninterpretable machine learning models and failed to explain the underlying geometric and topological features that drive accurate binding affinity prediction. In this work, we propose a novel, interpretable algorithm for protein-ligand binding affinity
prediction. Our algorithm achieves interpretability through an effective embedding of distances across bipartite matchings of the protein and ligand atoms into real-valued functions by summing Gaussians centered at features constructed by persistent homology. We name these functions <i>internuclear
persistent contours (IPCs)</i> . Next, we introduce <i>persistence fingerprints</i> , a vector with 10 components that sketches the distances of different bipartite matching between protein and ligand atoms, refined from IPCs. Let the number of protein atoms in the protein-ligand complex be <i>n</i>
, number of ligand atoms be <i>m</i> , and <i>ω</i> ≈ 2.4 be the matrix multiplication exponent. We show that for any 0 < <i>ε</i> < 1, after an 𝒪 ( <i>mn</i> log( <i>mn</i> )) preprocessing procedure, we can compute an <i>ε</i> -accurate approximation to the persistence fingerprint in 𝒪 ( <i>m</i>
log <sup>6 <i>ω</i></sup> ( <i>m/""</i> )) time, independent of protein size. This is an improvement in time complexity by a factor of 𝒪 (( <i>m</i> + <i>n</i> ) <sup>3</sup> ) over any previous binding affinity prediction that uses persistent homology. We show that the representational power of
persistence fingerprint generalizes to protein-ligand binding datasets beyond the training dataset. Then, we introduce <i>PATH</i> , Predicting Affinity Through Homology, an interpretable, small ensemble of shallow regression trees for binding affinity prediction from persistence fingerprints. We
show that despite using 1,400-fold fewer features, PATH has comparable performance to a previous state-of-the-art binding affinity prediction algorithm that uses persistent homology features. Moreover, PATH has the advantage of being interpretable. Finally, we visualize the features captured by
persistence fingerprint for variant HIV-1 protease complexes and show that persistence fingerprint captures binding-relevant structural mutations. The source code for PATH is released open-source as part of the osprey protein design software package.",0,"Predicting Affinity Through Homology (PATH): Interpretable Binding Affinity Prediction with Persistent Homology. Accurate binding affinity prediction is crucial to structure-based drug design. Recent work used computational topology to obtain an effective representation of protein-ligand interactions. Although persistent homology encodes geometric features, previous works on binding affinity
prediction using persistent homology employed uninterpretable machine learning models and failed to explain the underlying geometric and topological features that drive accurate binding affinity prediction. In this work, we propose a novel, interpretable algorithm for protein-ligand binding affinity
prediction. Our algorithm achieves interpretability through an effective embedding of distances across bipartite matchings of the protein and ligand atoms into real-valued functions by summing Gaussians centered at features constructed by persistent homology. We name these functions <i>internuclear
persistent contours (IPCs)</i> . Next, we introduce <i>persistence fingerprints</i> , a vector with 10 components that sketches the distances of different bipartite matching between protein and ligand atoms, refined from IPCs. Let the number of protein atoms in the protein-ligand complex be <i>n</i>
, number of ligand atoms be <i>m</i> , and <i>ω</i> ≈ 2.4 be the matrix multiplication exponent. We show that for any 0 < <i>ε</i> < 1, after an 𝒪 ( <i>mn</i> log( <i>mn</i> )) preprocessing procedure, we can compute an <i>ε</i> -accurate approximation to the persistence fingerprint in 𝒪 ( <i>m</i>
log <sup>6 <i>ω</i></sup> ( <i>m/""</i> )) time, independent of protein size. This is an improvement in time complexity by a factor of 𝒪 (( <i>m</i> + <i>n</i> ) <sup>3</sup> ) over any previous binding affinity prediction that uses persistent homology. We show that the representational power of
persistence fingerprint generalizes to protein-ligand binding datasets beyond the training dataset. Then, we introduce <i>PATH</i> , Predicting Affinity Through Homology, an interpretable, small ensemble of shallow regression trees for binding affinity prediction from persistence fingerprints. We
show that despite using 1,400-fold fewer features, PATH has comparable performance to a previous state-of-the-art binding affinity prediction algorithm that uses persistent homology features. Moreover, PATH has the advantage of being interpretable. Finally, we visualize the features captured by
persistence fingerprint for variant HIV-1 protease complexes and show that persistence fingerprint captures binding-relevant structural mutations. The source code for PATH is released open-source as part of the osprey protein design software package."
MathDL: mathematical deep learning for D3R Grand Challenge 4.,31734815,"We present the performances of our mathematical deep learning (MathDL) models for D3R Grand Challenge 4 (GC4). This challenge involves pose prediction, affinity ranking, and free energy estimation for beta secretase 1 (BACE) as well as affinity ranking and free energy estimation for
Cathepsin S (CatS). We have developed advanced mathematics, namely differential geometry, algebraic graph, and/or algebraic topology, to accurately and efficiently encode high dimensional physical/chemical interactions into scalable low-dimensional rotational and translational invariant
representations. These representations are integrated with deep learning models, such as generative adversarial networks (GAN) and convolutional neural networks (CNN) for pose prediction and energy evaluation, respectively. Overall, our MathDL models achieved the top place in pose prediction for
BACE ligands in Stage 1a. Moreover, our submissions obtained the highest Spearman correlation coefficient on the affinity ranking of 460 CatS compounds, and the smallest centered root mean square error on the free energy set of 39 CatS molecules. It is worthy to mention that our method on docking
pose predictions has significantly improved from our previous ones.",1,"MathDL: mathematical deep learning for D3R Grand Challenge 4. We present the performances of our mathematical deep learning (MathDL) models for D3R Grand Challenge 4 (GC4). This challenge involves pose prediction, affinity ranking, and free energy estimation for beta secretase 1 (BACE) as well as affinity ranking and free energy estimation for
Cathepsin S (CatS). We have developed advanced mathematics, namely differential geometry, algebraic graph, and/or algebraic topology, to accurately and efficiently encode high dimensional physical/chemical interactions into scalable low-dimensional rotational and translational invariant
representations. These representations are integrated with deep learning models, such as generative adversarial networks (GAN) and convolutional neural networks (CNN) for pose prediction and energy evaluation, respectively. Overall, our MathDL models achieved the top place in pose prediction for
BACE ligands in Stage 1a. Moreover, our submissions obtained the highest Spearman correlation coefficient on the affinity ranking of 460 CatS compounds, and the smallest centered root mean square error on the free energy set of 39 CatS molecules. It is worthy to mention that our method on docking
pose predictions has significantly improved from our previous ones."
Structure-guided machine learning prediction of drug resistance mutations in Abelson 1 kinase.,34667533,"Kinases play crucial roles in cellular signalling and biological processes with their dysregulation associated with diseases, including cancers. Kinase inhibitors, most notably those targeting ABeLson 1 (ABL1) kinase in chronic myeloid leukemia, have had a significant impact on cancer
survival, yet emergence of resistance mutations can reduce their effectiveness, leading to therapeutic failure. Limited effort, however, has been devoted to developing tools to accurately identify ABL1 resistance mutations, as well as providing insights into their molecular mechanisms. Here we
investigated the structural basis of ABL1 mutations modulating binding affinity of eight FDA-approved drugs. We found mutations impair affinity of type I and type II inhibitors differently and used this insight to developed a novel web-based diagnostic tool, SUSPECT-ABL, to pre-emptively predict
resistance profiles and binding free-energy changes (ΔΔ<i>G</i>) of all possible ABL1 mutations against inhibitors with different binding modes. Resistance mutations in ABL1 were successfully identified, achieving a Matthew's Correlation Coefficient of up to 0.73 and the resulting change in ligand
binding affinity with a Pearson's correlation of up to 0.77, with performances consistent across non-redundant blind tests. Through an <i>in silico</i> saturation mutagenesis, our tool has identified possibly emerging resistance mutations, which offers opportunities for <i>in vivo</i> experimental
validation. We believe SUSPECT-ABL will be an important tool not just for improving precision medicine efforts, but for facilitating the development of next-generation inhibitors that are less prone to resistance. We have made our tool freely available at http://biosig.unimelb.edu.au/suspect_abl/.",1,"Structure-guided machine learning prediction of drug resistance mutations in Abelson 1 kinase. Kinases play crucial roles in cellular signalling and biological processes with their dysregulation associated with diseases, including cancers. Kinase inhibitors, most notably those targeting ABeLson 1 (ABL1) kinase in chronic myeloid leukemia, have had a significant impact on cancer
survival, yet emergence of resistance mutations can reduce their effectiveness, leading to therapeutic failure. Limited effort, however, has been devoted to developing tools to accurately identify ABL1 resistance mutations, as well as providing insights into their molecular mechanisms. Here we
investigated the structural basis of ABL1 mutations modulating binding affinity of eight FDA-approved drugs. We found mutations impair affinity of type I and type II inhibitors differently and used this insight to developed a novel web-based diagnostic tool, SUSPECT-ABL, to pre-emptively predict
resistance profiles and binding free-energy changes (ΔΔ<i>G</i>) of all possible ABL1 mutations against inhibitors with different binding modes. Resistance mutations in ABL1 were successfully identified, achieving a Matthew's Correlation Coefficient of up to 0.73 and the resulting change in ligand
binding affinity with a Pearson's correlation of up to 0.77, with performances consistent across non-redundant blind tests. Through an <i>in silico</i> saturation mutagenesis, our tool has identified possibly emerging resistance mutations, which offers opportunities for <i>in vivo</i> experimental
validation. We believe SUSPECT-ABL will be an important tool not just for improving precision medicine efforts, but for facilitating the development of next-generation inhibitors that are less prone to resistance. We have made our tool freely available at http://biosig.unimelb.edu.au/suspect_abl/."
"Pyridine-N-Oxide Alkaloids from <i>Allium stipitatum</i> and Their Synthetic Disulfide Analogs as Potential Drug Candidates against <i>Mycobacterium tuberculosis</i>: A Molecular Docking, QSBAR, and ADMET Prediction Approach.",36246961,"In this study, we consider pyridine-N-oxide alkaloids from <i>Allium stipitatum</i> and their synthetic disulfide analogs (PDAs) as candidates for next-generational antimycobacterial agents, in light of growing resistance to existing conventional therapies. <i>In silico</i> studies
involving molecular docking simulations of 12 PDAs were carried out against 7 <i>Mycobacterium tuberculosis</i> target proteins (MTs) to determine their theoretical binding affinities. Compounds A3, A6, and B9 demonstrated stronger binding affinities on similar MTs. Molecular descriptors (MDs)
describing structural and physicochemical properties of the compounds were also calculated using ChemDes, explored using Pearson's correlation analysis, and principal component analysis (PCA) in comparison with MDs from conventional antitubercular medicines. The PDAs possessed similar scores as
isoniazid and pyrazinamide. The MDs were also used to conduct a quantitative structure-binding affinity relationship (QSBAR) study by building good fit and significant models through principal component regression (PCR) and partial least squares regression (PLSR). Leave-one-out cross-validation was
adopted in the PLSR, resulting in good predictive models on all MTs (range of <i>R</i> <sup>2</sup> = 0.7541-0.8992; range of <i>Q</i> <sup>2</sup> = 0.6183-0.8162). Both PCR and PLSR models predicted the significant effects of ndonr, Hy, Mol wt, nhev, nring, ndb, Log P, W, Pol, ISIZ, TIAC, Getov,
and UI on the binding of ligands to the MTs. <i>In silico</i> prediction of PDAs' ADMET profiles was conducted with QikProp utility. The ADMET profiles of the compounds were favorable. The outcome of the current study strengthens the significance of these compounds as promising lead candidates for
the treatment of multidrug-resistant tuberculosis.",1,"Pyridine-N-Oxide Alkaloids from <i>Allium stipitatum</i> and Their Synthetic Disulfide Analogs as Potential Drug Candidates against <i>Mycobacterium tuberculosis</i>: A Molecular Docking, QSBAR, and ADMET Prediction Approach. In this study, we consider pyridine-N-oxide alkaloids from <i>Allium stipitatum</i> and their synthetic disulfide analogs (PDAs) as candidates for next-generational antimycobacterial agents, in light of growing resistance to existing conventional therapies. <i>In silico</i> studies
involving molecular docking simulations of 12 PDAs were carried out against 7 <i>Mycobacterium tuberculosis</i> target proteins (MTs) to determine their theoretical binding affinities. Compounds A3, A6, and B9 demonstrated stronger binding affinities on similar MTs. Molecular descriptors (MDs)
describing structural and physicochemical properties of the compounds were also calculated using ChemDes, explored using Pearson's correlation analysis, and principal component analysis (PCA) in comparison with MDs from conventional antitubercular medicines. The PDAs possessed similar scores as
isoniazid and pyrazinamide. The MDs were also used to conduct a quantitative structure-binding affinity relationship (QSBAR) study by building good fit and significant models through principal component regression (PCR) and partial least squares regression (PLSR). Leave-one-out cross-validation was
adopted in the PLSR, resulting in good predictive models on all MTs (range of <i>R</i> <sup>2</sup> = 0.7541-0.8992; range of <i>Q</i> <sup>2</sup> = 0.6183-0.8162). Both PCR and PLSR models predicted the significant effects of ndonr, Hy, Mol wt, nhev, nring, ndb, Log P, W, Pol, ISIZ, TIAC, Getov,
and UI on the binding of ligands to the MTs. <i>In silico</i> prediction of PDAs' ADMET profiles was conducted with QikProp utility. The ADMET profiles of the compounds were favorable. The outcome of the current study strengthens the significance of these compounds as promising lead candidates for
the treatment of multidrug-resistant tuberculosis."
Predicting Drug-Target Interactions With Multi-Label Classification and Label Partitioning.,31689203,"Identifying drug-target interactions is crucial for drug discovery. Despite modern technologies used in drug screening, experimental identification of drug-target interactions is an extremely demanding task. Predicting drug-target interactions in silico can thereby facilitate drug
discovery as well as drug repositioning. Various machine learning models have been developed over the years to predict such interactions. Multi-output learning models in particular have drawn the attention of the scientific community due to their high predictive performance and computational
efficiency. These models are based on the assumption that all the labels are correlated with each other. However, this assumption is too optimistic. Here, we address drug-target interaction prediction as a multi-label classification task that is combined with label partitioning. We show that
building multi-output learning models over groups (clusters) of labels often leads to superior results. The performed experiments confirm the efficiency of the proposed framework.",0,"Predicting Drug-Target Interactions With Multi-Label Classification and Label Partitioning. Identifying drug-target interactions is crucial for drug discovery. Despite modern technologies used in drug screening, experimental identification of drug-target interactions is an extremely demanding task. Predicting drug-target interactions in silico can thereby facilitate drug
discovery as well as drug repositioning. Various machine learning models have been developed over the years to predict such interactions. Multi-output learning models in particular have drawn the attention of the scientific community due to their high predictive performance and computational
efficiency. These models are based on the assumption that all the labels are correlated with each other. However, this assumption is too optimistic. Here, we address drug-target interaction prediction as a multi-label classification task that is combined with label partitioning. We show that
building multi-output learning models over groups (clusters) of labels often leads to superior results. The performed experiments confirm the efficiency of the proposed framework."
Blinded prediction of protein-ligand binding affinity using Amber thermodynamic integration for the 2018 D3R grand challenge 4.,31555923,"In the framework of the 2018 Drug Design Data Resource grand challenge 4, blinded predictions on relative binding free energy were performed for a set of 39 ligands of the Cathepsin S protein. We leveraged the GPU-accelerated thermodynamic integration of Amber 18 to advance our
computational prediction. When our entry was compared to experimental results, a good correlation was observed (Kendall's τ: 0.62, Spearman's ρ: 0.80 and Pearson's R: 0.82). We designed a parallelized transformation map that placed ligands into several groups based on common alchemical
substructures; TI transformations were carried out for each ligand to the relevant substructure, and between substructures. Our calculations were all conducted using the linear potential scaling scheme in Amber TI because we believe the softcore potential/dual-topology approach as implemented in
current Amber TI is highly fault-prone for some transformations. The issue is illustrated by using two examples in which typical preparation for the dual-topology approach of Amber TI fails. Overall, the high accuracy of our prediction is a result of recent advances in force fields (ff14SB and
GAFF), as well as rapid calculation of ensemble averages enabled by the GPU implementation of Amber. The success shown here in a blinded prediction strongly suggests that alchemical free energy calculation in Amber is a promising tool for future commercial drug design.",1,"Blinded prediction of protein-ligand binding affinity using Amber thermodynamic integration for the 2018 D3R grand challenge 4. In the framework of the 2018 Drug Design Data Resource grand challenge 4, blinded predictions on relative binding free energy were performed for a set of 39 ligands of the Cathepsin S protein. We leveraged the GPU-accelerated thermodynamic integration of Amber 18 to advance our
computational prediction. When our entry was compared to experimental results, a good correlation was observed (Kendall's τ: 0.62, Spearman's ρ: 0.80 and Pearson's R: 0.82). We designed a parallelized transformation map that placed ligands into several groups based on common alchemical
substructures; TI transformations were carried out for each ligand to the relevant substructure, and between substructures. Our calculations were all conducted using the linear potential scaling scheme in Amber TI because we believe the softcore potential/dual-topology approach as implemented in
current Amber TI is highly fault-prone for some transformations. The issue is illustrated by using two examples in which typical preparation for the dual-topology approach of Amber TI fails. Overall, the high accuracy of our prediction is a result of recent advances in force fields (ff14SB and
GAFF), as well as rapid calculation of ensemble averages enabled by the GPU implementation of Amber. The success shown here in a blinded prediction strongly suggests that alchemical free energy calculation in Amber is a promising tool for future commercial drug design."
