PMID,text,Experimental
37099690,"Improving drug-target affinity prediction via feature fusion and knowledge distillation.. Rapid and accurate prediction of drug-target affinity can accelerate and improve the drug discovery process. Recent studies show that deep learning models may have the potential to provide fast and accurate drug-target affinity prediction. However, the existing deep learning models still
have their own disadvantages that make it difficult to complete the task satisfactorily. Complex-based models rely heavily on the time-consuming docking process, and complex-free models lacks interpretability. In this study, we introduced a novel knowledge-distillation insights drug-target affinity
prediction model with feature fusion inputs to make fast, accurate and explainable predictions. We benchmarked the model on public affinity prediction and virtual screening dataset. The results show that it outperformed previous state-of-the-art models and achieved comparable performance to previous
complex-based models. Finally, we study the interpretability of this model through visualization and find it can provide meaningful explanations for pairwise interaction. We believe this model can further improve the drug-target affinity prediction for its higher accuracy and reliable
interpretability.",0
25820382,"Uncovering pharmacological mechanisms of Wu-tou decoction acting on rheumatoid arthritis through systems approaches: drug-target prediction, network analysis and experimental validation.. Wu-tou decoction (WTD) has been extensively used for the treatment of rheumatoid arthritis (RA). Due to lack of appropriate methods, pharmacological mechanisms of WTD acting on RA have not been fully elucidated. In this study, a list of putative targets for compositive compounds containing
in WTD were predicted by drugCIPHER-CS. Then, the interaction network of the putative targets of WTD and known RA-related targets was constructed and hub nodes were identified. After constructing the interaction network of hubs, four topological features of each hub, including degree, node
betweenness, closeness and k-coreness, were calculated and 79 major hubs were identified as candidate targets of WTD, which were implicated into the imbalance of the nervous, endocrine and immune (NEI) systems, leading to the main pathological changes during the RA progression. Further experimental
validation also demonstrated the preventive effects of WTD on inflammation and joint destruction in collagen-induced arthritis (CIA) rats and its regulatory effects on candidate targets both in vitro and in vivo systems. In conclusion, we performed an integrative analysis to offer the convincing
evidence that WTD may attenuate RA partially by restoring the balance of NEI system and subsequently reversing the pathological events during RA progression.",1
28932628,"A novel <i>in silico</i> framework to improve MHC-I epitopes and break the tolerance to melanoma.. Tolerance toward tumor antigens, which are shared by normal tissues, have often limited the efficacy of cancer vaccines. However, wild type epitopes can be tweaked to activate cross-reactive T-cell clones, resulting in antitumor activity. The design of these analogs (i.e., heteroclitic
peptides) can be difficult and time-consuming since no automated <i>in silico</i> tools are available. Hereby we describe the development of an <i>in silico</i> framework to improve the selection of heteroclitic peptides. The Epitope Discovery and Improvement System (EDIS) was first validated by
studying the model antigen SIINFEKL. Based on artificial neural network (ANN) predictions, we selected two mutant analogs that are characterized by an increased MHC-I binding affinity (SIINF<b>A</b>KL) or increased TCR stimulation (SII<b>W</b>FEKL). Therapeutic vaccination using optimized peptides
resulted in enhanced antitumor activity and against B16.OVA melanomas <i>in vivo</i>. The translational potential of the EDIS platform was further demonstrated by studying the melanoma-associated antigen tyrosinase related protein 2 (TRP2). Following therapeutic immunization with the EDIS-derived
epitope SVYDFF<b>A</b>WL, a significant reduction in the growth of established B16.F10 tumors was observed, suggesting a break in the tolerance toward the wild type epitope. Finally, we tested a multi vaccine approach, demonstrating that combination of wild type and mutant epitopes targeting both
TRP2 and OVA antigens increases the antitumor response. In conclusion, by taking advantage of available prediction servers and molecular dynamics simulations, we generated an innovative platform for studying the initial sequences and selecting lead candidates with improved immunological features.
Taken together, EDIS is the first automated algorithm-driven platform to speed up the design of heteroclitic peptides that can be publicly queried online.",1
35405857,"Boar Sperm Cryopreservation Improvement Using Semen Extender Modification by Dextran and Pentaisomaltose.. The long-term storage of boar sperm presents an ongoing challenge, and the modification of the cryoprotective compounds in semen extenders is crucial for improving cryopreservation's success rate. The aim of our study was to reduce the percentage of glycerol in the extender by elimination
or substitution with biocompatible, non-toxic polysaccharides. For boar semen extender improvement, we tested a novel modification with the polysaccharides dextran and pentaisomaltose in combination with unique in silico predictive modeling. We targeted the analysis of in vitro qualitative sperm
parameters such as motility, viability, mitochondrial activity, acrosome integrity, and DNA integrity. Non-penetrating polysaccharide-based cryoprotective agents interact with sperm surface proteins such as spermadhesins, which are recognized as fertility markers of boar sperm quality. The in silico
docking study showed a moderate binding affinity of dextran and pentaisomaltose toward one specific spermadhesin known as AWN, which is located in the sperm plasma membrane. Pentaisomaltose formed a hydrophobic pocket for the AWN protein, and the higher energy of this protein-ligand complex compared
with dextran was calculated. In addition, the root mean square deviation (RMSD) analysis for the molecular dynamics (MD) of both polysaccharides and AWN simulation suggests their interaction was highly stable. The in silico results were supported by in vitro experiments. In the experimental groups
where glycerol was partially or entirely substituted, the use of pentaisomaltose resulted in improved sperm mitochondrial activity and DNA integrity after thawing when compared with dextran. In this paper, we demonstrate that pentaisomaltose, previously used for cryopreservation in hematopoietic
stem cells, represents a promising compound for the elimination or reduction of glycerol in extenders for boar semen cryopreservation. This novel approach, using in silico computer prediction and in vitro testing, represents a promising technique to help identify new cryoprotectants for use in
animal breeding or genetic resource programs.",1
36748577,"An efficient CRISPR interference-based prediction method for synergistic/additive effects of novel combinations of anti-tuberculosis drugs.. Tuberculosis (TB) is treated by chemotherapy with multiple anti-TB drugs for a long period, spanning 6 months even in a standard course. In perspective, to prevent the emergence of antimicrobial resistance, novel drugs that act synergistically or additively in combination with major
anti-TB drugs and, if possible, shorten the duration of TB therapy are needed. However, their combinatorial effect cannot be predicted until the lead identification phase of the drug development. Clustered regularly interspaced short palindromic repeats interference (CRISPRi) is a powerful genetic
tool that enables high-throughput screening of novel drug targets. The development of anti-TB drugs promises to be accelerated by CRISPRi. This study determined whether CRISPRi could be applicable for predictive screening of the combinatorial effect between major anti-TB drugs and an inhibitor of a
novel target. In the checkerboard assay, isoniazid killed <i>Mycobacterium smegmatis</i> synergistically or additively in combinations with rifampicin or ethambutol, respectively. The susceptibility to rifampicin and ethambutol was increased by knockdown of <i>inhA</i>, which encodes a target
molecule of isoniazid. Additionally, knockdown of <i>rpoB</i>, which encodes a target molecule of rifampicin, increased the susceptibility to isoniazid and ethambutol, which act synergistically with rifampicin in the checkerboard assay. Moreover, CRISPRi could successfully predict the synergistic
action of cyclomarin A, a novel TB drug candidate, with isoniazid or rifampicin. These results demonstrate that CRISPRi is a useful tool not only for drug target exploration but also for screening the combinatorial effects of novel combinations of anti-TB drugs. This study provides a rationale for
anti-TB drug development using CRISPRi.",1
34908920,"The mechanism and active compounds of semen <i>armeniacae amarum</i> treating coronavirus disease 2019 based on network pharmacology and molecular docking.. Coronavirus disease 2019 (COVID-19) outbreak is progressing rapidly, and poses significant threats to public health. A number of clinical practice results showed that traditional Chinese medicine (TCM) plays a significant role for COVID-19 treatment. To explore the active components and
molecular mechanism of semen <i>armeniacae amarum</i> treating COVID-19 by network pharmacology and molecular docking technology. The active components and potential targets of semen <i>armeniacae amarum</i> were retrieved from traditional Chinese medicine systems pharmacology (TCMSP) database.
Coronavirus disease 2019-associated targets were collected in the GeneCards, TTD, OMIM and PubChem database. Compound target, compound-target pathway and medicine-ingredient-target disease networks were constructed by Cytoscape 3.8.0. Protein-protein interaction (PPI) networks were drawn using the
STRING database and Cytoscape 3.8.0 software. David database was used for gene ontology (GO) and Kyoto Encyclopedia of Genes and Genomes (KEGG) enrichment analysis. The main active components were verified by AutoDock Vina 1.1.2 software. A lipopolysaccharide (LPS)-induced lung inflammation model in
Institute of Cancer Research (ICR) mice was constructed and treated with amygdalin to confirm effects of amygdalin on lung inflammation and its underlying mechanisms by western blot analyses and immunofluorescence. The network analysis revealed that nine key, active components regulated eight
targets (Proto-oncogene tyrosine-protein kinase SRC (SRC), interleukin 6 (IL6), mitogen-activated protein kinase 1 (MAPK1), mitogen-activated protein kinase 3 (MAPK3), vascular endothelial growth factor A (VEGFA), epidermal growth factor receptor (EGFR), HRAS proto-oncogene (HRAS), caspase-3
(CASP3)). Gene ontology and KEGG enrichment analysis suggested that semen <i>armeniacae amarum</i> plays a role in COVID-19 by modulating 94 biological processes, 13 molecular functions, 15 cellular components and 80 potential pathways. Molecular docking indicated that amygdalin had better binding
activity to key targets such as IL6, SRC, MAPK3, SARS coronavirus-2 3C-like protease (SARS-CoV-2 3CLpro) and SARS-CoV-2 angiotensin converting enzyme II (ACE2). Experimental validation revealed that the lung pathological injury and inflammatory injury were significantly increased in the model group
and were improved in the amygdalin group. Amygdalin is a candidate compound for COVID-19 treatment by regulating IL6, SRC, MAPK1 EGFR and VEGFA to involve in PI3K-Akt signalling pathway, VEGF signalling pathway and MAPK signalling pathway. Meanwhile, amygdalin has a strong affinity for SARS-CoV-2
3CLpro and SARS-CoV-2 ACE2 and therefore prevents the virus transcription and dissemination.",1
35950213,"A CRISPR-guided mutagenic DNA polymerase strategy for the detection of antibiotic-resistant mutations in <i>M</i>. <i>tuberculosis</i>.. A sharp increase in multidrug-resistant tuberculosis (MDR-TB) threatens human health. Spontaneous mutation in essential gene confers an ability of <i>Mycobacterium tuberculosis</i> resistance to anti-TB drugs. However, conventional laboratory strategies for identification and prediction of
the mutations in this slowly growing species remain challenging. Here, by combining XCas9 nickase and the error-prone DNA polymerase A from <i>M</i>. <i>tuberculosis</i>, we constructed a CRISPR-guided DNA polymerase system, CAMPER, for effective site-directed mutagenesis of drug-target genes in
mycobacteria. CAMPER was able to generate mutagenesis of all nucleotides at user-defined loci, and its bidirectional mutagenesis at nick sites allowed editing windows with lengths up to 80 nucleotides. Mutagenesis of drug-targeted genes in <i>Mycobacterium smegmatis</i> and <i>M</i>.
<i>tuberculosis</i> with this system significantly increased the fraction of the antibiotic-resistant bacterial population to a level approximately 60- to 120-fold higher than that in unedited cells. Moreover, this strategy could facilitate the discovery of the mutation conferring antibiotic
resistance and enable a rapid verification of the growth phenotype-mutation genotype association. Our data demonstrate that CAMPER facilitates targeted mutagenesis of genomic loci and thus may be useful for broad functions such as resistance prediction and development of novel TB therapies.",1
35667260,"Deciphering the pharmacological mechanisms of Scutellaria baicalensis Georgi on oral leukoplakia by combining network pharmacology, molecular docking and experimental evaluations.. Oral leukoplakia (OLK), an uncharacterized pathological condition that occurs as a white patch in the oral mucosa, is the most common precancerous condition. Scutellaria baicalensis Georgi (SBG) is a medicinal plant with a wide range of pharmacological effects. Increased evidence shows
that SBG has potential therapeutic effects on OLK. However, the therapeutic mechanisms of SBG against OLK have not yet been completely elucidated. This study aimed to clarify the active components and multi-target mechanisms of SBG against OLK via network pharmacology, molecular docking and
experimental evaluations. The active components and related targets of SBG were screened by the TCMSP database and Swiss Target Prediction database. Potential therapeutic targets of OLK were collected using the GeneCards and OMIM databases. Then, we established protein-protein interaction (PPI),
compound-target-disease (C-T-D), and compound-target-pathway (C-T-P) networks by Cytoscape to identify the main components, core targets, and pharmacological pathways of SBG against OLK via applying data mining techniques and topological parameters. Metascape database was utilized for GO and KEGG
pathway analysis. Molecular docking techniques were used to estimate the binding force between the components and the hub genes. Subsequently, a series of in vitro experiments, specifically CCK-8 assay, clone formation assay, wound healing assay, flow cytometry, RT-qPCR and western blotting were
conducted for further verification. There were 25 active components and 31 related target genes in SBG against OLK. PPI analysis showed that Akt1, VEGFA, EGFR, HIF1A and PTGS2 shared the highest centrality among all target genes. KEGG pathway analysis found that PI3K-Akt signaling pathway may occupy
core status in the anti-OLK system. Molecular docking results showed that the main active components of SBG had a strong binding affinity to the hub genes. In vitro experiments showed that the leading component baicalein may inhibit proliferation, block cells in the S phase, induce DOK cell
apoptosis, and downregulate the mRNA expression of 5 hub genes by inhibiting PI3K/Akt signaling pathway activation. The most predominant component of SBG against OLK was baicalein and the key pathway was PI3K/Akt. The main components and hub genes had robust binding abilities. In vitro experiments
showed that baicalein could inhibit the proliferation of DOK cells, induce apoptosis, block the cell cycle, and inhibit the mRNA expression level of the hub genes by inhibiting the PI3K/Akt pathway.",1
37693295,"Therapeutic Promises of Plant Metabolites against Monkeypox Virus: An In Silico Study.. The monkeypox virus was still spreading in May 2022, with the first case identified in a person with travel ties to Nigeria. Using molecular docking-based techniques, we evaluated the efficiency of different bioactive chemicals obtained from plants against the monkeypox virus. A total of
56 plant compounds were evaluated for antimonekypox capabilities, with the top four candidates having a higher binding affinity than the control. We targeted the monkeypox profilin-like protein, which plays a key role in viral replication and assembly. Among the metabolites, curcumin showed the
strongest binding affinity with a value of -37.43 kcal/mol, followed by gedunin (-34.89 kcal/mol), piperine (-34.58 kcal/mol), and coumadin (-34.14 kcal/mol). Based on ADME and toxicity assessments, the top four substances had no negative impacts. Furthermore, four compounds demonstrated resistance
to deformability, which was corroborated by normal mode analysis. According to the bioactivity prediction study, the top compound target class was an enzyme, membrane receptor, and oxidoreductase. Furthermore, the study discovered that wortmannin, a gedunin analogue, can behave as an orthopoxvirus.
The study found that these bioactive natural drug candidates could potentially work as monkeypox virus inhibitors. We recommended further experimental validation to confirm the promising findings of the study.",0
37495601,"Metabolic modelling-based in silico drug target prediction identifies six novel repurposable drugs for melanoma.. Despite high initial response rates to targeted kinase inhibitors, the majority of patients suffering from metastatic melanoma present with high relapse rates, demanding for alternative therapeutic options. We have previously developed a drug repurposing workflow to identify metabolic drug
targets that, if depleted, inhibit the growth of cancer cells without harming healthy tissues. In the current study, we have applied a refined version of the workflow to specifically predict both, common essential genes across various cancer types, and melanoma-specific essential genes that could
potentially be used as drug targets for melanoma treatment. The in silico single gene deletion step was adapted to simulate the knock-out of all targets of a drug on an objective function such as growth or energy balance. Based on publicly available, and in-house, large-scale transcriptomic data
metabolic models for melanoma were reconstructed enabling the prediction of 28 candidate drugs and estimating their respective efficacy. Twelve highly efficacious drugs with low half-maximal inhibitory concentration values for the treatment of other cancers, which are not yet approved for melanoma
treatment, were used for in vitro validation using melanoma cell lines. Combination of the top 4 out of 6 promising candidate drugs with BRAF or MEK inhibitors, partially showed synergistic growth inhibition compared to individual BRAF/MEK inhibition. Hence, the repurposing of drugs may enable an
increase in therapeutic options e.g., for non-responders or upon acquired resistance to conventional melanoma treatments.",1
