Title,PMID,Abstract,SOTA comparison,text
Exploring the SARS-CoV-2 virus-host-drug interactome for drug repurposing.,32665542,"Coronavirus Disease-2019 (COVID-19) is an infectious disease caused by the SARS-CoV-2 virus. Various studies exist about the molecular mechanisms of viral infection. However, such information is spread across many publications and it is very time-consuming to integrate, and exploit. We develop CoVex, an interactive online platform for SARS-CoV-2 host interactome exploration and drug (target) identification. CoVex integrates virus-human protein interactions, human protein-protein interactions, and drug-target interactions. It allows visual exploration of the virus-host interactome and implements systems medicine algorithms for network-based prediction of drug candidates. Thus, CoVex is a resource to understand molecular mechanisms of pathogenicity and to prioritize candidate therapeutics. We investigate recent hypotheses on a systems biology level to explore mechanistic virus life cycle drivers, and to extract drug repurposing candidates. CoVex renders COVID-19 drug research systems-medicine-ready by giving the scientific community direct access to network medicine algorithms. It is available at https://exbio.wzw.tum.de/covex/.",0,"Exploring the SARS-CoV-2 virus-host-drug interactome for drug repurposing. Coronavirus Disease-2019 (COVID-19) is an infectious disease caused by the SARS-CoV-2 virus. Various studies exist about the molecular mechanisms of viral infection. However, such information is spread across many publications and it is very time-consuming to integrate, and exploit. We develop CoVex, an interactive online platform for SARS-CoV-2 host interactome exploration and drug (target) identification. CoVex integrates virus-human protein interactions, human protein-protein interactions, and drug-target interactions. It allows visual exploration of the virus-host interactome and implements systems medicine algorithms for network-based prediction of drug candidates. Thus, CoVex is a resource to understand molecular mechanisms of pathogenicity and to prioritize candidate therapeutics. We investigate recent hypotheses on a systems biology level to explore mechanistic virus life cycle drivers, and to extract drug repurposing candidates. CoVex renders COVID-19 drug research systems-medicine-ready by giving the scientific community direct access to network medicine algorithms. It is available at https://exbio.wzw.tum.de/covex/."
Novel drug-target interactions via link prediction and network embedding.,35379165,"As many interactions between the chemical and genomic space remain undiscovered, computational methods able to identify potential drug-target interactions (DTIs) are employed to accelerate drug discovery and reduce the required cost. Predicting new DTIs can leverage drug repurposing by identifying new targets for approved drugs. However, developing an accurate computational framework that can efficiently incorporate chemical and genomic spaces remains extremely demanding. A key issue is that most DTI predictions suffer from the lack of experimentally validated negative interactions or limited availability of target 3D structures. We report DT2Vec, a pipeline for DTI prediction based on graph embedding and gradient boosted tree classification. It maps drug-drug and protein-protein similarity networks to low-dimensional features and the DTI prediction is formulated as binary classification based on a strategy of concatenating the drug and target embedding vectors as input features. DT2Vec was compared with three top-performing graph similarity-based algorithms on a standard benchmark dataset and achieved competitive results. In order to explore credible novel DTIs, the model was applied to data from the ChEMBL repository that contain experimentally validated positive and negative interactions which yield a strong predictive model. Then, the developed model was applied to all possible unknown DTIs to predict new interactions. The applicability of DT2Vec as an effective method for drug repurposing is discussed through case studies and evaluation of some novel DTI predictions is undertaken using molecular docking. The proposed method was able to integrate and map chemical and genomic space into low-dimensional dense vectors and showed promising results in predicting novel DTIs.",0,"Novel drug-target interactions via link prediction and network embedding. As many interactions between the chemical and genomic space remain undiscovered, computational methods able to identify potential drug-target interactions (DTIs) are employed to accelerate drug discovery and reduce the required cost. Predicting new DTIs can leverage drug repurposing by identifying new targets for approved drugs. However, developing an accurate computational framework that can efficiently incorporate chemical and genomic spaces remains extremely demanding. A key issue is that most DTI predictions suffer from the lack of experimentally validated negative interactions or limited availability of target 3D structures. We report DT2Vec, a pipeline for DTI prediction based on graph embedding and gradient boosted tree classification. It maps drug-drug and protein-protein similarity networks to low-dimensional features and the DTI prediction is formulated as binary classification based on a strategy of concatenating the drug and target embedding vectors as input features. DT2Vec was compared with three top-performing graph similarity-based algorithms on a standard benchmark dataset and achieved competitive results. In order to explore credible novel DTIs, the model was applied to data from the ChEMBL repository that contain experimentally validated positive and negative interactions which yield a strong predictive model. Then, the developed model was applied to all possible unknown DTIs to predict new interactions. The applicability of DT2Vec as an effective method for drug repurposing is discussed through case studies and evaluation of some novel DTI predictions is undertaken using molecular docking. The proposed method was able to integrate and map chemical and genomic space into low-dimensional dense vectors and showed promising results in predicting novel DTIs."
Prediction of drug-target binding affinity using similarity-based convolutional neural network.,33627791,"Identifying novel drug-target interactions (DTIs) plays an important role in drug discovery. Most of the computational methods developed for predicting DTIs use binary classification, whose goal is to determine whether or not a drug-target (DT) pair interacts. However, it is more meaningful but also more challenging to predict the binding affinity that describes the strength of the interaction between a DT pair. If the binding affinity is not sufficiently large, such drug may not be useful. Therefore, the methods for predicting DT binding affinities are very valuable. The increase in novel public affinity data available in the DT-related databases enables advanced deep learning techniques to be used to predict binding affinities. In this paper, we propose a similarity-based model that applies 2-dimensional (2D) convolutional neural network (CNN) to the outer products between column vectors of two similarity matrices for the drugs and targets to predict DT binding affinities. To our best knowledge, this is the first application of 2D CNN in similarity-based DT binding affinity prediction. The validation results on multiple public datasets show that the proposed model is an effective approach for DT binding affinity prediction and can be quite helpful in drug development process.",0,"Prediction of drug-target binding affinity using similarity-based convolutional neural network. Identifying novel drug-target interactions (DTIs) plays an important role in drug discovery. Most of the computational methods developed for predicting DTIs use binary classification, whose goal is to determine whether or not a drug-target (DT) pair interacts. However, it is more meaningful but also more challenging to predict the binding affinity that describes the strength of the interaction between a DT pair. If the binding affinity is not sufficiently large, such drug may not be useful. Therefore, the methods for predicting DT binding affinities are very valuable. The increase in novel public affinity data available in the DT-related databases enables advanced deep learning techniques to be used to predict binding affinities. In this paper, we propose a similarity-based model that applies 2-dimensional (2D) convolutional neural network (CNN) to the outer products between column vectors of two similarity matrices for the drugs and targets to predict DT binding affinities. To our best knowledge, this is the first application of 2D CNN in similarity-based DT binding affinity prediction. The validation results on multiple public datasets show that the proposed model is an effective approach for DT binding affinity prediction and can be quite helpful in drug development process."
Can Relative Binding Free Energy Predict Selectivity of Reversible Covalent Inhibitors?,29124934,"Reversible covalent inhibitors have many clinical advantages over noncovalent or irreversible covalent drugs. However, apart from selecting a warhead, substantial efforts in design and synthesis are needed to optimize noncovalent interactions to improve target-selective binding. Computational prediction of binding affinity for reversible covalent inhibitors presents a unique challenge since the binding process consists of multiple steps, which are not necessarily independent of each other. In this study, we lay out the relation between relative binding free energy and the overall reversible covalent binding affinity using a two-state binding model. To prove the concept, we employed free energy perturbation (FEP) coupled with λ-exchange molecular dynamics method to calculate the binding free energy of a series of α-ketoamide analogues relative to a common warhead scaffold, in both noncovalent and covalent binding states, and for two highly homologous proteases, calpain-1 and calpain-2. We conclude that covalent binding state alone, in general, can be used to predict reversible covalent binding selectivity. However, exceptions may exist. Therefore, we also discuss the conditions under which the noncovalent binding step is no longer negligible and propose to combine the relative FEP calculations with a single QM/MM calculation of warhead to predict the binding affinity and binding kinetics. Our FEP calculations also revealed that covalent and noncovalent binding states of an inhibitor do not necessarily exhibit the same selectivity. Thus, investigating both binding states, as well as the kinetics will provide extremely useful information for optimizing reversible covalent inhibitors.",0,"Can Relative Binding Free Energy Predict Selectivity of Reversible Covalent Inhibitors? Reversible covalent inhibitors have many clinical advantages over noncovalent or irreversible covalent drugs. However, apart from selecting a warhead, substantial efforts in design and synthesis are needed to optimize noncovalent interactions to improve target-selective binding. Computational prediction of binding affinity for reversible covalent inhibitors presents a unique challenge since the binding process consists of multiple steps, which are not necessarily independent of each other. In this study, we lay out the relation between relative binding free energy and the overall reversible covalent binding affinity using a two-state binding model. To prove the concept, we employed free energy perturbation (FEP) coupled with λ-exchange molecular dynamics method to calculate the binding free energy of a series of α-ketoamide analogues relative to a common warhead scaffold, in both noncovalent and covalent binding states, and for two highly homologous proteases, calpain-1 and calpain-2. We conclude that covalent binding state alone, in general, can be used to predict reversible covalent binding selectivity. However, exceptions may exist. Therefore, we also discuss the conditions under which the noncovalent binding step is no longer negligible and propose to combine the relative FEP calculations with a single QM/MM calculation of warhead to predict the binding affinity and binding kinetics. Our FEP calculations also revealed that covalent and noncovalent binding states of an inhibitor do not necessarily exhibit the same selectivity. Thus, investigating both binding states, as well as the kinetics will provide extremely useful information for optimizing reversible covalent inhibitors."
Predicting combinations of drugs by exploiting graph embedding of heterogeneous networks.,35016602,"Background: Drug combination, offering an insight into the increased therapeutic efficacy and reduced toxicity, plays an essential role in the therapy of many complex diseases. Although significant efforts have been devoted to the identification of drugs, the identification of drug combination is still a challenge. The current algorithms assume that the independence of feature selection and drug prediction procedures, which may result in an undesirable performance. Results: To address this issue, we develop a novel Semi-supervised Heterogeneous Network Embedding algorithm (called SeHNE) to predict the combination patterns of drugs by exploiting the graph embedding. Specifically, the ATC similarity of drugs, drug-target, and protein-protein interaction networks are integrated to construct the heterogeneous networks. Then, SeHNE jointly learns drug features by exploiting the topological structure of heterogeneous networks and predicting drug combination. One distinct advantage of SeHNE is that features of drugs are extracted under the guidance of classification, which improves the quality of features, thereby enhancing the performance of prediction of drugs. Experimental results demonstrate that the proposed algorithm is more accurate than state-of-the-art methods on various data, implying that the joint learning is promising for the identification of drug combination. Conclusions: The proposed model and algorithm provide an effective strategy for the prediction of combinatorial patterns of drugs, implying that the graph-based drug prediction is promising for the discovery of drugs.",0,"Predicting combinations of drugs by exploiting graph embedding of heterogeneous networks. Background: Drug combination, offering an insight into the increased therapeutic efficacy and reduced toxicity, plays an essential role in the therapy of many complex diseases. Although significant efforts have been devoted to the identification of drugs, the identification of drug combination is still a challenge. The current algorithms assume that the independence of feature selection and drug prediction procedures, which may result in an undesirable performance. Results: To address this issue, we develop a novel Semi-supervised Heterogeneous Network Embedding algorithm (called SeHNE) to predict the combination patterns of drugs by exploiting the graph embedding. Specifically, the ATC similarity of drugs, drug-target, and protein-protein interaction networks are integrated to construct the heterogeneous networks. Then, SeHNE jointly learns drug features by exploiting the topological structure of heterogeneous networks and predicting drug combination. One distinct advantage of SeHNE is that features of drugs are extracted under the guidance of classification, which improves the quality of features, thereby enhancing the performance of prediction of drugs. Experimental results demonstrate that the proposed algorithm is more accurate than state-of-the-art methods on various data, implying that the joint learning is promising for the identification of drug combination. Conclusions: The proposed model and algorithm provide an effective strategy for the prediction of combinatorial patterns of drugs, implying that the graph-based drug prediction is promising for the discovery of drugs."
SubMDTA: drug target affinity prediction based on substructure extraction and multi-scale features.,37679724,"Drug-target affinity (DTA) prediction is a critical step in the field of drug discovery. In recent years, deep learning-based methods have emerged for DTA prediction. In order to solve the problem of fusion of substructure information of drug molecular graphs and utilize multi-scale information of protein, a self-supervised pre-training model based on substructure extraction and multi-scale features is proposed in this paper. For drug molecules, the model obtains substructure information through the method of probability matrix, and the contrastive learning method is implemented on the graph-level representation and subgraph-level representation to pre-train the graph encoder for downstream tasks. For targets, a BiLSTM method that integrates multi-scale features is used to capture long-distance relationships in the amino acid sequence. The experimental results showed that our model achieved better performance for DTA prediction. The proposed model improves the performance of the DTA prediction, which provides a novel strategy based on substructure extraction and multi-scale features.",0,"SubMDTA: drug target affinity prediction based on substructure extraction and multi-scale features. Drug-target affinity (DTA) prediction is a critical step in the field of drug discovery. In recent years, deep learning-based methods have emerged for DTA prediction. In order to solve the problem of fusion of substructure information of drug molecular graphs and utilize multi-scale information of protein, a self-supervised pre-training model based on substructure extraction and multi-scale features is proposed in this paper. For drug molecules, the model obtains substructure information through the method of probability matrix, and the contrastive learning method is implemented on the graph-level representation and subgraph-level representation to pre-train the graph encoder for downstream tasks. For targets, a BiLSTM method that integrates multi-scale features is used to capture long-distance relationships in the amino acid sequence. The experimental results showed that our model achieved better performance for DTA prediction. The proposed model improves the performance of the DTA prediction, which provides a novel strategy based on substructure extraction and multi-scale features."
QSAR classification-based virtual screening followed by molecular docking studies for identification of potential inhibitors of 5-lipoxygenase.,30321850,"Developments of novel inhibitors to prevent the function of 5-lipoxygenase (5-LOX) proteins that are responsible for a variety of inflammatory and allergic disease are a major challenge in the scientific community. In this study, robust QSAR classification models for predicting 5-LOX activity were developed using machine learning algorithms. The Support Vector Machines (SVM), Logistic Regression, k-Nearest Neighbour (NN) and Decision Trees were adopted to improve the prediction ability of the classification models. The most informative molecular descriptors that contribute to the prediction of 5-LOX activity are screened from e-Dragon, Ochem, PowerMV and Combined databases using Filter-based feature selection methods such as Correlation Feature Selection (CFS) and Information Gain (IG). Performances of the models were measured by 5-fold cross-validation and external test sets prediction. Evaluation of performance of feature selection revealed that the CFS method outperforms the IG method for all descriptor databases except for PowerMV database. The best ensemble classification model was obtained with the IG filtered 'PowerMV' descriptor database using kNN (k = 5) algorithm which displayed an overall accuracy of 76.6% for the training set and 77.9% for the test set. Finally, we employed this model as a virtual screening tool for identifying potential 5-LOX inhibitors from the e-Drug3D drug database and found 43 potential hit candidates. This top screened hits containing one known 5-LOX inhibitors zileuton as well as novel scaffolds. These compounds further screened by applying molecular docking simulation and identified four potential hits such as Belinostat, Masoprocol, Mefloquine and Sitagliptin having a comparable binding affinity to zileuton.",0,"QSAR classification-based virtual screening followed by molecular docking studies for identification of potential inhibitors of 5-lipoxygenase. Developments of novel inhibitors to prevent the function of 5-lipoxygenase (5-LOX) proteins that are responsible for a variety of inflammatory and allergic disease are a major challenge in the scientific community. In this study, robust QSAR classification models for predicting 5-LOX activity were developed using machine learning algorithms. The Support Vector Machines (SVM), Logistic Regression, k-Nearest Neighbour (NN) and Decision Trees were adopted to improve the prediction ability of the classification models. The most informative molecular descriptors that contribute to the prediction of 5-LOX activity are screened from e-Dragon, Ochem, PowerMV and Combined databases using Filter-based feature selection methods such as Correlation Feature Selection (CFS) and Information Gain (IG). Performances of the models were measured by 5-fold cross-validation and external test sets prediction. Evaluation of performance of feature selection revealed that the CFS method outperforms the IG method for all descriptor databases except for PowerMV database. The best ensemble classification model was obtained with the IG filtered 'PowerMV' descriptor database using kNN (k = 5) algorithm which displayed an overall accuracy of 76.6% for the training set and 77.9% for the test set. Finally, we employed this model as a virtual screening tool for identifying potential 5-LOX inhibitors from the e-Drug3D drug database and found 43 potential hit candidates. This top screened hits containing one known 5-LOX inhibitors zileuton as well as novel scaffolds. These compounds further screened by applying molecular docking simulation and identified four potential hits such as Belinostat, Masoprocol, Mefloquine and Sitagliptin having a comparable binding affinity to zileuton."
Analysis of A Drug Target-based Classification System using Molecular Descriptors.,26552442,"Drug-target interaction is an important topic in drug discovery and drug repositioning. KEGG database offers a drug annotation and classification using a target-based classification system. In this study, we gave an investigation on five target-based classes: (I) G protein-coupled receptors; (II) Nuclear receptors; (III) Ion channels; (IV) Enzymes; (V) Pathogens, using molecular descriptors to represent each drug compound. Two popular feature selection methods, maximum relevance minimum redundancy and incremental feature selection, were adopted to extract the important descriptors. Meanwhile, an optimal prediction model based on nearest neighbor algorithm was constructed, which got the best result in identifying drug target-based classes. Finally, some key descriptors were discussed to uncover their important roles in the identification of drug-target classes.",0,"Analysis of A Drug Target-based Classification System using Molecular Descriptors. Drug-target interaction is an important topic in drug discovery and drug repositioning. KEGG database offers a drug annotation and classification using a target-based classification system. In this study, we gave an investigation on five target-based classes: (I) G protein-coupled receptors; (II) Nuclear receptors; (III) Ion channels; (IV) Enzymes; (V) Pathogens, using molecular descriptors to represent each drug compound. Two popular feature selection methods, maximum relevance minimum redundancy and incremental feature selection, were adopted to extract the important descriptors. Meanwhile, an optimal prediction model based on nearest neighbor algorithm was constructed, which got the best result in identifying drug target-based classes. Finally, some key descriptors were discussed to uncover their important roles in the identification of drug-target classes."
Pred-binding: large-scale protein-ligand binding affinity prediction.,26888050,"Drug target interactions (DTIs) are crucial in pharmacology and drug discovery. Presently, experimental determination of compound-protein interactions remains challenging because of funding investment and difficulties of purifying proteins. In this study, we proposed two in silico models based on support vector machine (SVM) and random forest (RF), using 1589 molecular descriptors and 1080 protein descriptors in 9948 ligand-protein pairs to predict DTIs that were quantified by Ki values. The cross-validation coefficient of determination of 0.6079 for SVM and 0.6267 for RF were obtained, respectively. In addition, the two-dimensional (2D) autocorrelation, topological charge indices and three-dimensional (3D)-MoRSE descriptors of compounds, the autocorrelation descriptors and the amphiphilic pseudo-amino acid composition of protein are found most important for Ki predictions. These models provide a new opportunity for the prediction of ligand-receptor interactions that will facilitate the target discovery and toxicity evaluation in drug development.",0,"Pred-binding: large-scale protein-ligand binding affinity prediction. Drug target interactions (DTIs) are crucial in pharmacology and drug discovery. Presently, experimental determination of compound-protein interactions remains challenging because of funding investment and difficulties of purifying proteins. In this study, we proposed two in silico models based on support vector machine (SVM) and random forest (RF), using 1589 molecular descriptors and 1080 protein descriptors in 9948 ligand-protein pairs to predict DTIs that were quantified by Ki values. The cross-validation coefficient of determination of 0.6079 for SVM and 0.6267 for RF were obtained, respectively. In addition, the two-dimensional (2D) autocorrelation, topological charge indices and three-dimensional (3D)-MoRSE descriptors of compounds, the autocorrelation descriptors and the amphiphilic pseudo-amino acid composition of protein are found most important for Ki predictions. These models provide a new opportunity for the prediction of ligand-receptor interactions that will facilitate the target discovery and toxicity evaluation in drug development."
A novel inhibitor of Plasmodium falciparum spermidine synthase: a twist in the tail.,25651815,"Background: Plasmodium falciparum is the most pathogenic of the human malaria parasite species and a major cause of death in Africa. It's resistance to most of the current drugs accentuates the pressing need for new chemotherapies. Polyamine metabolism of the parasite is distinct from the human pathway making it an attractive target for chemotherapeutic development. Plasmodium falciparum spermidine synthase (PfSpdS) catalyzes the synthesis of spermidine and spermine. It is a major polyamine flux-determining enzyme and spermidine is a prerequisite for the post-translational activation of P. falciparum eukaryotic translation initiation factor 5A (elF5A). The most potent inhibitors of eukaryotic SpdS's are not specific for PfSpdS. Methods: 'Dynamic' receptor-based pharmacophore models were generated from published crystal structures of SpdS with different ligands. This approach takes into account the inherent flexibility of the active site, which reduces the entropic penalties associated with ligand binding. Four dynamic pharmacophore models were developed and two inhibitors, (1R,4R)-(N1-(3-aminopropyl)-trans-cyclohexane-1,4-diamine (compound 8) and an analogue, N-(3-aminopropyl)-cyclohexylamine (compound 9), were identified. Results: A crystal structure containing compound 8 was solved and confirmed the in silico prediction that its aminopropyl chain traverses the catalytic centre in the presence of the byproduct of catalysis, 5'-methylthioadenosine. The IC50 value of compound 9 is in the same range as that of the most potent inhibitors of PfSpdS, S-adenosyl-1,8-diamino-3-thio-octane (AdoDATO) and 4MCHA and 100-fold lower than that of compound 8. Compound 9 was originally identified as a mammalian spermine synthase inhibitor and does not inhibit mammalian SpdS. This implied that these two compounds bind in an orientation where their aminopropyl chains face the putrescine binding site in the presence of the substrate, decarboxylated S-adenosylmethionine. The higher binding affinity and lower receptor strain energy of compound 9 compared to compound 8 in the reversed orientation explained their different IC50 values. Conclusion: The specific inhibition of PfSpdS by compound 9 is enabled by its binding in the additional cavity normally occupied by spermidine when spermine is synthesized. This is the first time that a spermine synthase inhibitor is shown to inhibit PfSpdS, which provides new avenues to explore for the development of novel inhibitors of PfSpdS.",0,"A novel inhibitor of Plasmodium falciparum spermidine synthase: a twist in the tail. Background: Plasmodium falciparum is the most pathogenic of the human malaria parasite species and a major cause of death in Africa. It's resistance to most of the current drugs accentuates the pressing need for new chemotherapies. Polyamine metabolism of the parasite is distinct from the human pathway making it an attractive target for chemotherapeutic development. Plasmodium falciparum spermidine synthase (PfSpdS) catalyzes the synthesis of spermidine and spermine. It is a major polyamine flux-determining enzyme and spermidine is a prerequisite for the post-translational activation of P. falciparum eukaryotic translation initiation factor 5A (elF5A). The most potent inhibitors of eukaryotic SpdS's are not specific for PfSpdS. Methods: 'Dynamic' receptor-based pharmacophore models were generated from published crystal structures of SpdS with different ligands. This approach takes into account the inherent flexibility of the active site, which reduces the entropic penalties associated with ligand binding. Four dynamic pharmacophore models were developed and two inhibitors, (1R,4R)-(N1-(3-aminopropyl)-trans-cyclohexane-1,4-diamine (compound 8) and an analogue, N-(3-aminopropyl)-cyclohexylamine (compound 9), were identified. Results: A crystal structure containing compound 8 was solved and confirmed the in silico prediction that its aminopropyl chain traverses the catalytic centre in the presence of the byproduct of catalysis, 5'-methylthioadenosine. The IC50 value of compound 9 is in the same range as that of the most potent inhibitors of PfSpdS, S-adenosyl-1,8-diamino-3-thio-octane (AdoDATO) and 4MCHA and 100-fold lower than that of compound 8. Compound 9 was originally identified as a mammalian spermine synthase inhibitor and does not inhibit mammalian SpdS. This implied that these two compounds bind in an orientation where their aminopropyl chains face the putrescine binding site in the presence of the substrate, decarboxylated S-adenosylmethionine. The higher binding affinity and lower receptor strain energy of compound 9 compared to compound 8 in the reversed orientation explained their different IC50 values. Conclusion: The specific inhibition of PfSpdS by compound 9 is enabled by its binding in the additional cavity normally occupied by spermidine when spermine is synthesized. This is the first time that a spermine synthase inhibitor is shown to inhibit PfSpdS, which provides new avenues to explore for the development of novel inhibitors of PfSpdS."
PotentialNet for Molecular Property Prediction.,30555904,"The arc of drug discovery entails a multiparameter optimization problem spanning vast length scales. The key parameters range from solubility (angstroms) to protein-ligand binding (nanometers) to in vivo toxicity (meters). Through feature learning-instead of feature engineering-deep neural networks promise to outperform both traditional physics-based and knowledge-based machine learning models for predicting molecular properties pertinent to drug discovery. To this end, we present the PotentialNet family of graph convolutions. These models are specifically designed for and achieve state-of-the-art performance for protein-ligand binding affinity. We further validate these deep neural networks by setting new standards of performance in several ligand-based tasks. In parallel, we introduce a new metric, the Regression Enrichment Factor EFχ (R), to measure the early enrichment of computational models for chemical data. Finally, we introduce a cross-validation strategy based on structural homology clustering that can more accurately measure model generalizability, which crucially distinguishes the aims of machine learning for drug discovery from standard machine learning tasks.",1,"PotentialNet for Molecular Property Prediction. The arc of drug discovery entails a multiparameter optimization problem spanning vast length scales. The key parameters range from solubility (angstroms) to protein-ligand binding (nanometers) to in vivo toxicity (meters). Through feature learning-instead of feature engineering-deep neural networks promise to outperform both traditional physics-based and knowledge-based machine learning models for predicting molecular properties pertinent to drug discovery. To this end, we present the PotentialNet family of graph convolutions. These models are specifically designed for and achieve state-of-the-art performance for protein-ligand binding affinity. We further validate these deep neural networks by setting new standards of performance in several ligand-based tasks. In parallel, we introduce a new metric, the Regression Enrichment Factor EFχ (R), to measure the early enrichment of computational models for chemical data. Finally, we introduce a cross-validation strategy based on structural homology clustering that can more accurately measure model generalizability, which crucially distinguishes the aims of machine learning for drug discovery from standard machine learning tasks."
InflamNat: web-based database and predictor of anti-inflammatory natural products.,35659771,"Natural products (NPs) are a valuable source for anti-inflammatory drug discovery. However, they are limited by the unpredictability of the structures and functions. Therefore, computational and data-driven pre-evaluation could enable more efficient NP-inspired drug development. Since NPs possess structural features that differ from synthetic compounds, models trained with synthetic compounds may not perform well with NPs. There is also an urgent demand for well-curated databases and user-friendly predictive tools. We presented a comprehensive online web platform (InflamNat, http://www.inflamnat.com/ or http://39.104.56.4/ ) for anti-inflammatory natural product research. InflamNat is a database containing the physicochemical properties, cellular anti-inflammatory bioactivities, and molecular targets of 1351 NPs that tested on their anti-inflammatory activities. InflamNat provides two machine learning-based predictive tools specifically designed for NPs that (a) predict the anti-inflammatory activity of NPs, and (b) predict the compound-target relationship for compounds and targets collected in the database but lacking existing relationship data. A novel multi-tokenization transformer model (MTT) was proposed as the sequential encoder for both predictive tools to obtain a high-quality representation of sequential data. The experimental results showed that the proposed predictive tools achieved an AUC value of 0.842 and 0.872 in the prediction of anti-inflammatory activity and compound-target interactions, respectively.",0,"InflamNat: web-based database and predictor of anti-inflammatory natural products. Natural products (NPs) are a valuable source for anti-inflammatory drug discovery. However, they are limited by the unpredictability of the structures and functions. Therefore, computational and data-driven pre-evaluation could enable more efficient NP-inspired drug development. Since NPs possess structural features that differ from synthetic compounds, models trained with synthetic compounds may not perform well with NPs. There is also an urgent demand for well-curated databases and user-friendly predictive tools. We presented a comprehensive online web platform (InflamNat, http://www.inflamnat.com/ or http://39.104.56.4/ ) for anti-inflammatory natural product research. InflamNat is a database containing the physicochemical properties, cellular anti-inflammatory bioactivities, and molecular targets of 1351 NPs that tested on their anti-inflammatory activities. InflamNat provides two machine learning-based predictive tools specifically designed for NPs that (a) predict the anti-inflammatory activity of NPs, and (b) predict the compound-target relationship for compounds and targets collected in the database but lacking existing relationship data. A novel multi-tokenization transformer model (MTT) was proposed as the sequential encoder for both predictive tools to obtain a high-quality representation of sequential data. The experimental results showed that the proposed predictive tools achieved an AUC value of 0.842 and 0.872 in the prediction of anti-inflammatory activity and compound-target interactions, respectively."
RFDT: A Rotation Forest-based Predictor for Predicting Drug-Target Interactions Using Drug Structure and Protein Sequence Information.,27842479,"Background: Identification of interaction between drugs and target proteins plays an important role in discovering new drug candidates. However, through the experimental method to identify the drug-target interactions remain to be extremely time-consuming, expensive and challenging even nowadays. Therefore, it is urgent to develop new computational methods to predict potential drugtarget interactions (DTI). Methods: In this article, a novel computational model is developed for predicting potential drug-target interactions under the theory that each drug-target interaction pair can be represented by the structural properties from drugs and evolutionary information derived from proteins. Specifically, the protein sequences are encoded as Position-Specific Scoring Matrix (PSSM) descriptor which contains information of biological evolutionary and the drug molecules are encoded as fingerprint feature vector which represents the existence of certain functional groups or fragments. Results: Four benchmark datasets involving enzymes, ion channels, GPCRs and nuclear receptors, are independently used for establishing predictive models with Rotation Forest (RF) model. The proposed method achieved the prediction accuracy of 91.3%, 89.1%, 84.1% and 71.1% for four datasets respectively. In order to make our method more persuasive, we compared our classifier with the state-of-theart Support Vector Machine (SVM) classifier. We also compared the proposed method with other excellent methods. Conclusions: Experimental results demonstrate that the proposed method is effective in the prediction of DTI, and can provide assistance for new drug research and development",1,"RFDT: A Rotation Forest-based Predictor for Predicting Drug-Target Interactions Using Drug Structure and Protein Sequence Information. Background: Identification of interaction between drugs and target proteins plays an important role in discovering new drug candidates. However, through the experimental method to identify the drug-target interactions remain to be extremely time-consuming, expensive and challenging even nowadays. Therefore, it is urgent to develop new computational methods to predict potential drugtarget interactions (DTI). Methods: In this article, a novel computational model is developed for predicting potential drug-target interactions under the theory that each drug-target interaction pair can be represented by the structural properties from drugs and evolutionary information derived from proteins. Specifically, the protein sequences are encoded as Position-Specific Scoring Matrix (PSSM) descriptor which contains information of biological evolutionary and the drug molecules are encoded as fingerprint feature vector which represents the existence of certain functional groups or fragments. Results: Four benchmark datasets involving enzymes, ion channels, GPCRs and nuclear receptors, are independently used for establishing predictive models with Rotation Forest (RF) model. The proposed method achieved the prediction accuracy of 91.3%, 89.1%, 84.1% and 71.1% for four datasets respectively. In order to make our method more persuasive, we compared our classifier with the state-of-theart Support Vector Machine (SVM) classifier. We also compared the proposed method with other excellent methods. Conclusions: Experimental results demonstrate that the proposed method is effective in the prediction of DTI, and can provide assistance for new drug research and development"
