PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
34652996,Co-VAE: Drug-Target Binding Affinity Prediction by Co-Regularized Variational Autoencoders,"Li T, Zhao XM, Li L.",IEEE Trans Pattern Anal Mach Intell. 2022 Dec;44(12):8861-8873. doi: 10.1109/TPAMI.2021.3120428. Epub 2022 Nov 7.,Li T,IEEE Trans Pattern Anal Mach Intell,2022,2021/10/15,,,10.1109/TPAMI.2021.3120428
36691617,Protein-ligand binding affinity prediction with edge awareness and supervised attention,"Gu Y, Zhang X, Xu A, Chen W, Liu K, Wu L, Mo S, Hu Y, Liu M, Luo Q.",iScience. 2022 Dec 28;26(1):105892. doi: 10.1016/j.isci.2022.105892. eCollection 2023 Jan 20.,Gu Y,iScience,2022,2023/01/24,PMC9860494,,10.1016/j.isci.2022.105892
37415176,VGAEDTI: drug-target interaction prediction based on variational inference and graph autoencoder,"Zhang Y, Feng Y, Wu M, Deng Z, Wang S.",BMC Bioinformatics. 2023 Jul 6;24(1):278. doi: 10.1186/s12859-023-05387-w.,Zhang Y,BMC Bioinformatics,2023,2023/07/06,PMC10324201,,10.1186/s12859-023-05387-w
37907030,Drug-target affinity prediction method based on multi-scale information interaction and graph optimization,"Zhu Z, Yao Z, Zheng X, Qi G, Li Y, Mazur N, Gao X, Gong Y, Cong B.",Comput Biol Med. 2023 Dec;167:107621. doi: 10.1016/j.compbiomed.2023.107621. Epub 2023 Oct 29.,Zhu Z,Comput Biol Med,2023,2023/10/31,,,10.1016/j.compbiomed.2023.107621
37680152,Comprehensive Review on Drug-target Interaction Prediction - Latest Developments and Overview,"Abdul Raheem AK, Dhannoon BN.",Curr Drug Discov Technol. 2023 Sep 6. doi: 10.2174/1570163820666230901160043. Online ahead of print.,Abdul Raheem AK,Curr Drug Discov Technol,2023,2023/09/08,,,10.2174/1570163820666230901160043
37952703,Multimodal contrastive representation learning for drug-target binding affinity prediction,"Zhang L, Ouyang C, Liu Y, Liao Y, Gao Z.",Methods. 2023 Dec;220:126-133. doi: 10.1016/j.ymeth.2023.11.005. Epub 2023 Nov 10.,Zhang L,Methods,2023,2023/11/12,,,10.1016/j.ymeth.2023.11.005
36316405,Prediction of drug-target interactions through multi-task learning,"Moon C, Kim D.",Sci Rep. 2022 Oct 31;12(1):18323. doi: 10.1038/s41598-022-23203-y.,Moon C,Sci Rep,2022,2022/11/01,PMC9622881,,10.1038/s41598-022-23203-y
37679724,SubMDTA: drug target affinity prediction based on substructure extraction and multi-scale features,"Pan S, Xia L, Xu L, Li Z.",BMC Bioinformatics. 2023 Sep 7;24(1):334. doi: 10.1186/s12859-023-05460-4.,Pan S,BMC Bioinformatics,2023,2023/09/07,PMC10485962,,10.1186/s12859-023-05460-4
35471889,AttentionDTA: Drug-Target Binding Affinity Prediction by Sequence-Based Deep Learning With Attention Mechanism,"Zhao Q, Duan G, Yang M, Cheng Z, Li Y, Wang J.",IEEE/ACM Trans Comput Biol Bioinform. 2023 Mar-Apr;20(2):852-863. doi: 10.1109/TCBB.2022.3170365. Epub 2023 Apr 3.,Zhao Q,IEEE/ACM Trans Comput Biol Bioinform,2023,2022/04/26,,,10.1109/TCBB.2022.3170365
36650765,Drug-target binding affinity prediction method based on a deep graph neural network,"Ma D, Li S, Chen Z.",Math Biosci Eng. 2023 Jan;20(1):269-282. doi: 10.3934/mbe.2023012. Epub 2022 Sep 30.,Ma D,Math Biosci Eng,2023,2023/01/18,,,10.3934/mbe.2023012
37762364,A Robust Drug-Target Interaction Prediction Framework with Capsule Network and Transfer Learning,"Huang Y, Huang HY, Chen Y, Lin YC, Yao L, Lin T, Leng J, Chang Y, Zhang Y, Zhu Z, Ma K, Cheng YN, Lee TY, Huang HD.",Int J Mol Sci. 2023 Sep 14;24(18):14061. doi: 10.3390/ijms241814061.,Huang Y,Int J Mol Sci,2023,2023/09/28,PMC10531393,,10.3390/ijms241814061
35379165,Novel drug-target interactions via link prediction and network embedding,"Amiri Souri E, Laddach R, Karagiannis SN, Papageorgiou LG, Tsoka S.",BMC Bioinformatics. 2022 Apr 4;23(1):121. doi: 10.1186/s12859-022-04650-w.,Amiri Souri E,BMC Bioinformatics,2022,2022/04/05,PMC8978405,,10.1186/s12859-022-04650-w
36083952,Modality-DTA: Multimodality Fusion Strategy for Drug-Target Affinity Prediction,"Yang X, Niu Z, Liu Y, Song B, Lu W, Zeng L, Zeng X.",IEEE/ACM Trans Comput Biol Bioinform. 2023 Mar-Apr;20(2):1200-1210. doi: 10.1109/TCBB.2022.3205282. Epub 2023 Apr 3.,Yang X,IEEE/ACM Trans Comput Biol Bioinform,2023,2022/09/09,,,10.1109/TCBB.2022.3205282
38082648,NG-DTA: Drug-target affinity prediction with n-gram molecular graphs,"Tsui LI, Hsu TC, Lin C.",Annu Int Conf IEEE Eng Med Biol Soc. 2023 Jul;2023:1-4. doi: 10.1109/EMBC40787.2023.10339968.,Tsui LI,Annu Int Conf IEEE Eng Med Biol Soc,2023,2023/12/12,,,10.1109/EMBC40787.2023.10339968
35715739,Sequence-based drug-target affinity prediction using weighted graph neural networks,"Jiang M, Wang S, Zhang S, Zhou W, Zhang Y, Li Z.",BMC Genomics. 2022 Jun 17;23(1):449. doi: 10.1186/s12864-022-08648-9.,Jiang M,BMC Genomics,2022,2022/06/17,PMC9205061,,10.1186/s12864-022-08648-9
35043158,Drug-target interactions prediction via deep collaborative filtering with multiembeddings,"Chen R, Xia F, Hu B, Jin S, Liu X.",Brief Bioinform. 2022 Mar 10;23(2):bbab520. doi: 10.1093/bib/bbab520.,Chen R,Brief Bioinform,2022,2022/01/19,,,10.1093/bib/bbab520
37730555,Drug-target binding affinity prediction using message passing neural network and self supervised learning,"Xia L, Xu L, Pan S, Niu D, Zhang B, Li Z.",BMC Genomics. 2023 Sep 20;24(1):557. doi: 10.1186/s12864-023-09664-z.,Xia L,BMC Genomics,2023,2023/09/20,PMC10510145,,10.1186/s12864-023-09664-z
33866349,Deep drug-target binding affinity prediction with multiple attention blocks,"Zeng Y, Chen X, Luo Y, Li X, Peng D.",Brief Bioinform. 2021 Sep 2;22(5):bbab117. doi: 10.1093/bib/bbab117.,Zeng Y,Brief Bioinform,2021,2021/04/18,PMC8083346,,10.1093/bib/bbab117
31267864,Drug Target Group Prediction with Multiple Drug Networks,"Che J, Chen L, Guo ZH, Wang S, Aorigele.",Comb Chem High Throughput Screen. 2020;23(4):274-284. doi: 10.2174/1386207322666190702103927.,Che J,Comb Chem High Throughput Screen,2020,2019/07/04,,,10.2174/1386207322666190702103927
37594752,Dynamic applicability domain (dAD): compound-target binding affinity estimates with local conformal prediction,"Oršolić D, Šmuc T.",Bioinformatics. 2023 Aug 1;39(8):btad465. doi: 10.1093/bioinformatics/btad465.,Oršolić D,Bioinformatics,2023,2023/08/18,PMC10457664,,10.1093/bioinformatics/btad465
26888050,Pred-binding: large-scale protein-ligand binding affinity prediction,"Shar PA, Tao W, Gao S, Huang C, Li B, Zhang W, Shahen M, Zheng C, Bai Y, Wang Y.",J Enzyme Inhib Med Chem. 2016 Dec;31(6):1443-50. doi: 10.3109/14756366.2016.1144594. Epub 2016 Feb 18.,Shar PA,J Enzyme Inhib Med Chem,2016,2016/02/19,,,10.3109/14756366.2016.1144594
37018115,Predicting Drug-Target Affinity by Learning Protein Knowledge From Biological Networks,"Ma W, Zhang S, Li Z, Jiang M, Wang S, Guo N, Li Y, Bi X, Jiang H, Wei Z.",IEEE J Biomed Health Inform. 2023 Apr;27(4):2128-2137. doi: 10.1109/JBHI.2023.3240305.,Ma W,IEEE J Biomed Health Inform,2023,2023/04/05,,,10.1109/JBHI.2023.3240305
35715734,Explainable deep drug-target representations for binding affinity prediction,"Monteiro NRC, Simões CJV, Ávila HV, Abbasi M, Oliveira JL, Arrais JP.",BMC Bioinformatics. 2022 Jun 17;23(1):237. doi: 10.1186/s12859-022-04767-y.,Monteiro NRC,BMC Bioinformatics,2022,2022/06/17,PMC9204982,,10.1186/s12859-022-04767-y
36101348,Detecting Drug-Target Interactions with Feature Similarity Fusion and Molecular Graphs,"Lin X, Xu S, Liu X, Zhang X, Hu J.",Biology (Basel). 2022 Jun 27;11(7):967. doi: 10.3390/biology11070967.,Lin X,Biology (Basel),2022,2022/09/14,PMC9312204,,10.3390/biology11070967
38014181,Predicting Affinity Through Homology (PATH): Interpretable Binding Affinity Prediction with Persistent Homology,"Long Y, Donald BR.",bioRxiv. 2023 Nov 18:2023.11.16.567384. doi: 10.1101/2023.11.16.567384. Preprint.,Long Y,bioRxiv,2023,2023/11/28,PMC10680814,,10.1101/2023.11.16.567384
37000857,BiComp-DTA: Drug-target binding affinity prediction through complementary biological-related and compression-based featurization approach,"Kalemati M, Zamani Emani M, Koohi S.",PLoS Comput Biol. 2023 Mar 31;19(3):e1011036. doi: 10.1371/journal.pcbi.1011036. eCollection 2023 Mar.,Kalemati M,PLoS Comput Biol,2023,2023/03/31,PMC10096306,,10.1371/journal.pcbi.1011036
37094465,Prediction of drug-target interactions via neural tangent kernel extraction feature matrix factorization model,"Wang Y, Zhang Y, Wang J, Xie F, Zheng D, Zou X, Guo M, Ding Y, Wan J, Han K.",Comput Biol Med. 2023 Jun;159:106955. doi: 10.1016/j.compbiomed.2023.106955. Epub 2023 Apr 19.,Wang Y,Comput Biol Med,2023,2023/04/24,,,10.1016/j.compbiomed.2023.106955
37396659,Identifying potential drug-target interactions based on ensemble deep learning,"Zhou L, Wang Y, Peng L, Li Z, Luo X.",Front Aging Neurosci. 2023 Jun 15;15:1176400. doi: 10.3389/fnagi.2023.1176400. eCollection 2023.,Zhou L,Front Aging Neurosci,2023,2023/07/03,PMC10309650,,10.3389/fnagi.2023.1176400
37286613,DEDTI versus IEDTI: efficient and predictive models of drug-target interactions,"Zabihian A, Sayyad FZ, Hashemi SM, Shami Tanha R, Hooshmand M, Gharaghani S.",Sci Rep. 2023 Jun 7;13(1):9238. doi: 10.1038/s41598-023-36438-0.,Zabihian A,Sci Rep,2023,2023/06/07,PMC10247802,,10.1038/s41598-023-36438-0
35955587,CSatDTA: Prediction of Drug-Target Binding Affinity Using Convolution Model with Self-Attention,"Ghimire A, Tayara H, Xuan Z, Chong KT.",Int J Mol Sci. 2022 Jul 30;23(15):8453. doi: 10.3390/ijms23158453.,Ghimire A,Int J Mol Sci,2022,2022/08/12,PMC9369082,,10.3390/ijms23158453
33119053,GraphDTA: predicting drug-target binding affinity with graph neural networks,"Nguyen T, Le H, Quinn TP, Nguyen T, Le TD, Venkatesh S.",Bioinformatics. 2021 May 23;37(8):1140-1147. doi: 10.1093/bioinformatics/btaa921.,Nguyen T,Bioinformatics,2021,2020/10/29,,,10.1093/bioinformatics/btaa921
34197324,GEFA: Early Fusion Approach in Drug-Target Affinity Prediction,"Nguyen TM, Nguyen T, Le TM, Tran T.",IEEE/ACM Trans Comput Biol Bioinform. 2022 Mar-Apr;19(2):718-728. doi: 10.1109/TCBB.2021.3094217. Epub 2022 Apr 1.,Nguyen TM,IEEE/ACM Trans Comput Biol Bioinform,2022,2021/07/01,,,10.1109/TCBB.2021.3094217
31689203,Predicting Drug-Target Interactions With Multi-Label Classification and Label Partitioning,"Pliakos K, Vens C, Tsoumakas G.",IEEE/ACM Trans Comput Biol Bioinform. 2021 Jul-Aug;18(4):1596-1607. doi: 10.1109/TCBB.2019.2951378. Epub 2021 Aug 6.,Pliakos K,IEEE/ACM Trans Comput Biol Bioinform,2021,2019/11/06,,,10.1109/TCBB.2019.2951378
33627791,Prediction of drug-target binding affinity using similarity-based convolutional neural network,"Shim J, Hong ZY, Sohn I, Hwang C.",Sci Rep. 2021 Feb 24;11(1):4416. doi: 10.1038/s41598-021-83679-y.,Shim J,Sci Rep,2021,2021/02/25,PMC7904939,,10.1038/s41598-021-83679-y
33729947,Inferring Drug-Target Interactions Based on Random Walk and Convolutional Neural Network,"Xu X, Xuan P, Zhang T, Chen B, Sheng N.",IEEE/ACM Trans Comput Biol Bioinform. 2022 Jul-Aug;19(4):2294-2304. doi: 10.1109/TCBB.2021.3066813. Epub 2022 Aug 8.,Xu X,IEEE/ACM Trans Comput Biol Bioinform,2022,2021/03/17,,,10.1109/TCBB.2021.3066813
37193964,Drug repurposing and prediction of multiple interaction types via graph embedding,"Amiri Souri E, Chenoweth A, Karagiannis SN, Tsoka S.",BMC Bioinformatics. 2023 May 17;24(1):202. doi: 10.1186/s12859-023-05317-w.,Amiri Souri E,BMC Bioinformatics,2023,2023/05/16,PMC10190044,,10.1186/s12859-023-05317-w
32703151,Drug-target interactions prediction using marginalized denoising model on heterogeneous networks,"Tang C, Zhong C, Chen D, Wang J.",BMC Bioinformatics. 2020 Jul 23;21(1):330. doi: 10.1186/s12859-020-03662-8.,Tang C,BMC Bioinformatics,2020,2020/07/25,PMC7653902,,10.1186/s12859-020-03662-8
34445696,SAG-DTA: Prediction of Drug-Target Affinity Using Self-Attention Graph Network,"Zhang S, Jiang M, Wang S, Wang X, Wei Z, Li Z.",Int J Mol Sci. 2021 Aug 20;22(16):8993. doi: 10.3390/ijms22168993.,Zhang S,Int J Mol Sci,2021,2021/08/27,PMC8396496,,10.3390/ijms22168993
35777085,DTITR: End-to-end drug-target binding affinity prediction with transformers,"Monteiro NRC, Oliveira JL, Arrais JP.",Comput Biol Med. 2022 Aug;147:105772. doi: 10.1016/j.compbiomed.2022.105772. Epub 2022 Jun 21.,Monteiro NRC,Comput Biol Med,2022,2022/07/01,,,10.1016/j.compbiomed.2022.105772
36747300,How to approach machine learning-based prediction of drug/compound-target interactions,"Atas Guvenilir H, Doğan T.",J Cheminform. 2023 Feb 6;15(1):16. doi: 10.1186/s13321-023-00689-w.,Atas Guvenilir H,J Cheminform,2023,2023/02/07,PMC9901167,,10.1186/s13321-023-00689-w
35135622,Sequence-based prediction of protein binding regions and drug-target interactions,"Lee I, Nam H.",J Cheminform. 2022 Feb 8;14(1):5. doi: 10.1186/s13321-022-00584-w.,Lee I,J Cheminform,2022,2022/02/09,PMC8822694,,10.1186/s13321-022-00584-w
33956632,Drug-Target Interaction Prediction Using Multi-Head Self-Attention and Graph Attention Network,"Cheng Z, Yan C, Wu FX, Wang J.",IEEE/ACM Trans Comput Biol Bioinform. 2022 Jul-Aug;19(4):2208-2218. doi: 10.1109/TCBB.2021.3077905. Epub 2022 Aug 8.,Cheng Z,IEEE/ACM Trans Comput Biol Bioinform,2022,2021/05/06,,,10.1109/TCBB.2021.3077905
32033537,Drug-target interaction prediction with tree-ensemble learning and output space reconstruction,"Pliakos K, Vens C.",BMC Bioinformatics. 2020 Feb 7;21(1):49. doi: 10.1186/s12859-020-3379-z.,Pliakos K,BMC Bioinformatics,2020,2020/02/09,PMC7006075,,10.1186/s12859-020-3379-z
32631230,Drug-target interaction prediction using semi-bipartite graph model and deep learning,"Eslami Manoochehri H, Nourani M.",BMC Bioinformatics. 2020 Jul 6;21(Suppl 4):248. doi: 10.1186/s12859-020-3518-6.,Eslami Manoochehri H,BMC Bioinformatics,2020,2020/07/08,PMC7336396,,10.1186/s12859-020-3518-6
36907663,Fine-grained selective similarity integration for drug-target interaction prediction,"Liu B, Wang J, Sun K, Tsoumakas G.",Brief Bioinform. 2023 Mar 19;24(2):bbad085. doi: 10.1093/bib/bbad085.,Liu B,Brief Bioinform,2023,2023/03/12,,,10.1093/bib/bbad085
36320763,Graph-sequence attention and transformer for predicting drug-target affinity,"Yan X, Liu Y.",RSC Adv. 2022 Oct 14;12(45):29525-29534. doi: 10.1039/d2ra05566j. eCollection 2022 Oct 11.,Yan X,RSC Adv,2022,2022/11/02,PMC9562047,,10.1039/d2ra05566j
37407927,MOKPE: drug-target interaction prediction via manifold optimization based kernel preserving embedding,"Binatlı OC, Gönen M.",BMC Bioinformatics. 2023 Jul 5;24(1):276. doi: 10.1186/s12859-023-05401-1.,Binatlı OC,BMC Bioinformatics,2023,2023/07/05,PMC10324162,,10.1186/s12859-023-05401-1
37988395,A Framework for Improving the Generalizability of Drug-Target Affinity Prediction Models,"ÖZçelİk R, Bağ A, Atil B, Barsbey M, ÖZgür A, Ozkirimli E.",J Comput Biol. 2023 Nov;30(11):1226-1239. doi: 10.1089/cmb.2023.0208.,ÖZçelİk R,J Comput Biol,2023,2023/11/21,,,10.1089/cmb.2023.0208
31366827,Novel Compound-Target Interactions Prediction for the Herbal Formula Hua-Yu-Qiang-Shen-Tong-Bi-Fang,"Wang Z, Lin HH, Linghu K, Huang RY, Li G, Zuo H, Yu H, Chan G, Hu Y.",Chem Pharm Bull (Tokyo). 2019;67(8):778-785. doi: 10.1248/cpb.c18-00808.,Wang Z,Chem Pharm Bull (Tokyo),2019,2019/08/02,,,10.1248/cpb.c18-00808
37225408,GraphscoreDTA: optimized graph neural network for protein-ligand binding affinity prediction,"Wang K, Zhou R, Tang J, Li M.",Bioinformatics. 2023 Jun 1;39(6):btad340. doi: 10.1093/bioinformatics/btad340.,Wang K,Bioinformatics,2023,2023/05/24,PMC10243863,,10.1093/bioinformatics/btad340
37061207,"Toxicity prediction using target, interactome, and pathway profiles as descriptors","Füzi B, Mathai N, Kirchmair J, Ecker GF.",Toxicol Lett. 2023 May 15;381:20-26. doi: 10.1016/j.toxlet.2023.04.005. Epub 2023 Apr 13.,Füzi B,Toxicol Lett,2023,2023/04/15,,,10.1016/j.toxlet.2023.04.005
36445997,GIFDTI: Prediction of Drug-Target Interactions Based on Global Molecular and Intermolecular Interaction Representation Learning,"Zhao Q, Duan G, Zhao H, Zheng K, Li Y, Wang J.",IEEE/ACM Trans Comput Biol Bioinform. 2023 May-Jun;20(3):1943-1952. doi: 10.1109/TCBB.2022.3225423. Epub 2023 Jun 5.,Zhao Q,IEEE/ACM Trans Comput Biol Bioinform,2023,2022/11/29,,,10.1109/TCBB.2022.3225423
36070659,Multiple similarity drug-target interaction prediction with random walks and matrix factorization,"Liu B, Papadopoulos D, Malliaros FD, Tsoumakas G, Papadopoulos AN.",Brief Bioinform. 2022 Sep 20;23(5):bbac353. doi: 10.1093/bib/bbac353.,Liu B,Brief Bioinform,2022,2022/09/07,,,10.1093/bib/bbac353
35871213,Matrix factorization with denoising autoencoders for prediction of drug-target interactions,"Sajadi SZ, Zare Chahooki MA, Tavakol M, Gharaghani S.",Mol Divers. 2023 Jun;27(3):1333-1343. doi: 10.1007/s11030-022-10492-8. Epub 2022 Jul 23.,Sajadi SZ,Mol Divers,2023,2022/07/23,,,10.1007/s11030-022-10492-8
32947845,Uncovering New Drug Properties in Target-Based Drug-Drug Similarity Networks,"Udrescu L, Bogdan P, Chiş A, Sîrbu IO, Topîrceanu A, Văruţ RM, Udrescu M.",Pharmaceutics. 2020 Sep 16;12(9):879. doi: 10.3390/pharmaceutics12090879.,Udrescu L,Pharmaceutics,2020,2020/09/19,PMC7557376,,10.3390/pharmaceutics12090879
32860883,Multi-view self-attention for interpretable drug-target interaction prediction,"Agyemang B, Wu WP, Kpiebaareh MY, Lei Z, Nanor E, Chen L.",J Biomed Inform. 2020 Oct;110:103547. doi: 10.1016/j.jbi.2020.103547. Epub 2020 Aug 27.,Agyemang B,J Biomed Inform,2020,2020/08/30,,,10.1016/j.jbi.2020.103547
36014351,Ligand Binding Prediction Using Protein Structure Graphs and Residual Graph Attention Networks,"Pandey M, Radaeva M, Mslati H, Garland O, Fernandez M, Ester M, Cherkasov A.",Molecules. 2022 Aug 11;27(16):5114. doi: 10.3390/molecules27165114.,Pandey M,Molecules,2022,2022/08/26,PMC9416537,,10.3390/molecules27165114
28192537,SELF-BLM: Prediction of drug-target interactions via self-training SVM,"Keum J, Nam H.",PLoS One. 2017 Feb 13;12(2):e0171839. doi: 10.1371/journal.pone.0171839. eCollection 2017.,Keum J,PLoS One,2017,2017/02/14,PMC5305209,,10.1371/journal.pone.0171839
32340959,Prediction of Drug-Target Interactions Based on Network Representation Learning and Ensemble Learning,"Xuan P, Chen B, Zhang T, Yang Y.",IEEE/ACM Trans Comput Biol Bioinform. 2021 Nov-Dec;18(6):2671-2681. doi: 10.1109/TCBB.2020.2989765. Epub 2021 Dec 8.,Xuan P,IEEE/ACM Trans Comput Biol Bioinform,2021,2020/04/29,,,10.1109/TCBB.2020.2989765
31985434,NegStacking: Drug-Target Interaction Prediction Based on Ensemble Learning and Logistic Regression,"Yang J, He S, Zhang Z, Bo X.",IEEE/ACM Trans Comput Biol Bioinform. 2021 Nov-Dec;18(6):2624-2634. doi: 10.1109/TCBB.2020.2968025. Epub 2021 Dec 8.,Yang J,IEEE/ACM Trans Comput Biol Bioinform,2021,2020/01/28,,,10.1109/TCBB.2020.2968025
33481664,De Novo Prediction of Drug-Target Interactions Using Laplacian Regularized Schatten p-Norm Minimization,"Wu G, Yang M, Li Y, Wang J.",J Comput Biol. 2021 Jul;28(7):660-673. doi: 10.1089/cmb.2020.0538. Epub 2021 Jan 21.,Wu G,J Comput Biol,2021,2021/01/22,,,10.1089/cmb.2020.0538
35625468,MSPEDTI: Prediction of Drug-Target Interactions via Molecular Structure with Protein Evolutionary Information,"Wang L, Wong L, Chen ZH, Hu J, Sun XF, Li Y, You ZH.",Biology (Basel). 2022 May 13;11(5):740. doi: 10.3390/biology11050740.,Wang L,Biology (Basel),2022,2022/05/28,PMC9138588,,10.3390/biology11050740
33606741,DTI-SNNFRA: Drug-target interaction prediction by shared nearest neighbors and fuzzy-rough approximation,"Islam SM, Hossain SMM, Ray S.",PLoS One. 2021 Feb 19;16(2):e0246920. doi: 10.1371/journal.pone.0246920. eCollection 2021.,Islam SM,PLoS One,2021,2021/02/19,PMC7894953,,10.1371/journal.pone.0246920
37903413,Breaking the barriers of data scarcity in drug-target affinity prediction,"Pei Q, Wu L, Zhu J, Xia Y, Xie S, Qin T, Liu H, Liu TY, Yan R.",Brief Bioinform. 2023 Sep 22;24(6):bbad386. doi: 10.1093/bib/bbad386.,Pei Q,Brief Bioinform,2023,2023/10/30,,,10.1093/bib/bbad386
33238865,Application of Machine Learning Techniques in Drug-target Interactions Prediction,"Zhang S, Wang J, Lin Z, Liang Y.",Curr Pharm Des. 2021;27(17):2076-2087. doi: 10.2174/1381612826666201125105730.,Zhang S,Curr Pharm Des,2021,2020/11/26,,,10.2174/1381612826666201125105730
35788823,Mitigating cold-start problems in drug-target affinity prediction with interaction knowledge transferring,"Nguyen TM, Nguyen T, Tran T.",Brief Bioinform. 2022 Jul 18;23(4):bbac269. doi: 10.1093/bib/bbac269.,Nguyen TM,Brief Bioinform,2022,2022/07/05,PMC9353967,,10.1093/bib/bbac269
30547444,Integrating Biological Networks for Drug Target Prediction and Prioritization,"Ji X, Freudenberg JM, Agarwal P.",Methods Mol Biol. 2019;1903:203-218. doi: 10.1007/978-1-4939-8955-3_12.,Ji X,Methods Mol Biol,2019,2018/12/15,,,10.1007/978-1-4939-8955-3_12
36726786,Specific gene module pair-based target identification and drug discovery,"Li P, Bai C, Zhan L, Zhang H, Zhang Y, Zhang W, Wang Y, Zhao J.",Front Pharmacol. 2023 Jan 16;13:1089217. doi: 10.3389/fphar.2022.1089217. eCollection 2022.,Li P,Front Pharmacol,2023,2023/02/02,PMC9886283,,10.3389/fphar.2022.1089217
31430892,Drug-Target Interaction Prediction Based on Drug Fingerprint Information and Protein Sequence,"Li Y, Huang YA, You ZH, Li LP, Wang Z.",Molecules. 2019 Aug 19;24(16):2999. doi: 10.3390/molecules24162999.,Li Y,Molecules,2019,2019/08/22,PMC6719962,,10.3390/molecules24162999
37777631,TeM-DTBA: time-efficient drug target binding affinity prediction using multiple modalities with Lasso feature selection,"Liyaqat T, Ahmad T, Saxena C.",J Comput Aided Mol Des. 2023 Dec;37(12):573-584. doi: 10.1007/s10822-023-00533-1. Epub 2023 Sep 30.,Liyaqat T,J Comput Aided Mol Des,2023,2023/09/30,,,10.1007/s10822-023-00533-1
